ticker,AVNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.7143
2000-01-04,-0.6061
2000-01-05,-0.6098
2000-01-06,12.8834
2000-01-07,-1.087
2000-01-10,0.5495
2000-01-11,-1.6393
2000-01-12,-0.5556
2000-01-13,2.7933
2000-01-14,0.0
2000-01-18,-1.087
2000-01-19,-6.5934
2000-01-20,1.7647
2000-01-21,-2.3121
2000-01-24,-0.5917
2000-01-25,-2.3810000000000002
2000-01-26,17.0732
2000-01-27,1.5625
2000-01-28,-5.641
2000-01-31,-0.5435
2000-02-01,-2.7321999999999997
2000-02-02,2.2472
2000-02-03,0.0
2000-02-04,0.5495
2000-02-07,-1.0929
2000-02-08,-0.5525
2000-02-09,-1.1111
2000-02-10,-3.9326
2000-02-11,-1.7544
2000-02-14,4.1667
2000-02-15,1.1429
2000-02-16,1.1299
2000-02-17,3.3898
2000-02-18,-4.3716
2000-02-22,0.0
2000-02-23,-1.1429
2000-02-24,-2.3121
2000-02-25,0.0
2000-02-28,3.5503
2000-02-29,4.5714
2000-03-01,-6.5574
2000-03-02,0.5848
2000-03-03,0.0
2000-03-06,-1.7442
2000-03-07,-5.3254
2000-03-08,2.5
2000-03-09,2.439
2000-03-10,-1.1905000000000001
2000-03-13,0.6024
2000-03-14,-4.1916
2000-03-15,0.0
2000-03-16,3.125
2000-03-17,1.2121
2000-03-20,1.1976
2000-03-21,2.3669000000000002
2000-03-22,1.7341
2000-03-23,-2.2727
2000-03-24,-1.1628
2000-03-27,0.0
2000-03-28,-0.5882
2000-03-29,1.1834
2000-03-30,2.924
2000-03-31,2.8409
2000-04-03,3.8674
2000-04-04,2.6596
2000-04-05,-1.0363
2000-04-06,2.0942
2000-04-07,0.5128
2000-04-10,-3.0612
2000-04-11,1.0526
2000-04-12,8.3333
2000-04-13,5.7692
2000-04-14,-5.4545
2000-04-17,-2.4038
2000-04-18,-1.4778
2000-04-19,-2.5
2000-04-20,-1.5385
2000-04-24,-0.5208
2000-04-25,1.5707
2000-04-26,1.0309
2000-04-27,-4.5918
2000-04-28,-1.6042999999999998
2000-05-01,3.2609
2000-05-02,-0.5263
2000-05-03,-1.5873
2000-05-04,2.6882
2000-05-05,-1.0471
2000-05-08,0.0
2000-05-09,0.5291
2000-05-10,-1.5789
2000-05-11,2.1390000000000002
2000-05-12,1.0471
2000-05-15,0.5181
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,4.1237
2000-05-19,-1.5
2000-05-22,1.5228000000000002
