ticker,SRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4534
2000-01-04,0.0
2000-01-05,0.0
2000-01-06,-1.2711999999999999
2000-01-07,3.8627000000000002
2000-01-10,-2.4793
2000-01-11,-6.3559
2000-01-12,-4.0724
2000-01-13,-3.3019
2000-01-14,0.9756
2000-01-18,0.9662
2000-01-19,0.0
2000-01-20,1.9139
2000-01-21,-1.8779
2000-01-24,-0.4785
2000-01-25,-1.9231
2000-01-26,1.9607999999999999
2000-01-27,0.0
2000-01-28,-0.4808
2000-01-31,-11.1111
2000-02-01,1.087
2000-02-02,1.0753
2000-02-03,-2.6596
2000-02-04,-2.7321999999999997
2000-02-07,-5.618
2000-02-08,1.1905000000000001
2000-02-09,-1.7647
2000-02-10,-6.5868
2000-02-11,3.2051
2000-02-14,-0.6211
2000-02-15,1.25
2000-02-16,-3.0864
2000-02-17,0.0
2000-02-18,0.6369
2000-02-22,-1.2658
2000-02-23,-1.9231
2000-02-24,7.1895
2000-02-25,1.2195
2000-02-28,1.8072
2000-02-29,0.5917
2000-03-01,2.3529
2000-03-02,0.5747
2000-03-03,0.5714
2000-03-06,6.25
2000-03-07,-5.3476
2000-03-08,-2.8249
2000-03-09,2.3256
2000-03-10,-15.9091
2000-03-13,13.5135
2000-03-14,-1.1905000000000001
2000-03-15,0.0
2000-03-16,12.0482
2000-03-17,-1.0753
2000-03-20,-4.3478
2000-03-21,-3.4091
2000-03-22,-5.8824
2000-03-23,0.0
2000-03-24,11.25
2000-03-27,2.2472
2000-03-28,3.2967
2000-03-29,-0.5319
2000-03-30,6.9519
2000-03-31,-4.0
2000-04-03,-8.3333
2000-04-04,4.5455
2000-04-05,0.0
2000-04-06,6.5217
2000-04-07,9.1837
2000-04-10,-3.7382999999999997
2000-04-11,0.9709
2000-04-12,3.8462
2000-04-13,-0.463
2000-04-14,2.3256
2000-04-17,-0.4545
2000-04-18,0.0
2000-04-19,0.0
2000-04-20,0.0
2000-04-24,0.0
2000-04-25,2.2831
2000-04-26,0.4464
2000-04-27,-5.7778
2000-04-28,-0.4717
2000-05-01,0.4739
2000-05-02,-2.3585
2000-05-03,-0.4831
2000-05-04,-0.9709
2000-05-05,-10.7843
2000-05-08,2.1978
2000-05-09,1.0753
2000-05-10,1.5957
2000-05-11,3.1414
2000-05-12,2.5381
2000-05-15,-1.9802
2000-05-16,-3.5354
2000-05-17,-4.712
2000-05-18,1.0989
2000-05-19,-3.2609
2000-05-22,1.1236
2000-05-23,0.5556
