ticker,CLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.1583
2000-01-04,-0.4902
2000-01-05,-1.9704000000000002
2000-01-06,3.2663
2000-01-07,0.7299
2000-01-10,2.1739
2000-01-11,0.0
2000-01-12,-1.4184
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,0.4796
2000-01-19,-0.2387
2000-01-20,-0.2392
2000-01-21,-0.9592
2000-01-24,-0.4843
2000-01-25,-0.4866
2000-01-26,-0.7335
2000-01-27,-0.9852
2000-01-28,0.7463
2000-01-31,0.4938
2000-02-01,0.2457
2000-02-02,0.2451
2000-02-03,0.2445
2000-02-04,-1.9512
2000-02-07,-0.2488
2000-02-08,0.4988
2000-02-09,-0.7444
2000-02-10,-1.5
2000-02-11,0.0
2000-02-14,-1.5228000000000002
2000-02-15,-1.5464
2000-02-16,-0.2618
2000-02-17,0.5249
2000-02-18,0.0
2000-02-22,-0.5222
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,-0.5249
2000-02-29,0.2639
2000-03-01,-0.5263
2000-03-02,0.0
2000-03-03,0.5291
2000-03-06,-1.0526
2000-03-07,-1.0638
2000-03-08,-0.8065
2000-03-09,-0.271
2000-03-10,1.087
2000-03-13,-1.3441
2000-03-14,-0.2725
2000-03-15,2.1858
2000-03-16,2.9412000000000003
2000-03-17,0.0
2000-03-20,-0.2597
2000-03-21,1.3021
2000-03-22,-0.2571
2000-03-23,0.2577
2000-03-24,0.5141
2000-03-27,-0.5115
2000-03-28,1.2852999999999999
2000-03-29,1.5228000000000002
2000-03-30,0.0
2000-03-31,2.0
2000-04-03,-0.4216
2000-04-04,-1.0076
2000-04-05,1.0178
2000-04-06,0.5038
2000-04-07,1.7544
2000-04-10,1.4778
2000-04-11,2.4272
2000-04-12,-0.9479
2000-04-13,-0.7177
2000-04-14,-1.2048
2000-04-17,0.0
2000-04-18,0.0
2000-04-19,0.9756
2000-04-20,-0.7246
2000-04-24,-0.9732
2000-04-25,0.0
2000-04-26,2.2113
2000-04-27,-0.2404
2000-04-28,-0.7229
2000-05-01,1.9417
2000-05-02,-2.3810000000000002
2000-05-03,6.8293
2000-05-04,-1.8265
2000-05-05,0.4651
2000-05-08,0.0
2000-05-09,-0.2315
2000-05-10,-0.232
2000-05-11,0.2326
2000-05-12,1.1601
2000-05-15,-0.2294
2000-05-16,0.6897
2000-05-17,-0.9132
2000-05-18,0.4608
2000-05-19,-1.1468
2000-05-22,0.232
2000-05-23,1.3889
