ticker,ATW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.5306999999999995
2000-01-04,1.6949
2000-01-05,-0.1667
2000-01-06,4.1736
2000-01-07,2.5641
2000-01-10,0.0
2000-01-11,3.75
2000-01-12,-3.6145
2000-01-13,5.1563
2000-01-14,0.4458
2000-01-18,6.9527
2000-01-19,4.5643
2000-01-20,-0.5291
2000-01-21,1.4628
2000-01-24,-1.5727
2000-01-25,-3.7284
2000-01-26,-1.7981
2000-01-27,-7.8873
2000-01-28,0.3058
2000-01-31,-0.4573
2000-02-01,4.7473
2000-02-02,3.6550000000000002
2000-02-03,-0.9873
2000-02-04,2.7066
2000-02-07,2.0804
2000-02-08,-2.3098
2000-02-09,-2.7816
2000-02-10,2.432
2000-02-11,3.6313
2000-02-14,-0.6739
2000-02-15,6.3772
2000-02-16,0.2551
2000-02-17,0.7634
2000-02-18,-0.1263
2000-02-22,-3.1606
2000-02-23,-0.9138
2000-02-24,1.4493
2000-02-25,-3.3766
2000-02-28,8.0645
2000-02-29,5.7214
2000-03-01,-0.8235
2000-03-02,7.2361
2000-03-03,2.9867
2000-03-06,-0.3222
2000-03-07,5.1724
2000-03-08,-2.5615
2000-03-09,-2.8391
2000-03-10,0.974
2000-03-13,0.8574
2000-03-14,-2.4442
2000-03-15,-0.2179
2000-03-16,6.5502
2000-03-17,-2.1516
2000-03-20,-3.4555
2000-03-21,4.5553
2000-03-22,3.6307
2000-03-23,-1.001
2000-03-24,1.8199999999999998
2000-03-27,1.4896
2000-03-28,-4.9902
2000-03-29,3.5015
2000-03-30,0.0995
2000-03-31,5.4672
2000-04-03,4.0528
2000-04-04,0.0
2000-04-05,-0.9058
2000-04-06,-3.8391
2000-04-07,-0.0951
2000-04-10,-7.6118
2000-04-11,4.2225
2000-04-12,0.6917
2000-04-13,-2.6497
2000-04-14,-2.4194
2000-04-17,-3.2025
2000-04-18,-0.1067
2000-04-19,1.4957
2000-04-20,1.1579
2000-04-24,-4.2664
2000-04-25,1.3043
2000-04-26,0.8584
2000-04-27,2.3404
2000-04-28,0.8316
2000-05-01,-0.7216
2000-05-02,2.3884
2000-05-03,-2.5355
2000-05-04,1.873
2000-05-05,0.3064
2000-05-08,3.2587
2000-05-09,0.789
2000-05-10,-2.7397
2000-05-11,1.2072
2000-05-12,-0.2982
2000-05-15,2.0937
2000-05-16,-1.2695
2000-05-17,-0.7913
2000-05-18,-1.8942999999999999
2000-05-19,0.0
2000-05-22,-4.065
2000-05-23,0.8475
