ticker,BGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-26,0.0
2004-08-27,0.05
2004-08-30,-0.05
2004-08-31,0.0
2004-09-01,0.05
2004-09-02,-0.05
2004-09-03,0.0
2004-09-07,0.0
2004-09-08,0.0
2004-09-09,0.0
2004-09-10,0.0
2004-09-13,0.0
2004-09-14,0.0
2004-09-15,0.0
2004-09-16,0.0
2004-09-17,0.0
2004-09-20,0.0
2004-09-21,0.0
2004-09-22,0.1
2004-09-23,-0.0999
2004-09-24,0.0
2004-09-27,0.0
2004-09-28,0.0
2004-09-29,0.0
2004-09-30,0.0
2004-10-01,0.0
2004-10-04,0.0
2004-10-05,0.05
2004-10-06,-0.05
2004-10-07,-1.5
2004-10-08,0.1015
2004-10-11,-1.7748
2004-10-12,-0.413
2004-10-13,-0.2074
2004-10-14,0.8831
2004-10-15,0.2575
2004-10-18,0.5136
2004-10-19,-0.5621
2004-10-20,-0.668
2004-10-21,0.224
2004-10-22,-0.8817
2004-10-25,-0.6803
2004-10-26,-0.4742
2004-10-27,0.3176
2004-10-28,-0.1055
2004-10-29,0.1057
2004-11-01,0.4222
2004-11-02,-0.6306
2004-11-03,0.5288
2004-11-04,0.1052
2004-11-05,-0.1576
2004-11-08,0.5263
2004-11-09,0.2618
2004-11-10,0.4872
2004-11-11,0.47
2004-11-12,-0.6237
2004-11-15,-0.2615
2004-11-16,0.0
2004-11-17,-0.0524
2004-11-18,0.5247
2004-11-19,0.0
2004-11-22,-0.6785
2004-11-23,-0.8408
2004-11-24,0.5299
2004-11-26,0.3163
2004-11-29,-0.6306
2004-11-30,0.6875
2004-12-01,0.1576
2004-12-02,-0.6817
2004-12-03,0.264
2004-12-06,-0.158
2004-12-07,-0.8439
2004-12-08,-0.3723
2004-12-09,0.8542
2004-12-10,-0.7941
2004-12-13,-0.2492
2004-12-14,-0.3226
2004-12-15,-0.1079
2004-12-16,0.162
2004-12-17,-0.2695
2004-12-20,-0.9189
2004-12-21,0.8729
2004-12-22,-0.2163
2004-12-23,0.0
2004-12-27,0.1626
2004-12-28,0.0179
2004-12-29,1.0875
2004-12-30,-0.3228
2004-12-31,0.5397
2005-01-03,0.4831
2005-01-04,0.3205
2005-01-05,0.5325
2005-01-06,-0.2648
2005-01-07,0.1062
2005-01-10,0.0531
2005-01-11,-0.053
2005-01-12,0.0531
2005-01-13,0.1591
2005-01-14,-0.0529
2005-01-18,-0.3708
2005-01-19,0.1595
2005-01-20,0.0531
2005-01-21,-0.1061
