ticker,AZO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.4159
2000-01-04,-0.409
2000-01-05,-0.4107
2000-01-06,-4.1237
2000-01-07,4.7312
2000-01-10,0.8214
2000-01-11,-2.0367
2000-01-12,-0.8316
2000-01-13,0.6289
2000-01-14,-0.8333
2000-01-18,-0.4202
2000-01-19,1.6878
2000-01-20,-3.527
2000-01-21,-2.7957
2000-01-24,-1.7699
2000-01-25,0.4505
2000-01-26,-0.8969
2000-01-27,-2.2624
2000-01-28,-3.0093
2000-01-31,0.2387
2000-02-01,0.2381
2000-02-02,-1.9002
2000-02-03,2.9055999999999997
2000-02-04,0.2353
2000-02-07,-4.6948
2000-02-08,-0.7389
2000-02-09,-4.7146
2000-02-10,0.2604
2000-02-11,-3.3766
2000-02-14,0.5376
2000-02-15,0.0
2000-02-16,-4.5455
2000-02-17,1.4006
2000-02-18,-2.2099
2000-02-22,1.1299
2000-02-23,3.9106
2000-02-24,-5.1075
2000-02-25,5.6657
2000-02-28,-1.0724
2000-02-29,4.065
2000-03-01,-5.7292
2000-03-02,0.8287
2000-03-03,-1.6438000000000001
2000-03-06,-0.2786
2000-03-07,-5.5866
2000-03-08,4.142
2000-03-09,3.4091
2000-03-10,-4.1209
2000-03-13,-2.2923
2000-03-14,5.8651
2000-03-15,6.9252
2000-03-16,9.5855
2000-03-17,-8.0378
2000-03-20,2.8278
2000-03-21,2.75
2000-03-22,-3.6496
2000-03-23,-2.5253
2000-03-24,5.9585
2000-03-27,0.2445
2000-03-28,2.439
2000-03-29,2.1429
2000-03-30,1.3986
2000-03-31,2.069
2000-04-03,0.4505
2000-04-04,-2.9148
2000-04-05,2.3095
2000-04-06,3.386
2000-04-07,1.0917
2000-04-10,0.8639
2000-04-11,1.9272
2000-04-12,-1.8908
2000-04-13,-4.7109
2000-04-14,-6.5169
2000-04-17,-0.2404
2000-04-18,1.4458
2000-04-19,-3.3254
2000-04-20,-1.9656
2000-04-24,0.0
2000-04-25,0.5013
2000-04-26,-4.4888
2000-04-27,-3.6554
2000-04-28,-0.542
2000-05-01,0.545
2000-05-02,-2.439
2000-05-03,-2.7778
2000-05-04,1.1429
2000-05-05,-0.8475
2000-05-08,2.2792
2000-05-09,3.0641
2000-05-10,-2.1622
2000-05-11,5.8011
2000-05-12,-1.0444
2000-05-15,13.4565
2000-05-16,-1.3953
2000-05-17,-1.8868
2000-05-18,2.8846
2000-05-19,0.2336
2000-05-22,3.4965
2000-05-23,-0.9009
