ticker,MYL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2258
2000-01-04,-4.6154
2000-01-05,1.6129
2000-01-06,0.5291
2000-01-07,5.2632
2000-01-10,2.0
2000-01-11,5.8824
2000-01-12,-2.3148
2000-01-13,2.3697
2000-01-14,1.1574
2000-01-18,1.373
2000-01-19,0.9029
2000-01-20,-0.8949
2000-01-21,-3.386
2000-01-24,-5.1402
2000-01-25,0.2463
2000-01-26,-1.7199
2000-01-27,1.75
2000-01-28,3.1941
2000-01-31,1.4285999999999999
2000-02-01,-3.5211
2000-02-02,-0.9732
2000-02-03,0.0
2000-02-04,-1.4742
2000-02-07,1.7456
2000-02-08,-0.4902
2000-02-09,-1.7241
2000-02-10,-1.0025
2000-02-11,-1.2658
2000-02-14,-0.7692
2000-02-15,-1.5504
2000-02-16,-1.8373
2000-02-17,4.0107
2000-02-18,0.5141
2000-02-22,-5.3708
2000-02-23,0.0
2000-02-24,2.4324
2000-02-25,-1.5831
2000-02-28,-2.681
2000-02-29,1.3774
2000-03-01,-0.8152
2000-03-02,5.7534
2000-03-03,22.2798
2000-03-06,-5.7203
2000-03-07,-2.0225
2000-03-08,2.5229
2000-03-09,2.0134
2000-03-10,-2.193
2000-03-13,-1.7936999999999999
2000-03-14,-2.0548
2000-03-15,3.2634
2000-03-16,8.3521
2000-03-17,-2.2917
2000-03-20,-4.2644
2000-03-21,3.7862
2000-03-22,-3.2189
2000-03-23,-0.6652
2000-03-24,-0.4464
2000-03-27,-3.1390000000000002
2000-03-28,-3.2407
2000-03-29,0.1531
2000-03-30,-0.2392
2000-03-31,5.5156
2000-04-03,-0.9091
2000-04-04,3.8991
2000-04-05,4.6358
2000-04-06,0.0
2000-04-07,2.1097
2000-04-10,0.0
2000-04-11,-1.4463
2000-04-12,-1.2579
2000-04-13,0.4246
2000-04-14,-2.3256
2000-04-17,-3.8961
2000-04-18,3.1532
2000-04-19,3.2751
2000-04-20,-2.3256
2000-04-24,1.2987
2000-04-25,-4.2735
2000-04-26,-0.6696
2000-04-27,-0.2247
2000-04-28,2.2523
2000-05-01,1.3216
2000-05-02,0.0
2000-05-03,-0.6522
2000-05-04,8.0963
2000-05-05,4.4534
2000-05-08,-2.7132
2000-05-09,1.7928
2000-05-10,-2.7397
2000-05-11,-23.1388
2000-05-12,6.0209
2000-05-15,3.7037
2000-05-16,-0.2381
2000-05-17,-0.9547
2000-05-18,0.4819
2000-05-19,0.2398
2000-05-22,-1.1962
2000-05-23,2.1792
