ticker,SRCTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2258
2000-01-04,-2.3333
2000-01-05,0.0
2000-01-06,-2.7304
2000-01-07,0.3509
2000-01-10,-3.8462
2000-01-11,2.1818
2000-01-12,0.0
2000-01-13,-0.3559
2000-01-14,-1.0714
2000-01-18,2.5271
2000-01-19,-1.4085
2000-01-20,-2.1429
2000-01-21,-1.8248
2000-01-24,-4.461
2000-01-25,-0.3891
2000-01-26,1.9531
2000-01-27,-2.2989
2000-01-28,0.0
2000-01-31,-2.7451
2000-02-01,0.0
2000-02-02,0.4032
2000-02-03,0.0
2000-02-04,-3.6145
2000-02-07,0.0
2000-02-08,0.4167
2000-02-09,2.0747
2000-02-10,2.0325
2000-02-11,-3.1873
2000-02-14,1.2346
2000-02-15,0.4065
2000-02-16,-3.2389
2000-02-17,6.6946
2000-02-18,-1.1764999999999999
2000-02-22,-7.5397
2000-02-23,-0.5665
2000-02-24,-0.8772
2000-02-25,-1.7699
2000-02-28,0.4505
2000-02-29,-2.2422
2000-03-01,-5.5046
2000-03-02,-0.4854
2000-03-03,-5.3659
2000-03-06,1.5464
2000-03-07,4.5685
2000-03-08,4.3689
2000-03-09,5.5814
2000-03-10,-6.6079
2000-03-13,-0.4717
2000-03-14,0.4739
2000-03-15,-2.3585
2000-03-16,4.3478
2000-03-17,3.2407
2000-03-20,-4.0359
2000-03-21,0.9346
2000-03-22,-3.2407
2000-03-23,-1.4354
2000-03-24,-6.3107
2000-03-27,3.6269
2000-03-28,-1.0
2000-03-29,0.5051
2000-03-30,6.5327
2000-03-31,-2.8302
2000-04-03,6.7961
2000-04-04,0.9091
2000-04-05,2.2523
2000-04-06,1.7621
2000-04-07,1.2987
2000-04-10,-0.8547
2000-04-11,4.7414
2000-04-12,-0.4115
2000-04-13,2.0661
2000-04-14,-4.4534
2000-04-17,0.4237
2000-04-18,0.4219
2000-04-19,-3.3613
2000-04-20,-3.0435
2000-04-24,-5.3812
2000-04-25,2.3697
2000-04-26,-1.8519
2000-04-27,0.0
2000-04-28,-1.4151
2000-05-01,-1.4354
2000-05-02,0.4854
2000-05-03,-2.8986
2000-05-04,7.4627
2000-05-05,1.8519
2000-05-08,1.3636
2000-05-09,0.8969
2000-05-10,-1.7778
2000-05-11,8.5973
2000-05-12,-2.0833
2000-05-15,5.5319
2000-05-16,0.0
2000-05-17,-3.629
2000-05-18,-1.2551999999999999
2000-05-19,-2.9661
2000-05-22,-1.7467000000000001
