ticker,APD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2346
2000-01-04,-3.0476
2000-01-05,0.5894
2000-01-06,6.6406
2000-01-07,6.9597
2000-01-10,-6.1644
2000-01-11,-4.562
2000-01-12,1.7208
2000-01-13,-0.7519
2000-01-14,-1.8939
2000-01-18,-4.8263
2000-01-19,0.2028
2000-01-20,-3.2389
2000-01-21,-3.1381
2000-01-24,4.3197
2000-01-25,2.8986
2000-01-26,1.4085
2000-01-27,-1.9841
2000-01-28,-3.4413
2000-01-31,-0.6289
2000-02-01,3.3755
2000-02-02,-0.8163
2000-02-03,1.2346
2000-02-04,0.4065
2000-02-07,-0.2024
2000-02-08,-2.0284
2000-02-09,-5.176
2000-02-10,-1.9651
2000-02-11,-4.0089
2000-02-14,6.4965
2000-02-15,1.0893
2000-02-16,-3.4483
2000-02-17,1.7856999999999998
2000-02-18,-5.0439
2000-02-22,2.7714
2000-02-23,-2.2472
2000-02-24,-2.9885
2000-02-25,-0.9479
2000-02-28,0.0
2000-02-29,-1.4354
2000-03-01,0.7282
2000-03-02,-1.6867
2000-03-03,3.1863
2000-03-06,-3.8005
2000-03-07,-4.4444
2000-03-08,2.584
2000-03-09,0.0
2000-03-10,0.5038
2000-03-13,-1.0025
2000-03-14,0.7595
2000-03-15,10.0503
2000-03-16,8.4475
2000-03-17,-7.1579
2000-03-20,1.5873
2000-03-21,1.7856999999999998
2000-03-22,-5.0439
2000-03-23,4.6189
2000-03-24,2.2075
2000-03-27,-3.4557
2000-03-28,0.4474
2000-03-29,1.3363
2000-03-30,1.7319
2000-03-31,-1.087
2000-04-03,5.9341
2000-04-04,-1.2448
2000-04-05,-0.2101
2000-04-06,-0.4211
2000-04-07,-1.0571
2000-04-10,0.641
2000-04-11,5.0955
2000-04-12,2.4242
2000-04-13,-5.1282
2000-04-14,-3.7422
2000-04-17,3.2397
2000-04-18,-1.6736
2000-04-19,-5.1064
2000-04-20,7.1749
2000-04-24,5.6485
2000-04-25,3.7624
2000-04-26,-5.916
2000-04-27,-0.2028
2000-04-28,1.0163
2000-05-01,1.6097000000000001
2000-05-02,1.5842
2000-05-03,-4.6784
2000-05-04,1.4315
2000-05-05,1.2097
2000-05-08,-0.3984
2000-05-09,-3.0
2000-05-10,2.8866
2000-05-11,11.4228
2000-05-12,2.8777
2000-05-15,-2.6224
2000-05-16,-2.1544
2000-05-17,0.5505
2000-05-18,2.0985
2000-05-19,2.9491
2000-05-22,1.6493
2000-05-23,5.5508
