ticker,ACF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.0946
2000-01-04,-4.3636
2000-01-05,0.3802
2000-01-06,1.5152
2000-01-07,-3.7313
2000-01-10,2.3256
2000-01-11,-0.7576
2000-01-12,1.145
2000-01-13,5.283
2000-01-14,6.4516
2000-01-18,-3.367
2000-01-19,-2.439
2000-01-20,-1.7856999999999998
2000-01-21,0.0
2000-01-24,-5.4545
2000-01-25,-2.6923
2000-01-26,8.3004
2000-01-27,0.7299
2000-01-28,-5.4348
2000-01-31,0.3831
2000-02-01,4.1985
2000-02-02,-4.0293
2000-02-03,4.9618
2000-02-04,-2.5455
2000-02-07,-2.6119
2000-02-08,1.1494
2000-02-09,-4.9242
2000-02-10,-3.1873
2000-02-11,-6.9959
2000-02-14,0.885
2000-02-15,3.9474
2000-02-16,-1.2658
2000-02-17,-3.8462
2000-02-18,-8.4444
2000-02-22,-6.7961
2000-02-23,6.7708
2000-02-24,0.4878
2000-02-25,0.4854
2000-02-28,4.3478
2000-02-29,2.7778
2000-03-01,-4.955
2000-03-02,5.2133
2000-03-03,-7.2072
2000-03-06,-2.9126
2000-03-07,-9.0
2000-03-08,-2.7473
2000-03-09,6.2147
2000-03-10,-2.1277
2000-03-13,0.5435
2000-03-14,2.7027
2000-03-15,10.0
2000-03-16,19.6172
2000-03-17,-3.2
2000-03-20,-7.0248
2000-03-21,2.2222
2000-03-22,4.3478
2000-03-23,5.0
2000-03-24,-3.5714
2000-03-27,-6.1728
2000-03-28,-2.193
2000-03-29,3.5874
2000-03-30,2.5974
2000-03-31,10.1266
2000-04-03,-3.4483
2000-04-04,-9.9206
2000-04-05,7.489
2000-04-06,2.8689
2000-04-07,1.992
2000-04-10,0.3906
2000-04-11,3.1128
2000-04-12,1.5093999999999999
2000-04-13,-3.7175000000000002
2000-04-14,-1.9304999999999999
2000-04-17,5.1181
2000-04-18,3.3708
2000-04-19,-2.5362
2000-04-20,4.8327
2000-04-24,2.8369
2000-04-25,10.3448
2000-04-26,-3.4375
2000-04-27,-2.9126
2000-04-28,-0.3333
2000-05-01,3.6789
2000-05-02,-2.5806
2000-05-03,-6.2914
2000-05-04,-1.0601
2000-05-05,2.1429
2000-05-08,5.5944
2000-05-09,-6.6225000000000005
2000-05-10,1.4184
2000-05-11,3.1469
2000-05-12,1.6949
2000-05-15,-0.3333
2000-05-16,-1.0033
2000-05-17,-5.4054
2000-05-18,3.2143
2000-05-19,-2.4221
2000-05-22,1.0638
2000-05-23,0.0
