ticker,CEYC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1254
2000-01-04,-0.1626
2000-01-05,1.1401
2000-01-06,0.3221
2000-01-07,0.1605
2000-01-10,-0.641
2000-01-11,0.1613
2000-01-12,-0.8052
2000-01-13,0.487
2000-01-14,-0.6462
2000-01-18,-0.1626
2000-01-19,1.1401
2000-01-20,-0.4831
2000-01-21,0.0
2000-01-24,0.8091
2000-01-25,-0.1605
2000-01-26,-1.7685
2000-01-27,-1.964
2000-01-28,6.8447
2000-01-31,3.5938
2000-02-01,0.0
2000-02-02,-0.7541
2000-02-03,1.5198
2000-02-04,-0.5988
2000-02-07,-1.506
2000-02-08,1.682
