ticker,BKH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.4085
2000-01-04,-0.8571
2000-01-05,3.4582
2000-01-06,0.8357
2000-01-07,0.8287
2000-01-10,0.0
2000-01-11,-1.3699
2000-01-12,-2.7778
2000-01-13,2.0
2000-01-14,-1.1204
2000-01-18,-0.8499
2000-01-19,1.7143000000000002
2000-01-20,0.8427
2000-01-21,3.8997
2000-01-24,3.2172
2000-01-25,0.5195
2000-01-26,3.1008
2000-01-27,-3.0075
2000-01-28,0.2584
2000-01-31,-1.2887
2000-02-01,0.2611
2000-02-02,-0.2604
2000-02-03,1.5666
2000-02-04,-0.5141
2000-02-07,0.0
2000-02-08,2.0672
2000-02-09,2.6127000000000002
2000-02-10,-3.7406
2000-02-11,-2.5907
2000-02-14,1.3298
2000-02-15,-1.3123
2000-02-16,-1.8617
2000-02-17,-0.271
2000-02-18,-3.5326
2000-02-22,-3.3803
2000-02-23,-0.8746
2000-02-24,-3.2353
2000-02-25,1.2158
2000-02-28,2.7027
2000-02-29,2.924
2000-03-01,0.5682
2000-03-02,2.5423999999999998
2000-03-03,0.551
2000-03-06,-1.3699
2000-03-07,1.9444
2000-03-08,1.3624
2000-03-09,-0.5376
2000-03-10,-0.8108
2000-03-13,-3.5422000000000002
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,3.6723
2000-03-17,-1.3624
2000-03-20,-1.105
2000-03-21,0.0
2000-03-22,0.0
2000-03-23,-0.5587
2000-03-24,-0.8427
2000-03-27,0.0
2000-03-28,0.5666
2000-03-29,-0.5634
2000-03-30,1.983
2000-03-31,-1.9444
2000-04-03,-0.5666
2000-04-04,-1.4245
2000-04-05,2.6012
2000-04-06,1.1268
2000-04-07,-1.3928
2000-04-10,-2.5423999999999998
2000-04-11,0.5797
2000-04-12,-0.2882
2000-04-13,-0.8671
2000-04-14,0.0
2000-04-17,-0.2915
2000-04-18,0.8772
2000-04-19,-0.2899
2000-04-20,0.2907
2000-04-24,0.2899
2000-04-25,1.1561
2000-04-26,1.4285999999999999
2000-04-27,3.662
2000-04-28,-0.2717
2000-05-01,0.8174
2000-05-02,1.8919000000000001
2000-05-03,-6.1008
2000-05-04,4.5198
2000-05-05,1.6216
2000-05-08,-1.0638
2000-05-09,0.5376
2000-05-10,-0.7166
2000-05-11,1.0899
2000-05-12,-0.5391
2000-05-15,0.813
2000-05-16,0.2688
2000-05-17,-0.8043
2000-05-18,-2.7027
2000-05-19,0.0
2000-05-22,1.9444
