ticker,STT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.5338
2000-01-04,-5.5556
2000-01-05,1.8027
2000-01-06,4.1938
2000-01-07,3.5778
2000-01-10,-0.6045
2000-01-11,1.9983
2000-01-12,1.6183999999999998
2000-01-13,2.4308
2000-01-14,3.5188
2000-01-18,-3.2411
2000-01-19,-0.1634
2000-01-20,-0.5728
2000-01-21,1.3169
2000-01-24,-2.2746
2000-01-25,3.6574999999999998
2000-01-26,3.6889
2000-01-27,2.3975
2000-01-28,-4.8338
2000-01-31,1.8254000000000001
2000-02-01,2.4162
2000-02-02,0.1522
2000-02-03,1.7477
2000-02-04,-3.4354
2000-02-07,-0.9281
2000-02-08,5.1522
2000-02-09,-4.3801
2000-02-10,-1.7081
2000-02-11,-0.7109
2000-02-14,0.2387
2000-02-15,1.8254000000000001
2000-02-16,-1.0133
2000-02-17,-2.126
2000-02-18,-4.6661
2000-02-22,3.4599
2000-02-23,-3.2626
2000-02-24,-2.0236
2000-02-25,-1.2048
2000-02-28,2.7003
2000-02-29,-1.1026
2000-03-01,-0.8576
2000-03-02,-0.0865
2000-03-03,-0.0866
2000-03-06,-2.3397
2000-03-07,-6.4774
2000-03-08,-3.7951
2000-03-09,5.1282
2000-03-10,1.5009000000000001
2000-03-13,-0.4621
2000-03-14,-1.4856
2000-03-15,9.8021
2000-03-16,17.8541
2000-03-17,0.6555
2000-03-20,-4.9204
2000-03-21,6.2405
2000-03-22,6.0172
2000-03-23,8.5811
2000-03-24,-6.7828
2000-03-27,-1.6689
2000-03-28,2.7155
2000-03-29,2.3133
2000-03-30,-3.3876
2000-03-31,3.8178
2000-04-03,9.5484
2000-04-04,-3.6513999999999998
2000-04-05,-1.3447
2000-04-06,-3.9032999999999998
2000-04-07,-3.2882
2000-04-10,4.0
2000-04-11,0.3846
2000-04-12,3.576
2000-04-13,-4.254
2000-04-14,-10.2382
2000-04-17,3.5151
2000-04-18,8.1081
2000-04-19,-3.9744
2000-04-20,2.4699999999999998
2000-04-24,3.7785
2000-04-25,4.3942
2000-04-26,-3.8485
2000-04-27,-1.0006
2000-04-28,-2.0846
2000-05-01,4.5161
2000-05-02,2.0987999999999998
2000-05-03,2.6602
2000-05-04,-0.53
2000-05-05,-1.7762
2000-05-08,3.0139
2000-05-09,-2.3406000000000002
2000-05-10,-0.4793
2000-05-11,4.997
2000-05-12,1.0894
2000-05-15,5.2751
2000-05-16,-3.6099
2000-05-17,0.559
2000-05-18,0.4447
