ticker,MNIQQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.4566
2000-01-04,-1.3333
2000-01-05,-1.3514
2000-01-06,0.1522
2000-01-07,0.152
2000-01-10,3.4901
2000-01-11,2.0528
2000-01-12,-0.8621
2000-01-13,4.058
2000-01-14,-3.0641
2000-01-18,0.0
2000-01-19,1.1494
2000-01-20,-1.2784
2000-01-21,-1.1511
2000-01-24,-3.3479
2000-01-25,-1.8072
2000-01-26,0.3067
2000-01-27,3.6696999999999997
2000-01-28,-0.295
2000-01-31,-0.2959
2000-02-01,-1.0386
2000-02-02,-1.0495
2000-02-03,-0.1515
2000-02-04,1.5175
2000-02-07,-0.1495
2000-02-08,-0.1497
2000-02-09,-2.5487
2000-02-10,0.7692
2000-02-11,-0.6107
2000-02-14,-1.9969000000000001
2000-02-15,-2.9781
2000-02-16,-2.7464
2000-02-17,-3.4884
2000-02-18,-3.4423
2000-02-22,-0.8913
2000-02-23,-0.5396
2000-02-24,-0.9042
2000-02-25,0.1825
2000-02-28,-0.9107
2000-02-29,1.6543999999999999
2000-03-01,-2.3508
2000-03-02,-0.1852
2000-03-03,0.9276
2000-03-06,-1.2868
2000-03-07,-4.6555
2000-03-08,-1.5625
2000-03-09,1.9048
2000-03-10,0.1953
2000-03-13,3.1189
2000-03-14,1.3233
2000-03-15,1.4925
2000-03-16,-0.5515
2000-03-17,-0.5545
2000-03-20,-0.3717
2000-03-21,-1.4925
2000-03-22,0.0
2000-03-23,-0.1894
2000-03-24,-1.1385
2000-03-27,1.3436
2000-03-28,-2.6515
2000-03-29,-1.9455
2000-03-30,0.3968
2000-03-31,3.5573
2000-04-03,1.145
2000-04-04,0.1887
2000-04-05,0.3766
2000-04-06,0.5629
2000-04-07,-0.3731
2000-04-10,1.1236
2000-04-11,0.5556
2000-04-12,0.5525
2000-04-13,-1.6484
2000-04-14,-1.4898
2000-04-17,0.3781
2000-04-18,-1.3183
2000-04-19,2.4809
2000-04-20,-1.4898
2000-04-24,-2.0794
2000-04-25,-0.5792
2000-04-26,-0.9709
2000-04-27,0.3922
2000-04-28,-0.9766
2000-05-01,-3.3531
2000-05-02,-5.5102
2000-05-03,0.432
2000-05-04,0.2151
2000-05-05,4.9356
2000-05-08,-0.6135
2000-05-09,0.4115
2000-05-10,1.8443
2000-05-11,-1.006
2000-05-12,-2.439
2000-05-15,0.4167
2000-05-16,0.2075
2000-05-17,-0.6211
2000-05-18,0.0
2000-05-19,-2.0833
2000-05-22,1.0638
