ticker,CFC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.7228
2000-01-04,0.5089
2000-01-05,0.2532
2000-01-06,3.0303
2000-01-07,1.7157
2000-01-10,0.8675
2000-01-11,-0.7194
2000-01-12,-0.2415
2000-01-13,8.7167
2000-01-14,-2.2272
2000-01-18,-4.7836
2000-01-19,-0.7177
2000-01-20,-1.6867
2000-01-21,-2.2059
2000-01-24,-2.5063
2000-01-25,-1.0283
2000-01-26,6.4935
2000-01-27,0.7317
2000-01-28,-1.4527999999999999
2000-01-31,2.2113
2000-02-01,1.4423
2000-02-02,1.4218
2000-02-03,0.7009
2000-02-04,-3.2483
2000-02-07,-1.6787
2000-02-08,1.4634
2000-02-09,-1.9231
2000-02-10,-2.9412000000000003
2000-02-11,-2.5253
2000-02-14,0.0
2000-02-15,-1.0363
2000-02-16,0.7853
2000-02-17,0.0
2000-02-18,-3.1169000000000002
2000-02-22,0.2681
2000-02-23,0.2674
2000-02-24,1.6
2000-02-25,2.6247
2000-02-28,3.3247999999999998
2000-02-29,-1.2376
2000-03-01,-1.7544
2000-03-02,-1.2755
2000-03-03,1.8088
2000-03-06,-1.0152
2000-03-07,-4.6154
2000-03-08,-0.5376
2000-03-09,2.7027
2000-03-10,2.3684
2000-03-13,7.455
2000-03-14,2.3923
2000-03-15,1.6355
2000-03-16,6.2069
2000-03-17,1.0823
2000-03-20,-5.7816
2000-03-21,5.2273
2000-03-22,0.216
2000-03-23,1.0776
2000-03-24,-2.9851
2000-03-27,-3.2967
2000-03-28,1.3636
2000-03-29,-2.9148
2000-03-30,-1.3857
2000-03-31,2.1077
2000-04-03,5.2752
2000-04-04,-5.4466
2000-04-05,0.4608
2000-04-06,4.5872
2000-04-07,-1.4035
2000-04-10,0.8929
2000-04-11,-1.1062
2000-04-12,5.3690999999999995
2000-04-13,0.2123
2000-04-14,-4.661
2000-04-17,-0.8889
2000-04-18,2.0179
2000-04-19,0.0
2000-04-20,-1.5385
2000-04-24,-0.6696
2000-04-25,3.8202
2000-04-26,-3.0303
2000-04-27,-0.2232
2000-04-28,-1.1186
2000-05-01,-3.3937
2000-05-02,-0.4684
2000-05-03,-2.1176
2000-05-04,-3.3654
2000-05-05,1.7412999999999998
2000-05-08,0.978
2000-05-09,0.9685
2000-05-10,-1.6787
2000-05-11,2.1951
2000-05-12,3.1026
2000-05-15,2.5463
2000-05-16,21.8962
2000-05-17,-9.8148
2000-05-18,5.9548
2000-05-19,0.0
2000-05-22,0.5814
