ticker,RAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.0638
2000-01-04,1.0526
2000-01-05,2.4306
2000-01-06,1.6949
2000-01-07,3.6667
2000-01-10,1.9293
2000-01-11,0.9464
2000-01-12,-2.1875
2000-01-13,1.278
2000-01-14,0.0
2000-01-18,3.4699999999999998
2000-01-19,-1.5244
2000-01-20,-2.4768
2000-01-21,1.5873
2000-01-24,-0.9375
2000-01-25,-2.8391
2000-01-26,-3.8961
2000-01-27,0.3378
2000-01-28,-5.7239
2000-01-31,-1.7856999999999998
2000-02-01,0.0
2000-02-02,-1.0909
2000-02-03,3.6765
2000-02-04,3.1915
2000-02-07,2.4055
2000-02-08,-2.0134
2000-02-09,7.5342
2000-02-10,-0.3185
2000-02-11,-1.278
2000-02-14,1.9417
2000-02-15,1.2698
2000-02-16,0.3135
2000-02-17,-2.1875
2000-02-18,-1.5974
2000-02-22,-0.6494
2000-02-23,-1.9607999999999999
2000-02-24,0.0
2000-02-25,-2.3333
2000-02-28,-3.413
2000-02-29,1.7668
2000-03-01,0.3472
2000-03-02,-1.3841
2000-03-03,1.0526
2000-03-06,-0.3472
2000-03-07,0.0
2000-03-08,1.8815
2000-03-09,1.0714
2000-03-10,-0.7067
2000-03-13,-4.9822
2000-03-14,0.3745
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,0.3731
2000-03-20,-1.8587
2000-03-21,4.1667
2000-03-22,-2.1818
2000-03-23,1.8587
2000-03-24,0.0
2000-03-27,-0.7299
2000-03-28,-2.9412000000000003
2000-03-29,-4.5455
2000-03-30,7.9365
2000-03-31,0.0
2000-04-03,13.9706
2000-04-04,-4.1935
2000-04-05,4.7138
2000-04-06,3.2154
2000-04-07,-0.3115
2000-04-10,-5.9375
2000-04-11,1.3289
2000-04-12,-1.6393
2000-04-13,3.0
2000-04-14,-6.4725
2000-04-17,3.4602
2000-04-18,1.0033
2000-04-19,-0.3311
2000-04-20,0.3322
2000-04-24,-1.3245
2000-04-25,3.3557
2000-04-26,3.8961
2000-04-27,1.875
2000-04-28,1.8405
2000-05-01,10.5422
2000-05-02,-2.7248
2000-05-03,0.5602
2000-05-04,1.6713
2000-05-05,-0.274
2000-05-08,-0.8242
2000-05-09,-1.9391
2000-05-10,8.1921
2000-05-11,-9.6606
2000-05-12,7.2254
2000-05-15,3.504
2000-05-16,4.1667
2000-05-17,-0.75
2000-05-18,-1.2594
2000-05-19,0.5102
2000-05-22,2.2843
2000-05-23,2.2333
