ticker,MAR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3663
2000-01-04,-0.6148
2000-01-05,1.6495
2000-01-06,1.4199
2000-01-07,2.8
2000-01-10,5.2529
2000-01-11,-3.512
2000-01-12,0.9579
2000-01-13,0.1898
2000-01-14,-0.7576
2000-01-18,-1.3359
2000-01-19,0.5803
2000-01-20,-0.9615
2000-01-21,-0.3883
2000-01-24,-5.848
2000-01-25,2.4845
2000-01-26,0.6061
2000-01-27,0.4016
2000-01-28,-1.4
2000-01-31,0.8114
2000-02-01,2.8169
2000-02-02,-1.5655999999999999
2000-02-03,2.5845000000000002
2000-02-04,5.0388
2000-02-07,-1.845
2000-02-08,0.7519
2000-02-09,-2.4254
2000-02-10,-1.912
2000-02-11,1.9493
2000-02-14,-1.3384
2000-02-15,1.7442
2000-02-16,-0.381
2000-02-17,-3.2505
2000-02-18,-2.7668
2000-02-22,-1.4228
2000-02-23,-2.0619
2000-02-24,-7.7895
2000-02-25,1.8265
2000-02-28,0.4484
2000-02-29,-1.5625
2000-03-01,-0.2268
2000-03-02,-0.4545
2000-03-03,-0.6849
2000-03-06,-1.8391
2000-03-07,-0.2342
2000-03-08,0.939
2000-03-09,0.4651
2000-03-10,-0.2315
2000-03-13,0.9281
2000-03-14,0.9195
2000-03-15,1.8223
2000-03-16,13.1991
2000-03-17,0.1976
2000-03-20,-3.3531
2000-03-21,1.6327
2000-03-22,-1.4056
2000-03-23,1.4257
2000-03-24,-3.6145
2000-03-27,1.0417
2000-03-28,0.4124
2000-03-29,2.8501
2000-03-30,-0.6
2000-03-31,1.4085
2000-04-03,2.3810000000000002
2000-04-04,2.1318
2000-04-05,-1.3283
2000-04-06,2.6923
2000-04-07,-3.7453
2000-04-10,0.5837
2000-04-11,1.5474
2000-04-12,1.1429
2000-04-13,-4.5198
2000-04-14,-3.3531
2000-04-17,-2.6531000000000002
2000-04-18,1.6771
2000-04-19,0.6186
2000-04-20,0.8197
2000-04-24,1.0163
2000-04-25,-0.8048
2000-04-26,2.6369
2000-04-27,0.5929
2000-04-28,0.5894
2000-05-01,3.125
2000-05-02,0.3788
2000-05-03,-3.3962
2000-05-04,0.9766
2000-05-05,-0.7737
2000-05-08,1.1696
2000-05-09,1.5413999999999999
2000-05-10,2.4668
2000-05-11,-1.8519
2000-05-12,4.9056999999999995
2000-05-15,3.777
2000-05-16,1.3865
2000-05-17,-2.0513
2000-05-18,0.0
2000-05-19,3.3159
2000-05-22,-2.1959
