ticker,FNMA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.6056
2000-01-04,-2.2269
2000-01-05,-2.82
2000-01-06,7.0313
2000-01-07,1.147
2000-01-10,-2.3711
2000-01-11,0.0
2000-01-12,0.9504
2000-01-13,4.0795
2000-01-14,3.9196
2000-01-18,-5.9961
2000-01-19,-0.3601
2000-01-20,-3.5622
2000-01-21,-4.0685
2000-01-24,0.7325
2000-01-25,-2.4999000000000002
2000-01-26,3.9773
2000-01-27,3.659
2000-01-28,-1.2711999999999999
2000-01-31,2.8970000000000002
2000-02-01,0.6257
2000-02-02,-0.3109
2000-02-03,2.3909000000000002
2000-02-04,-3.1471999999999998
2000-02-07,-3.1447
2000-02-08,1.1905000000000001
2000-02-09,-3.4225
2000-02-10,-3.5437
2000-02-11,0.5741
2000-02-14,-1.3699
2000-02-15,1.5046
2000-02-16,0.5701
2000-02-17,-3.5147
2000-02-18,-4.1128
2000-02-22,3.1863
2000-02-23,-1.0689
2000-02-24,-3.0012
2000-02-25,0.495
2000-02-28,5.9113
2000-02-29,-1.3953
2000-03-01,-0.3538
2000-03-02,-1.7751000000000001
2000-03-03,2.2892
2000-03-06,-2.7091
2000-03-07,-6.1743
2000-03-08,4.129
2000-03-09,-1.9827
2000-03-10,1.2642
2000-03-13,2.9962999999999997
2000-03-14,0.6061
2000-03-15,7.5904
2000-03-16,8.8466
2000-03-17,0.4115
2000-03-20,-4.3033
2000-03-21,6.424
2000-03-22,-0.4212
2000-03-23,1.0292
2000-03-24,-1.4
2000-03-27,-3.6511
2000-03-28,-0.8421
2000-03-29,-1.0616
2000-03-30,-3.4335
2000-03-31,0.5556
2000-04-03,5.8564
2000-04-04,-2.2965
2000-04-05,2.2436
2000-04-06,1.6719
2000-04-07,-1.6444
2000-04-10,-0.7315
2000-04-11,0.0
2000-04-12,6.2105
2000-04-13,-0.6938
2000-04-14,-1.1976
2000-04-17,-0.6061
2000-04-18,0.813
2000-04-19,-3.7298
2000-04-20,1.8848
2000-04-24,4.7276
2000-04-25,2.0608
2000-04-26,-1.4923
2000-04-27,-1.3725
2000-04-28,-4.0755
2000-05-01,-2.5907
2000-05-02,-3.2979
2000-05-03,-0.6601
2000-05-04,-2.4363
2000-05-05,0.1135
2000-05-08,2.8345000000000002
2000-05-09,0.0
2000-05-10,1.8742999999999999
2000-05-11,3.8961
2000-05-12,0.5208
2000-05-15,5.1813
2000-05-16,-1.7734
2000-05-17,-0.4012
2000-05-18,0.812
