ticker,JH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.3413
2000-01-04,-1.0274
2000-01-05,-0.346
2000-01-06,-0.3472
2000-01-07,-3.8327999999999998
2000-01-10,-1.087
2000-01-11,-9.8901
2000-01-12,6.5041
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,-3.8167999999999997
2000-01-19,3.1746
2000-01-20,1.5385
2000-01-21,0.0
2000-01-24,-3.0303
2000-01-25,1.1719
2000-01-26,2.7027
2000-01-27,0.7519
2000-01-28,0.3731
2000-01-31,-0.3717
2000-02-01,1.4925
2000-02-02,0.0
2000-02-03,2.5735
2000-02-04,-2.8674
2000-02-07,1.845
2000-02-08,0.3623
2000-02-09,-1.8051
2000-02-10,0.7353
2000-02-11,-1.4599
2000-02-14,0.3704
2000-02-15,-0.2952
2000-02-16,0.7435
2000-02-17,-0.369
2000-02-18,-0.7407
2000-02-22,-3.7313
2000-02-23,-1.5504
2000-02-24,-1.5748
2000-02-25,-8.4
2000-02-28,10.0437
2000-02-29,-1.9841
2000-03-01,4.0486
2000-03-02,2.7237
2000-03-03,-3.0303
2000-03-06,-4.6875
2000-03-07,-2.0492
2000-03-08,-0.4184
2000-03-09,-5.042
2000-03-10,-6.6372
2000-03-13,-6.1611
2000-03-14,6.5657
2000-03-15,7.5829
2000-03-16,9.6916
2000-03-17,-2.4096
2000-03-20,1.2346
2000-03-21,0.0
2000-03-22,0.4065
2000-03-23,4.4534
2000-03-24,-5.0388
2000-03-27,-0.8163
2000-03-28,-5.3498
2000-03-29,2.1739
2000-03-30,0.4255
2000-03-31,-8.4746
2000-04-03,7.4074
2000-04-04,0.0
2000-04-05,0.0
2000-04-06,1.2931
2000-04-07,-2.1277
2000-04-10,3.0435
2000-04-11,-2.1097
2000-04-12,2.1552
2000-04-13,1.2658
2000-04-14,-7.9167
2000-04-17,4.0724
2000-04-18,-1.3043
2000-04-19,2.2026
2000-04-20,-0.431
2000-04-24,-3.0303
2000-04-25,3.5714
2000-04-26,0.0
2000-04-27,-1.2931
2000-04-28,7.4236
2000-05-01,-3.6585
2000-05-02,2.1097
2000-05-03,6.1983
2000-05-04,-0.3891
2000-05-05,1.1719
2000-05-08,-3.8609999999999998
2000-05-09,1.6064
2000-05-10,-0.3953
2000-05-11,2.7778
2000-05-12,-1.5444
2000-05-15,1.9607999999999999
2000-05-16,-1.4615
2000-05-17,-1.1764999999999999
2000-05-18,-2.3810000000000002
2000-05-19,2.0325
2000-05-22,0.3984
