ticker,MWYGQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.3943
2000-01-04,-4.0541
2000-01-05,2.2535
2000-01-06,1.3774
2000-01-07,0.0
2000-01-10,-1.3587
2000-01-11,-3.3058
2000-01-12,-13.3903
2000-01-13,2.6316
2000-01-14,-2.5641
2000-01-18,-5.2632
2000-01-19,5.2083
2000-01-20,0.6601
2000-01-21,-14.7541
2000-01-24,0.0
2000-01-25,0.3846
2000-01-26,-2.682
2000-01-27,-5.9055
2000-01-28,-1.6736
2000-01-31,-8.0851
2000-02-01,4.1667
2000-02-02,4.0
2000-02-03,7.6923
2000-02-04,0.0
2000-02-07,-0.3968
2000-02-08,3.1873
2000-02-09,-3.8609999999999998
2000-02-10,-0.8032
2000-02-11,-2.0243
2000-02-14,-3.719
2000-02-15,-5.1502
2000-02-16,-0.905
2000-02-17,1.3699
2000-02-18,-4.5045
2000-02-22,-0.9434
2000-02-23,6.6667
2000-02-24,0.4464
2000-02-25,-2.6667
2000-02-28,3.1963
2000-02-29,4.8673
2000-03-01,3.3755
2000-03-02,1.2245
2000-03-03,11.2903
2000-03-06,1.4493
2000-03-07,-0.7143
2000-03-08,-0.7194
2000-03-09,-0.7246
2000-03-10,17.5182
2000-03-13,-5.5901
2000-03-14,-4.9342
2000-03-15,-4.4983
2000-03-16,1.4493
2000-03-17,-1.4285999999999999
2000-03-20,-5.4348
2000-03-21,1.5326
2000-03-22,0.3774
2000-03-23,-0.7519
2000-03-24,1.1364
2000-03-27,-6.367
2000-03-28,-2.8
2000-03-29,-3.2922000000000002
2000-03-30,-6.383
2000-03-31,-3.6364
2000-04-03,8.4906
2000-04-04,-8.2609
2000-04-05,2.3697
2000-04-06,5.5556
2000-04-07,-41.2281
2000-04-10,6.7164
2000-04-11,-3.4965
2000-04-12,-10.1449
2000-04-13,0.0
2000-04-14,-6.4516
2000-04-17,-7.7586
2000-04-18,0.0
2000-04-19,0.9346
2000-04-20,-1.8519
2000-04-24,-6.6038
2000-04-25,3.0303
2000-04-26,6.8627
2000-04-27,-1.8349
2000-04-28,-0.9346
2000-05-01,7.5472
2000-05-02,0.0
2000-05-03,0.0
2000-05-04,-1.7544
2000-05-05,6.25
2000-05-08,3.3613
2000-05-09,0.0
2000-05-10,-8.1301
2000-05-11,0.0
2000-05-12,-0.885
2000-05-15,1.7856999999999998
2000-05-16,-1.7544
2000-05-17,-0.8929
2000-05-18,-3.6036
2000-05-19,0.0
2000-05-22,-1.8692
2000-05-23,0.0
