ticker,RTI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.1667
2000-01-04,0.0
2000-01-05,4.3478
2000-01-06,-3.3333
2000-01-07,8.6207
2000-01-10,1.5873
2000-01-11,2.3438
2000-01-12,-2.2901
2000-01-13,0.0
2000-01-14,2.3438
2000-01-18,-1.5267
2000-01-19,-0.7752
2000-01-20,-3.9063
2000-01-21,-4.065
2000-01-24,0.0
2000-01-25,-4.2373
2000-01-26,3.5398
2000-01-27,0.8547
2000-01-28,-1.6949
2000-01-31,1.7241
2000-02-01,1.6949
2000-02-02,1.6667
2000-02-03,0.8197
2000-02-04,-3.252
2000-02-07,1.6806999999999999
2000-02-08,0.0
2000-02-09,-0.8264
2000-02-10,0.0
2000-02-11,0.0
2000-02-14,-0.8333
2000-02-15,-1.6806999999999999
2000-02-16,0.8547
2000-02-17,0.8475
2000-02-18,0.8403
2000-02-22,-4.1667
2000-02-23,0.8696
2000-02-24,-11.2069
2000-02-25,-2.9126
2000-02-28,4.0
2000-02-29,8.6538
2000-03-01,-2.6549
2000-03-02,-0.9091
2000-03-03,0.9174
2000-03-06,0.0
2000-03-07,-0.9091
2000-03-08,-2.7523
2000-03-09,5.6604
2000-03-10,0.8929
2000-03-13,0.885
2000-03-14,-0.8772
2000-03-15,3.5398
2000-03-16,4.2735
2000-03-17,14.7541
2000-03-20,5.7143
2000-03-21,0.0
2000-03-22,-1.3514
2000-03-23,0.6849
2000-03-24,-1.3605
2000-03-27,-4.1379
2000-03-28,-2.8777
2000-03-29,0.7407
2000-03-30,0.0
2000-03-31,3.6765
2000-04-03,-1.4184
2000-04-04,2.1583
2000-04-05,5.6338
2000-04-06,4.0
2000-04-07,-5.1282
2000-04-10,2.7027
2000-04-11,0.0
2000-04-12,0.0
2000-04-13,0.6579
2000-04-14,-1.3072
2000-04-17,3.9735
2000-04-18,-1.2739
2000-04-19,-1.2903
2000-04-20,-3.9215999999999998
2000-04-24,6.1224
2000-04-25,0.641
2000-04-26,4.4586
2000-04-27,2.439
2000-04-28,0.5952
2000-05-01,4.142
2000-05-02,-1.1364
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,2.8736
2000-05-08,-2.2346
2000-05-09,-1.1429
2000-05-10,-1.7341
2000-05-11,1.1764999999999999
2000-05-12,-0.5814
2000-05-15,0.0
2000-05-16,4.0936
2000-05-17,-1.6854
2000-05-18,-1.7143000000000002
2000-05-19,2.3256
2000-05-22,0.5682
2000-05-23,0.0
2000-05-24,-1.1299
