ticker,DST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.7199
2000-01-04,-3.0
2000-01-05,-1.8041
2000-01-06,-2.0122
2000-01-07,0.7143
2000-01-10,2.1277
2000-01-11,0.0868
2000-01-12,-1.6479
2000-01-13,0.3527
2000-01-14,-0.1757
2000-01-18,-0.9683
2000-01-19,2.0444
2000-01-20,-3.0488
2000-01-21,0.1797
2000-01-24,-0.6278
2000-01-25,-1.3538000000000001
2000-01-26,-0.4575
2000-01-27,-1.5625
2000-01-28,-5.3221
2000-01-31,-1.9724
2000-02-01,-0.2012
2000-02-02,0.9073
2000-02-03,-0.0999
2000-02-04,-0.2
2000-02-07,0.9018
2000-02-08,1.6882000000000001
2000-02-09,0.0977
2000-02-10,0.878
2000-02-11,0.0
2000-02-14,-1.2572999999999999
2000-02-15,-2.0568
2000-02-16,0.4
2000-02-17,-1.2948
2000-02-18,-1.3118
2000-02-22,-0.7157
2000-02-23,-2.7805999999999997
2000-02-24,-0.1059
2000-02-25,0.3181
2000-02-28,-0.74
2000-02-29,-4.3663
2000-03-01,2.5612
2000-03-02,-0.76
2000-03-03,3.6105
2000-03-06,-4.5407
2000-03-07,-3.9823
2000-03-08,-1.3825
2000-03-09,-0.2336
2000-03-10,4.2155
2000-03-13,0.4494
2000-03-14,-2.349
2000-03-15,-2.1764
2000-03-16,0.3513
2000-03-17,5.6009
2000-03-20,-3.0939
2000-03-21,0.9122
2000-03-22,-1.9209
2000-03-23,2.8802
2000-03-24,4.9272
2000-03-27,1.7076
2000-03-28,-2.9381
2000-03-29,8.7568
2000-03-30,-1.5905
2000-03-31,4.9306
2000-04-03,-1.0409
2000-04-04,0.1946
2000-04-05,1.6505
2000-04-06,5.0621
2000-04-07,1.8182
2000-04-10,-3.3929
2000-04-11,0.7394
2000-04-12,2.3853
2000-04-13,-3.3154
2000-04-14,-5.2827
2000-04-17,0.9785
2000-04-18,4.0698
2000-04-19,0.3724
2000-04-20,8.1633
2000-04-24,1.458
2000-04-25,0.6762
2000-04-26,-2.0991
2000-04-27,0.1715
2000-04-28,1.6267
2000-05-01,0.5897
2000-05-02,-1.4238
2000-05-03,-2.9737
2000-05-04,2.7145
2000-05-05,-0.1705
2000-05-08,-0.6832
2000-05-09,2.0636
2000-05-10,-4.2123
2000-05-11,1.0554
2000-05-12,1.6536
2000-05-15,-0.6849
2000-05-16,1.0345
2000-05-17,-3.3276
2000-05-18,-2.1183
2000-05-19,-0.9919
2000-05-22,-0.7286
