ticker,BCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.8409
2000-01-04,-3.8012
2000-01-05,4.5593
2000-01-06,-0.8721
2000-01-07,0.0
2000-01-10,1.7595
2000-01-11,-2.8818
2000-01-12,-0.8902
2000-01-13,5.0898
2000-01-14,-0.5698
2000-01-18,-0.2865
2000-01-19,1.1494
2000-01-20,0.0
2000-01-21,-3.125
2000-01-24,-3.5191
2000-01-25,-4.5593
2000-01-26,1.2739
2000-01-27,0.9434
2000-01-28,0.9346
2000-01-31,-3.7037
2000-02-01,3.2051
2000-02-02,-2.795
2000-02-03,-2.5559
2000-02-04,3.2787
2000-02-07,-3.4920999999999998
2000-02-08,-1.6447
2000-02-09,1.0033
2000-02-10,-3.9735
2000-02-11,1.5171999999999999
2000-02-14,-1.3605
2000-02-15,3.4483
2000-02-16,-4.6667
2000-02-17,-1.3986
2000-02-18,-3.9007
2000-02-22,0.369
2000-02-23,-0.3676
2000-02-24,-0.738
2000-02-25,-2.6022
2000-02-28,1.9083999999999999
2000-02-29,7.1161
2000-03-01,-3.8462
2000-03-02,-4.3636
2000-03-03,-0.7605
2000-03-06,-1.9157
2000-03-07,-1.1719
2000-03-08,0.7905
2000-03-09,-0.3922
2000-03-10,-3.9370000000000003
2000-03-13,0.8197
2000-03-14,0.813
2000-03-15,3.629
2000-03-16,3.8911
2000-03-17,-4.1199
2000-03-20,0.3906
2000-03-21,2.3346
2000-03-22,1.9011
2000-03-23,2.6119
2000-03-24,-2.9091
2000-03-27,0.3745
2000-03-28,0.7463
2000-03-29,-4.8148
2000-03-30,1.9455
2000-03-31,3.8167999999999997
2000-04-03,-4.4118
2000-04-04,2.3077
2000-04-05,-1.5038
2000-04-06,0.0
2000-04-07,0.7634
2000-04-10,-1.1364
2000-04-11,1.9157
2000-04-12,1.1278
2000-04-13,1.1152
2000-04-14,-3.6765
2000-04-17,1.5267
2000-04-18,2.6316
2000-04-19,-2.1978
2000-04-20,-2.6217
2000-04-24,-0.3846
2000-04-25,1.9304999999999999
2000-04-26,0.7576
2000-04-27,-4.5113
2000-04-28,3.1496
2000-05-01,0.7634
2000-05-02,-7.5758
2000-05-03,-2.8689
2000-05-04,0.8439
2000-05-05,2.0921
2000-05-08,-2.459
2000-05-09,-1.2605
2000-05-10,0.0
2000-05-11,2.7234
2000-05-12,-0.4149
2000-05-15,-1.25
2000-05-16,0.0
2000-05-17,-0.8439
2000-05-18,1.7021
2000-05-19,-2.0921
2000-05-22,-0.4274
