ticker,BZH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.6494
2000-01-04,-3.871
2000-01-05,-1.0067
2000-01-06,0.339
2000-01-07,-2.027
2000-01-10,2.7586
2000-01-11,1.0067
2000-01-12,0.3322
2000-01-13,0.6623
2000-01-14,4.6053
2000-01-18,-1.2579
2000-01-19,0.6369
2000-01-20,1.2658
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,-2.5
2000-01-26,-3.2051
2000-01-27,-3.3113
2000-01-28,1.7123
2000-01-31,-1.0101
2000-02-01,0.3401
2000-02-02,-3.0508
2000-02-03,-0.6993
2000-02-04,0.7042
2000-02-07,0.6993
2000-02-08,-1.3889
2000-02-09,-2.4648
2000-02-10,1.083
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,1.4285999999999999
2000-02-17,3.5211
2000-02-18,0.0
2000-02-22,0.6803
2000-02-23,4.7297
2000-02-24,-2.2580999999999998
2000-02-25,-1.3201
2000-02-28,-0.6689
2000-02-29,-0.3367
2000-03-01,-0.6757
2000-03-02,0.6803
2000-03-03,0.3378
2000-03-06,-1.3468
2000-03-07,-1.7065000000000001
2000-03-08,-1.0417
2000-03-09,-1.4035
2000-03-10,-1.7793999999999999
2000-03-13,0.0
2000-03-14,-0.7246
2000-03-15,4.3796
2000-03-16,4.1958
2000-03-17,0.3356
2000-03-20,-1.3378
2000-03-21,0.339
2000-03-22,0.0
2000-03-23,1.0135
2000-03-24,1.3378
2000-03-27,0.9901
2000-03-28,1.3072
2000-03-29,-3.5484
2000-03-30,0.0
2000-03-31,0.3344
2000-04-03,1.3333
2000-04-04,-0.9868
2000-04-05,-0.3322
2000-04-06,-3.0
2000-04-07,1.7182
2000-04-10,0.6757
2000-04-11,0.0
2000-04-12,-0.6711
2000-04-13,0.6757
2000-04-14,-1.0067
2000-04-17,-2.3729
2000-04-18,1.3889
2000-04-19,-1.7123
2000-04-20,-0.3484
2000-04-24,-2.4476
2000-04-25,1.4337
2000-04-26,2.1201
2000-04-27,2.4221
2000-04-28,3.3784
2000-05-01,2.2876
2000-05-02,0.0
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,0.639
2000-05-08,0.0
2000-05-09,-0.3175
2000-05-10,1.9108
2000-05-11,-1.25
2000-05-12,2.5316
2000-05-15,0.6173
2000-05-16,7.0552
2000-05-17,0.2865
2000-05-18,-0.5714
2000-05-19,0.0
2000-05-22,-4.023
2000-05-23,-2.6946
2000-05-24,-3.3846
