ticker,LOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-28,0.05
2005-06-29,-0.05
2005-06-30,0.1
2005-07-01,-0.0999
2005-07-05,0.05
2005-07-06,-0.05
2005-07-07,0.0
2005-07-08,0.05
2005-07-11,0.0
2005-07-12,-0.05
2005-07-13,0.0
2005-07-14,0.05
2005-07-15,-0.05
2005-07-18,0.05
2005-07-19,-0.05
2005-07-20,0.05
2005-07-21,-0.05
2005-07-22,0.0
2005-07-25,0.0
2005-07-26,0.2
2005-07-27,-0.1497
2005-07-28,-0.05
2005-07-29,0.0
2005-08-01,0.15
2005-08-02,-0.1498
2005-08-03,0.0
2005-08-04,0.0
2005-08-05,0.2
2005-08-08,-0.1996
2005-08-09,-1.75
2005-08-10,-4.0204
2005-08-11,-1.9088
2005-08-12,0.5405
2005-08-15,-1.0753
2005-08-16,0.0
2005-08-17,0.2717
2005-08-18,0.7046
2005-08-19,-2.3143000000000002
2005-08-22,-0.8264
2005-08-23,0.9444
2005-08-24,-0.6604
2005-08-25,2.1607
2005-08-26,-0.3254
2005-08-29,0.6529
2005-08-30,2.7027
2005-08-31,0.0
2005-09-01,1.0526
2005-09-02,0.0
2005-09-06,0.5208
2005-09-07,1.0363
2005-09-08,0.3421
2005-09-09,-0.5656
2005-09-12,-1.0341
2005-09-13,-0.1567
2005-09-14,-0.7326
2005-09-15,-0.4744
2005-09-16,1.1123
2005-09-19,-0.7334
2005-09-20,0.2111
2005-09-21,-1.5271
2005-09-22,-1.8182
2005-09-23,-1.0893
2005-09-26,-0.4956
2005-09-27,-0.6087
2005-09-28,1.8374000000000001
2005-09-29,0.4374
2005-09-30,-0.871
2005-10-03,0.7688
2005-10-04,-0.5995
2005-10-05,0.1096
2005-10-06,0.4929
2005-10-07,-0.9444
2005-10-10,-0.2769
2005-10-11,0.2221
2005-10-12,-0.554
2005-10-13,0.2786
2005-10-14,-0.5556
2005-10-17,0.0
2005-10-18,-1.1173
2005-10-19,-0.3955
2005-10-20,-1.3046
2005-10-21,-0.4023
2005-10-24,-1.0387
2005-10-25,-1.2245
2005-10-26,0.3542
2005-10-27,4.1176
2005-10-28,1.7513999999999998
2005-10-31,-0.3331
2005-11-01,-0.5571
2005-11-02,1.4062000000000001
2005-11-03,1.1546
2005-11-04,0.2731
2005-11-07,0.6536
2005-11-08,-0.7754
2005-11-09,-2.2496
2005-11-10,2.1891
2005-11-11,-1.0989
2005-11-14,-0.8333
2005-11-15,-0.8403
2005-11-16,-1.4117
