ticker,GLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.3841
2000-01-04,-3.7118
2000-01-05,-2.2676
2000-01-06,0.232
2000-01-07,1.1574
2000-01-10,0.0
2000-01-11,-1.373
2000-01-12,0.6961
2000-01-13,-1.3825
2000-01-14,-3.0374
2000-01-18,-0.4819
2000-01-19,0.7264
2000-01-20,-0.7212
2000-01-21,4.1162
2000-01-24,-2.093
2000-01-25,-4.038
2000-01-26,-2.7228
2000-01-27,1.7812000000000001
2000-01-28,-2.0
2000-01-31,-1.7856999999999998
2000-02-01,1.5584
2000-02-02,2.1586
2000-02-03,-3.2663
2000-02-04,-1.2987
2000-02-07,-1.0526
2000-02-08,-1.5957
2000-02-09,-1.6216
2000-02-10,-4.9451
2000-02-11,-1.1561
2000-02-14,-4.0936
2000-02-15,-6.4024
2000-02-16,-0.9772
2000-02-17,-3.9474
2000-02-18,-1.0274
2000-02-22,1.7301
2000-02-23,-0.3401
2000-02-24,-3.7542999999999997
2000-02-25,-2.8369
2000-02-28,-1.0949
2000-02-29,0.369
2000-03-01,-1.4706000000000001
2000-03-02,17.1642
2000-03-03,-4.7771
2000-03-06,-5.0167
2000-03-07,0.0
2000-03-08,1.0563
2000-03-09,-0.6969
2000-03-10,6.3158
2000-03-13,-5.2805
2000-03-14,-5.2265
2000-03-15,11.7647
2000-03-16,3.9474
2000-03-17,0.6329
2000-03-20,-2.2013
2000-03-21,0.9646
2000-03-22,3.1847
2000-03-23,27.7778
2000-03-24,-4.8309
2000-03-27,-3.8071
2000-03-28,0.2639
2000-03-29,-5.0
2000-03-30,0.554
2000-03-31,6.0606
2000-04-03,-5.1948
2000-04-04,-1.9178
2000-04-05,0.5587
2000-04-06,-3.3333
2000-04-07,-1.1494
2000-04-10,-2.6163
2000-04-11,-4.7761
2000-04-12,-2.5078
2000-04-13,1.2862
2000-04-14,-7.9365
2000-04-17,3.1034
2000-04-18,9.0301
2000-04-19,0.3067
2000-04-20,4.5872
2000-04-24,-1.1696
2000-04-25,7.1006
2000-04-26,-4.6961
2000-04-27,3.4783
2000-04-28,3.6414999999999997
2000-05-01,3.2432
2000-05-02,-6.2827
2000-05-03,0.9609
2000-05-04,2.7778
2000-05-05,3.5135
2000-05-08,-0.7833
2000-05-09,1.5789
2000-05-10,0.2591
2000-05-11,3.3592
2000-05-12,-1.75
2000-05-15,2.0356
2000-05-16,0.0
2000-05-17,-2.7431
2000-05-18,1.2821
2000-05-19,1.2658
2000-05-22,-3.5
