ticker,OLN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4164
2000-01-04,-0.33
2000-01-05,6.6225000000000005
2000-01-06,3.591
2000-01-07,-0.7684
2000-01-10,-3.0211
2000-01-11,-1.8692
2000-01-12,-0.3175
2000-01-13,-0.6369
2000-01-14,3.8462
2000-01-18,-1.5432000000000001
2000-01-19,-2.5078
2000-01-20,-1.2862
2000-01-21,-1.6287
2000-01-24,-1.9868000000000001
2000-01-25,1.3514
2000-01-26,2.6667
2000-01-27,-2.9221
2000-01-28,-0.6689
2000-01-31,-5.7239
2000-02-01,2.8571
2000-02-02,0.0
2000-02-03,-1.3889
2000-02-04,-1.0563
2000-02-07,1.4235
2000-02-08,-4.1404
2000-02-09,-2.5926
2000-02-10,-5.3232
2000-02-11,0.8032
2000-02-14,4.7809
2000-02-15,1.1407
2000-02-16,-0.7519
2000-02-17,3.7879
2000-02-18,-6.2044
2000-02-22,0.7782
2000-02-23,-1.1583
2000-02-24,-3.125
2000-02-25,1.2097
2000-02-28,0.0
2000-02-29,-1.1952
2000-03-01,1.2097
2000-03-02,0.7968
2000-03-03,2.7668
2000-03-06,-1.5385
2000-03-07,-5.4688
2000-03-08,2.8926
2000-03-09,1.6064
2000-03-10,3.1621
2000-03-13,-1.9157
2000-03-14,-3.125
2000-03-15,9.2742
2000-03-16,2.214
2000-03-17,-2.1661
2000-03-20,1.476
2000-03-21,-4.0
2000-03-22,-1.5152
2000-03-23,1.9231
2000-03-24,-1.5093999999999999
2000-03-27,-1.9157
2000-03-28,-1.1719
2000-03-29,3.1621
2000-03-30,4.5977
2000-03-31,4.0293
2000-04-03,-3.8731999999999998
2000-04-04,-0.3663
2000-04-05,-1.4706000000000001
2000-04-06,3.7313
2000-04-07,-2.1583
2000-04-10,-1.8382
2000-04-11,10.1124
2000-04-12,-2.3810000000000002
2000-04-13,0.6969
2000-04-14,-6.2284
2000-04-17,1.845
2000-04-18,-1.4493
2000-04-19,-1.8382
2000-04-20,0.0
2000-04-24,1.1236
2000-04-25,-0.3704
2000-04-26,-2.2305
2000-04-27,-1.1407
2000-04-28,9.2308
2000-05-01,-1.4085
2000-05-02,1.7856999999999998
2000-05-03,-3.5088
2000-05-04,1.8182
2000-05-05,1.7856999999999998
2000-05-08,1.1228
2000-05-09,2.1053
2000-05-10,-4.811
2000-05-11,1.444
2000-05-12,-0.7117
2000-05-15,2.509
2000-05-16,2.0979
2000-05-17,-3.0822
2000-05-18,-2.4735
2000-05-19,1.087
