ticker,WGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.5455
2000-01-04,0.2381
2000-01-05,0.2375
2000-01-06,-0.2654
2000-01-07,-0.2404
2000-01-10,-0.241
2000-01-11,-1.9324
2000-01-12,0.2463
2000-01-13,0.0
2000-01-14,-0.2457
2000-01-18,0.4926
2000-01-19,0.0
2000-01-20,0.2451
2000-01-21,0.2445
2000-01-24,0.7317
2000-01-25,-2.6634
2000-01-26,0.2488
2000-01-27,0.7444
2000-01-28,0.2463
2000-01-31,-1.2285
2000-02-01,1.4925
2000-02-02,-0.7353
2000-02-03,-0.2469
2000-02-04,0.0
2000-02-07,-0.7426
2000-02-08,0.9975
2000-02-09,-0.2469
2000-02-10,-1.2376
2000-02-11,-3.0075
2000-02-14,1.292
2000-02-15,0.2551
2000-02-16,-0.2545
2000-02-17,1.2755
2000-02-18,-1.5112999999999999
2000-02-22,-2.8133
2000-02-23,-3.4211
2000-02-24,-1.3624
2000-02-25,2.2099
2000-02-28,0.5405
2000-02-29,2.6882
2000-03-01,0.0
2000-03-02,-0.5236
2000-03-03,0.7895
2000-03-06,-0.2611
2000-03-07,0.2618
2000-03-08,0.5222
2000-03-09,-0.7792
2000-03-10,0.2618
2000-03-13,-0.5222
2000-03-14,-0.2625
2000-03-15,1.0526
2000-03-16,4.6875
2000-03-17,-1.4925
2000-03-20,0.7576
2000-03-21,-1.7544
2000-03-22,0.7653
2000-03-23,-0.5063
2000-03-24,2.2901
2000-03-27,0.0
2000-03-28,-3.7313
2000-03-29,2.3256
2000-03-30,2.5253
2000-03-31,7.1429
2000-04-03,-4.5977
2000-04-04,-0.7229
2000-04-05,2.4272
2000-04-06,-0.2464
2000-04-07,-1.2019
2000-04-10,-1.2165
2000-04-11,-0.2463
2000-04-12,0.9877
2000-04-13,1.2225
2000-04-14,1.2077
2000-04-17,-0.4773
2000-04-18,-0.9592
2000-04-19,0.4843
2000-04-20,-0.4819
2000-04-24,-1.2107
2000-04-25,0.7353
2000-04-26,0.2433
2000-04-27,1.2136
2000-04-28,-1.6787
2000-05-01,4.1463
2000-05-02,-1.6393
2000-05-03,-1.4285999999999999
2000-05-04,2.1739
2000-05-05,-0.4728
2000-05-08,0.0
2000-05-09,0.7126
2000-05-10,0.2358
2000-05-11,2.3529
2000-05-12,-1.3793
2000-05-15,0.4662
2000-05-16,0.6961
2000-05-17,-1.8433000000000002
2000-05-18,-1.4085
2000-05-19,-1.1905000000000001
2000-05-22,0.4819
