ticker,LXK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6906
2000-01-04,-0.3477
2000-01-05,0.6891
2000-01-06,-2.1398
2000-01-07,0.0
2000-01-10,-2.762
2000-01-11,-0.5098
2000-01-12,2.6353999999999997
2000-01-13,5.5635
2000-01-14,-2.4324
2000-01-18,-2.4238
2000-01-19,0.2129
2000-01-20,-6.5156
2000-01-21,-2.4432
2000-01-24,14.9291
2000-01-25,4.3243
2000-01-26,-2.3316
2000-01-27,-2.0557
2000-01-28,2.302
2000-01-31,-0.1985
2000-02-01,1.7241
2000-02-02,5.3455
2000-02-03,4.9505
2000-02-04,10.2005
2000-02-07,-6.3135
2000-02-08,5.5397
2000-02-09,-2.2186
2000-02-10,1.2175
2000-02-11,-4.9207
2000-02-14,1.2076
2000-02-15,-0.6818
2000-02-16,-1.1442
2000-02-17,8.3912
2000-02-18,-3.4704
2000-02-22,1.3827
2000-02-23,-2.7823
2000-02-24,2.6936
2000-02-25,-2.9508
2000-02-28,8.1644
2000-02-29,-0.6767
2000-03-01,-0.2096
2000-03-02,-1.2605
2000-03-03,2.0213
2000-03-06,-3.2325
2000-03-07,1.6164
2000-03-08,8.5896
2000-03-09,-1.0742
2000-03-10,2.1718
2000-03-13,-0.9179
2000-03-14,-2.8766
2000-03-15,-0.4016
2000-03-16,-3.4274
2000-03-17,2.9749
2000-03-20,5.4739
2000-03-21,0.5286
2000-03-22,-1.2428
2000-03-23,-2.4685
2000-03-24,-0.8933
2000-03-27,-2.654
2000-03-28,-3.2922000000000002
2000-03-29,-6.1702
2000-03-30,-6.746
2000-03-31,2.8571
2000-04-03,0.2955
2000-04-04,0.1768
2000-04-05,1.5882
2000-04-06,3.0689
2000-04-07,7.4157
2000-04-10,-3.6088
2000-04-11,-8.6272
2000-04-12,-0.0594
2000-04-13,-0.1783
2000-04-14,-2.5595
2000-04-17,-1.9548
2000-04-18,17.6324
2000-04-19,-7.6271
2000-04-20,5.3899
2000-04-24,-6.6921
2000-04-25,2.1574
2000-04-26,1.8265
2000-04-27,3.2511
2000-04-28,2.4973
2000-05-01,0.5297
2000-05-02,-1.9494
2000-05-03,-7.093
2000-05-04,-6.4199
2000-05-05,2.5958
2000-05-08,-5.7831
2000-05-09,-6.5857
2000-05-10,-6.9815000000000005
2000-05-11,2.4283
2000-05-12,8.7195
2000-05-15,-2.734
2000-05-16,6.1821
2000-05-17,-8.0614
2000-05-18,-0.3479
2000-05-19,0.7682
2000-05-22,-10.1871
