ticker,FRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-0.3322
2000-01-05,-0.3333
2000-01-06,3.01
2000-01-07,5.1948
2000-01-10,0.6173
2000-01-11,-3.681
2000-01-12,1.9108
2000-01-13,-0.3125
2000-01-14,-0.9404
2000-01-18,1.2658
2000-01-19,0.625
2000-01-20,0.3106
2000-01-21,0.0
2000-01-24,-0.9288
2000-01-25,0.0
2000-01-26,0.0
2000-01-27,0.3125
2000-01-28,0.0
2000-01-31,-0.6231
2000-02-01,0.627
2000-02-02,-1.8692
2000-02-03,0.3175
2000-02-04,-1.5823
2000-02-07,-1.2862
2000-02-08,-0.3257
2000-02-09,0.0
2000-02-10,0.9804
2000-02-11,-2.9126
2000-02-14,-4.0
2000-02-15,0.0
2000-02-16,-0.6944
2000-02-17,1.049
2000-02-18,0.692
2000-02-22,1.7182
2000-02-23,0.6757
2000-02-24,-2.0134
2000-02-25,0.6849
2000-02-28,1.3605
2000-02-29,3.3557
2000-03-01,-0.6494
2000-03-02,-0.6536
2000-03-03,0.3289
2000-03-06,0.6557
2000-03-07,-2.2801
2000-03-08,1.3333
2000-03-09,-0.6579
2000-03-10,-0.6623
2000-03-13,0.0
2000-03-14,0.6667
2000-03-15,-0.6623
2000-03-16,1.3333
2000-03-17,0.9868
2000-03-20,0.6515
2000-03-21,1.9417
2000-03-22,-1.2063
2000-03-23,-0.9868
2000-03-24,-1.3289
2000-03-27,1.3468
2000-03-28,0.3322
2000-03-29,0.6623
2000-03-30,0.6579
2000-03-31,0.9804
2000-04-03,-0.9709
2000-04-04,1.3072
2000-04-05,1.9355
2000-04-06,2.8481
2000-04-07,3.3846
2000-04-10,-1.4881
2000-04-11,-0.3021
2000-04-12,2.1212
2000-04-13,0.0
2000-04-14,-1.7804
2000-04-17,-0.6042
2000-04-18,-1.2158
2000-04-19,-0.3077
2000-04-20,0.6173
2000-04-24,-0.3067
2000-04-25,1.5385
2000-04-26,1.8182
2000-04-27,1.4881
2000-04-28,-0.2933
2000-05-01,1.7647
2000-05-02,1.7341
2000-05-03,0.2841
2000-05-04,0.0
2000-05-05,-0.2833
2000-05-08,-0.8523
2000-05-09,0.0
2000-05-10,-1.4327
2000-05-11,1.1628
2000-05-12,0.2874
2000-05-15,0.5731
2000-05-16,-0.5698
2000-05-17,-1.1461000000000001
2000-05-18,3.4783
2000-05-19,-1.4006
2000-05-22,0.2841
2000-05-23,-1.4163999999999999
2000-05-24,1.7241
