ticker,ESS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0221
2000-01-04,-1.1257
2000-01-05,-0.3795
2000-01-06,0.9524
2000-01-07,3.3962
2000-01-10,-0.5474
2000-01-11,-1.1009
2000-01-12,-0.1855
2000-01-13,1.1152
2000-01-14,-0.3676
2000-01-18,-0.369
2000-01-19,1.1111
2000-01-20,0.5495
2000-01-21,-0.7286
2000-01-24,-0.1835
2000-01-25,0.5515
2000-01-26,-0.1828
2000-01-27,0.7326
2000-01-28,-1.2727
2000-01-31,0.1842
2000-02-01,1.8382
2000-02-02,-0.1805
2000-02-03,0.9042
2000-02-04,0.5376
2000-02-07,-0.713
2000-02-08,-1.2567
2000-02-09,-0.1818
2000-02-10,0.1821
2000-02-11,-0.1818
2000-02-14,0.7286
2000-02-15,-0.3617
2000-02-16,-0.5445
2000-02-17,0.365
2000-02-18,0.1818
2000-02-22,1.4519
2000-02-23,-0.1789
2000-02-24,-0.5376
2000-02-25,-0.9009
2000-02-28,0.5455
2000-02-29,1.9891999999999999
2000-03-01,1.0638
2000-03-02,0.0
2000-03-03,0.8772
2000-03-06,0.3478
2000-03-07,-0.1733
2000-03-08,0.0
2000-03-09,0.1736
2000-03-10,-0.3466
2000-03-13,0.0
2000-03-14,0.0
2000-03-15,-0.6957
2000-03-16,0.7005
2000-03-17,0.1739
2000-03-20,-0.3472
2000-03-21,0.1742
2000-03-22,0.1739
2000-03-23,-0.3472
2000-03-24,-0.8711
2000-03-27,0.703
2000-03-28,-0.1745
2000-03-29,2.0629
2000-03-30,0.0
2000-03-31,0.1739
2000-04-03,1.0417
2000-04-04,0.5155
2000-04-05,0.3419
2000-04-06,1.7036
2000-04-07,0.0
2000-04-10,-0.335
2000-04-11,0.1681
2000-04-12,1.0067
2000-04-13,0.1661
2000-04-14,0.3317
2000-04-17,0.4959
2000-04-18,-0.3289
2000-04-19,-0.6601
2000-04-20,0.4983
2000-04-24,-0.6612
2000-04-25,1.3311
2000-04-26,-0.6568
2000-04-27,2.1488
2000-04-28,0.0
2000-05-01,0.6472
2000-05-02,0.9646
2000-05-03,0.3185
2000-05-04,1.2698
2000-05-05,0.9404
2000-05-08,-0.4658
2000-05-09,0.78
2000-05-10,-0.3096
2000-05-11,-0.1553
2000-05-12,0.4666
2000-05-15,1.2384
2000-05-16,1.2232
2000-05-17,-0.6042
2000-05-18,-1.0638
2000-05-19,0.0
2000-05-22,-0.3072
2000-05-23,-0.3082
2000-05-24,-0.4637
