ticker,DFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5
2000-01-04,-1.4957
2000-01-05,1.3014999999999999
2000-01-06,0.1338
2000-01-07,3.2879
2000-01-10,-3.1056
2000-01-11,0.8547
2000-01-12,-0.2119
2000-01-13,2.7601
2000-01-14,3.719
2000-01-18,-0.5976
2000-01-19,0.8016
2000-01-20,0.3976
2000-01-21,-0.198
2000-01-24,6.9444
2000-01-25,-2.4119
2000-01-26,2.4715
2000-01-27,3.154
2000-01-28,-1.259
2000-01-31,-3.8251
2000-02-01,1.8939
2000-02-02,2.0446
2000-02-03,2.0036
2000-02-04,-1.0714
2000-02-07,-0.361
2000-02-08,-1.9928
2000-02-09,-1.6636
2000-02-10,-5.0752
2000-02-11,-1.9802
2000-02-14,-3.2323
2000-02-15,-1.4614
2000-02-16,-1.4830999999999999
2000-02-17,1.2903
2000-02-18,-5.0955
2000-02-22,-0.4474
2000-02-23,0.2247
2000-02-24,-2.6906
2000-02-25,-1.3825
2000-02-28,-1.4019
2000-02-29,0.0
2000-03-01,-0.4739
2000-03-02,-0.4762
2000-03-03,-0.7177
2000-03-06,-5.5422
2000-03-07,3.3163
2000-03-08,0.7407
2000-03-09,0.4902
2000-03-10,-0.2439
2000-03-13,-10.0244
2000-03-14,7.337
2000-03-15,2.5316
2000-03-16,8.642
2000-03-17,4.3182
2000-03-20,-1.3072
2000-03-21,3.7528
2000-03-22,-0.2128
2000-03-23,2.7719
2000-03-24,0.2075
2000-03-27,-1.8634
2000-03-28,-2.3207
2000-03-29,1.7279
2000-03-30,3.6093
2000-03-31,-0.4098
2000-04-03,0.4115
2000-04-04,-3.2787
2000-04-05,-1.2711999999999999
2000-04-06,2.1459
2000-04-07,-2.521
2000-04-10,-0.6466
2000-04-11,-0.4338
2000-04-12,0.6536
2000-04-13,-2.1645
2000-04-14,-1.5487
2000-04-17,-3.5955
2000-04-18,1.3986
2000-04-19,-0.4598
2000-04-20,1.6166
2000-04-24,-2.7273
2000-04-25,4.6729
2000-04-26,0.8929
2000-04-27,-4.4248
2000-04-28,6.713
2000-05-01,6.7245
2000-05-02,-3.4553
2000-05-03,-0.2105
2000-05-04,0.4219
2000-05-05,2.1008
2000-05-08,0.4115
2000-05-09,0.0
2000-05-10,-1.0246
2000-05-11,-0.207
2000-05-12,0.0
2000-05-15,3.527
2000-05-16,2.6052
2000-05-17,1.1719
2000-05-18,0.7722
2000-05-19,0.7663
2000-05-22,0.3802
2000-05-23,0.947
