ticker,ALE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.059
2000-01-04,0.0
2000-01-05,6.9231
2000-01-06,0.3597
2000-01-07,-0.3584
2000-01-10,0.3597
2000-01-11,-1.0753
2000-01-12,1.4493
2000-01-13,0.0
2000-01-14,-1.4285999999999999
2000-01-18,-1.8115999999999999
2000-01-19,1.476
2000-01-20,-2.5455
2000-01-21,2.6119
2000-01-24,-0.3636
2000-01-25,0.0
2000-01-26,-1.4599
2000-01-27,-2.2222
2000-01-28,0.0
2000-01-31,1.8939
2000-02-01,-2.2305
2000-02-02,2.6616
2000-02-03,4.0741
2000-02-04,0.3559
2000-02-07,-1.0638
2000-02-08,-0.3584
2000-02-09,-0.7194
2000-02-10,-0.7246
2000-02-11,0.1022
2000-02-14,-0.7407
2000-02-15,0.7463
2000-02-16,-0.7407
2000-02-17,-1.1194
2000-02-18,-1.8868
2000-02-22,-0.7692
2000-02-23,-1.1628
2000-02-24,-2.3529
2000-02-25,-2.4096
2000-02-28,2.4691
2000-02-29,-1.6064
2000-03-01,-0.8163
2000-03-02,2.0576
2000-03-03,0.4032
2000-03-06,-3.2129
2000-03-07,0.0
2000-03-08,-1.6598000000000002
2000-03-09,2.1097
2000-03-10,1.2397
2000-03-13,-2.0408
2000-03-14,1.6667
2000-03-15,4.918
2000-03-16,7.4219
2000-03-17,-4.7273
2000-03-20,-1.145
2000-03-21,-0.3861
2000-03-22,-1.1628
2000-03-23,1.5686
2000-03-24,2.7027
2000-03-27,-1.8797000000000001
2000-03-28,1.5326
2000-03-29,3.0189
2000-03-30,1.8315000000000001
2000-03-31,-4.3165
2000-04-03,0.3759
2000-04-04,2.6217
2000-04-05,0.365
2000-04-06,0.7273
2000-04-07,-1.444
2000-04-10,0.7326
2000-04-11,-0.3636
2000-04-12,2.5547
2000-04-13,1.0676
2000-04-14,-0.7042
2000-04-17,0.7092
2000-04-18,-2.4648
2000-04-19,0.0
2000-04-20,2.1661
2000-04-24,2.4735
2000-04-25,3.4483
2000-04-26,2.0
2000-04-27,-2.6144
2000-04-28,-1.0067
2000-05-01,0.0
2000-05-02,-1.3559
2000-05-03,-1.3746
2000-05-04,3.4843
2000-05-05,-1.3468
2000-05-08,3.0717
2000-05-09,0.3311
2000-05-10,0.6601
2000-05-11,1.7311
2000-05-12,-1.634
2000-05-15,0.6645
2000-05-16,-1.3201
2000-05-17,-2.3411
2000-05-18,0.3425
2000-05-19,0.6826
2000-05-22,2.7119
2000-05-23,-1.3201
