ticker,OCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-7.2917
2000-01-05,3.3708
2000-01-06,9.2391
2000-01-07,9.4527
2000-01-10,-5.9091000000000005
2000-01-11,2.4154999999999998
2000-01-12,-1.8868
2000-01-13,-0.4808
2000-01-14,-4.3478
2000-01-18,-2.0202
2000-01-19,0.5155
2000-01-20,-2.5641
2000-01-21,-2.1053
2000-01-24,-5.3763
2000-01-25,-1.1364
2000-01-26,-14.9425
2000-01-27,16.8919
2000-01-28,-4.0462
2000-01-31,1.8072
2000-02-01,-1.1834
2000-02-02,-1.7964
2000-02-03,-0.6098
2000-02-04,-3.0675
2000-02-07,5.6962
2000-02-08,-1.7964
2000-02-09,-4.2683
2000-02-10,-2.5478
2000-02-11,-5.2288
2000-02-14,4.1379
2000-02-15,-1.3245
2000-02-16,4.698
2000-02-17,1.2821
2000-02-18,-0.6329
2000-02-22,3.8217
2000-02-23,-1.227
2000-02-24,-3.5031
2000-02-25,-1.2903
2000-02-28,1.3072
2000-02-29,-5.1613
2000-03-01,-1.6578
2000-03-02,3.3287
2000-03-03,16.4854
2000-03-06,-5.7471
2000-03-07,-1.2195
2000-03-08,8.642
2000-03-09,-2.2727
2000-03-10,-2.907
2000-03-13,1.7964
2000-03-14,2.9412000000000003
2000-03-15,1.7143000000000002
2000-03-16,0.0
2000-03-17,0.0
2000-03-20,1.1236
2000-03-21,-7.7778
2000-03-22,16.2651
2000-03-23,-3.1088
2000-03-24,-1.0695000000000001
2000-03-27,-0.5405
2000-03-28,4.3478
2000-03-29,1.0417
2000-03-30,-1.0309
2000-03-31,0.5208
2000-04-03,3.6269
2000-04-04,-3.0
2000-04-05,-1.5464
2000-04-06,2.0942
2000-04-07,0.0
2000-04-10,1.0256
2000-04-11,2.5381
2000-04-12,-0.495
2000-04-13,11.9403
2000-04-14,-7.1111
2000-04-17,3.3493
2000-04-18,3.2407
2000-04-19,2.6906
2000-04-20,0.0
2000-04-24,8.2969
2000-04-25,1.2097
2000-04-26,1.1952
2000-04-27,-5.1181
2000-04-28,0.8299
2000-05-01,-1.6461000000000001
2000-05-02,0.0
2000-05-03,-1.2551999999999999
2000-05-04,2.5423999999999998
2000-05-05,4.5455
2000-05-08,2.7668
2000-05-09,-1.9231
2000-05-10,-2.7451
2000-05-11,0.0
2000-05-12,3.629
2000-05-15,3.1128
2000-05-16,-0.3774
2000-05-17,0.0
2000-05-18,0.3788
2000-05-19,3.7736
2000-05-22,-0.7273
