ticker,BTH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0178
2000-01-04,-4.6272
2000-01-05,-2.1563
2000-01-06,0.8264
2000-01-07,-0.5464
2000-01-10,3.5714
2000-01-11,1.8568
2000-01-12,-3.3854
2000-01-13,1.6173
2000-01-14,0.0
2000-01-18,1.5915
2000-01-19,1.5666
2000-01-20,-2.3136
2000-01-21,-2.6316
2000-01-24,-0.8108
2000-01-25,1.0899
2000-01-26,0.0
2000-01-27,-0.8086
2000-01-28,1.087
2000-01-31,0.8065
2000-02-01,0.2667
2000-02-02,-0.5319
2000-02-03,4.8128
2000-02-04,-1.7856999999999998
2000-02-07,-1.039
2000-02-08,-2.8871
2000-02-09,1.6216
2000-02-10,-0.5319
2000-02-11,-3.2086
2000-02-14,5.5249
2000-02-15,-3.9267
2000-02-16,-0.2725
2000-02-17,4.918
2000-02-18,-1.5625
2000-02-22,-1.0582
2000-02-23,-1.3369
2000-02-24,-2.71
2000-02-25,-3.0641
2000-02-28,-1.1494
2000-02-29,4.3605
2000-03-01,3.6212
2000-03-02,-0.2688
2000-03-03,1.8868
2000-03-06,0.0
2000-03-07,-0.7937
2000-03-08,-5.3333
2000-03-09,0.2817
2000-03-10,0.2809
2000-03-13,0.0
2000-03-14,-0.5602
2000-03-15,6.4789
2000-03-16,9.2593
2000-03-17,3.1477
2000-03-20,-5.1643
2000-03-21,-0.9901
2000-03-22,2.5
2000-03-23,-1.4634
2000-03-24,-0.7426
2000-03-27,-1.2469000000000001
2000-03-28,0.7576
2000-03-29,0.5013
2000-03-30,4.4888
2000-03-31,4.2959
2000-04-03,2.746
2000-04-04,-1.1136
2000-04-05,-0.9009
2000-04-06,2.2727
2000-04-07,3.1111
2000-04-10,-1.5086
2000-04-11,-3.7199
2000-04-12,-3.6364
2000-04-13,2.5943
2000-04-14,0.9195
2000-04-17,14.8064
2000-04-18,-2.5794
2000-04-19,0.8147
2000-04-20,3.4343
2000-04-24,-3.3203
2000-04-25,5.2525
2000-04-26,-2.4952
2000-04-27,-3.8189
2000-04-28,-2.4641
2000-05-01,2.3158
2000-05-02,-1.6461000000000001
2000-05-03,-4.6025
2000-05-04,2.6316
2000-05-05,-0.641
2000-05-08,0.4301
2000-05-09,0.0
2000-05-10,-4.0685
2000-05-11,2.6786
2000-05-12,-1.087
2000-05-15,2.4176
2000-05-16,9.2275
2000-05-17,-0.5894
2000-05-18,1.7787
2000-05-19,-3.1068
2000-05-22,0.0
2000-05-23,-3.006
