ticker,ITG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5217
2000-01-04,-3.0905
2000-01-05,3.1891
2000-01-06,0.883
2000-01-07,-0.8753
2000-01-10,2.4283
2000-01-11,-2.5862
2000-01-12,0.4425
2000-01-13,4.185
2000-01-14,3.3827
2000-01-18,-0.6135
2000-01-19,1.6461000000000001
2000-01-20,14.17
2000-01-21,0.0
2000-01-24,-0.5319
2000-01-25,1.0695000000000001
2000-01-26,-1.2346
2000-01-27,5.1786
2000-01-28,0.8489
2000-01-31,-4.3771
2000-02-01,-2.8169
2000-02-02,0.5435
2000-02-03,0.5405
2000-02-04,6.0932
2000-02-07,2.027
2000-02-08,3.3113
2000-02-09,-4.0064
2000-02-10,4.1736
2000-02-11,2.2436
2000-02-14,-2.8213
2000-02-15,-3.3871
2000-02-16,2.0033
2000-02-17,2.7823
2000-02-18,-0.3185
2000-02-22,2.0767
2000-02-23,0.939
2000-02-24,0.6202
2000-02-25,-1.3867
2000-02-28,-2.0313
2000-02-29,-1.1164
2000-03-01,-0.4839
2000-03-02,-3.4036
2000-03-03,2.1812
2000-03-06,-3.6125
2000-03-07,0.8518
2000-03-08,-3.2095
2000-03-09,4.712
2000-03-10,6.0
2000-03-13,-5.8176
2000-03-14,-4.6745
2000-03-15,0.8757
2000-03-16,4.8611
2000-03-17,-3.8079
2000-03-20,1.8933
2000-03-21,-0.8446
2000-03-22,3.4072
2000-03-23,-1.1532
2000-03-24,-1.3333
2000-03-27,-7.4324
2000-03-28,-0.365
2000-03-29,1.0989
2000-03-30,3.0797
2000-03-31,-0.8787
2000-04-03,1.2411
2000-04-04,-4.028
2000-04-05,-0.7299
2000-04-06,2.7574
2000-04-07,-0.5367
2000-04-10,1.4388
2000-04-11,-4.078
2000-04-12,-5.3604
2000-04-13,-1.7578
2000-04-14,-6.5606
2000-04-17,-3.4043
2000-04-18,12.3348
2000-04-19,5.098
2000-04-20,3.3582
2000-04-24,0.5415
2000-04-25,4.4883
2000-04-26,2.0619
2000-04-27,1.6835
2000-04-28,-0.6623
2000-05-01,4.5
2000-05-02,-3.1898
2000-05-03,-0.9885
2000-05-04,-0.3328
2000-05-05,7.1786
2000-05-08,0.1558
2000-05-09,-0.6221
2000-05-10,-5.4773
2000-05-11,1.1589
2000-05-12,-0.3273
2000-05-15,2.6273
2000-05-16,-0.8
2000-05-17,-2.9032
2000-05-18,2.1595
2000-05-19,-4.2276
2000-05-22,-3.3956
2000-05-23,-3.8664
