ticker,HNI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2792
2000-01-04,-3.207
2000-01-05,0.9036
2000-01-06,0.8955
2000-01-07,-0.5917
2000-01-10,-0.2976
2000-01-11,-1.194
2000-01-12,-3.3233
2000-01-13,-0.625
2000-01-14,-0.6289
2000-01-18,0.3165
2000-01-19,0.0
2000-01-20,1.5773000000000001
2000-01-21,-1.2422
2000-01-24,-2.2013
2000-01-25,-0.6431
2000-01-26,0.3236
2000-01-27,-3.2258
2000-01-28,-3.0
2000-01-31,5.8419
2000-02-01,-0.974
2000-02-02,3.6066000000000003
2000-02-03,-1.2658
2000-02-04,0.0
2000-02-07,-1.9231
2000-02-08,0.9804
2000-02-09,-0.9709
2000-02-10,-0.9804
2000-02-11,-4.9505
2000-02-14,1.3889
2000-02-15,-1.3699
2000-02-16,3.125
2000-02-17,-1.3468
2000-02-18,0.2594
2000-02-22,-1.7123
2000-02-23,0.3484
2000-02-24,-0.3472
2000-02-25,-1.3937
2000-02-28,2.1201
2000-02-29,2.0761
2000-03-01,0.339
2000-03-02,-1.0135
2000-03-03,-1.7065000000000001
2000-03-06,-2.4306
2000-03-07,-3.5587
2000-03-08,-1.107
2000-03-09,-1.8657
2000-03-10,-2.6616
2000-03-13,3.9062
2000-03-14,0.3759
2000-03-15,3.3708
2000-03-16,12.3188
2000-03-17,-0.6452
2000-03-20,0.3247
2000-03-21,-3.8834999999999997
2000-03-22,1.6835
2000-03-23,3.9735
2000-03-24,1.5924
2000-03-27,0.627
2000-03-28,10.9034
2000-03-29,6.1798
2000-03-30,2.3810000000000002
2000-03-31,6.4599
2000-04-03,-8.2524
2000-04-04,0.5291
2000-04-05,0.5263
2000-04-06,-0.7853
2000-04-07,-0.5277
2000-04-10,1.5915
2000-04-11,-1.3054999999999999
2000-04-12,1.0582
2000-04-13,0.5236
2000-04-14,0.5208
2000-04-17,-1.0363
2000-04-18,1.5707
2000-04-19,-0.7732
2000-04-20,2.5974
2000-04-24,-2.0253
2000-04-25,2.0672
2000-04-26,1.7722
2000-04-27,-1.99
2000-04-28,1.2690000000000001
2000-05-01,0.7519
2000-05-02,4.4776
2000-05-03,-1.1905000000000001
2000-05-04,2.8916
2000-05-05,-2.5761
2000-05-08,-0.2404
2000-05-09,3.3735
2000-05-10,-2.1538
2000-05-11,0.9569
2000-05-12,-0.9479
2000-05-15,2.1531000000000002
2000-05-16,0.9368
2000-05-17,0.0
2000-05-18,-1.6240999999999999
2000-05-19,-1.6509
