ticker,THX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.6246
2000-01-04,-4.3919
2000-01-05,-1.7668
2000-01-06,1.0791
2000-01-07,3.2028
2000-01-10,2.4138
2000-01-11,-2.0202
2000-01-12,8.5911
2000-01-13,0.9494
2000-01-14,0.627
2000-01-18,0.6231
2000-01-19,-2.4768
2000-01-20,0.9524
2000-01-21,2.5157
2000-01-24,-2.454
2000-01-25,-1.8868
2000-01-26,-3.2051
2000-01-27,-1.3245
2000-01-28,-1.6779
2000-01-31,-2.3891
2000-02-01,0.0
2000-02-02,-2.7972
2000-02-03,-1.0791
2000-02-04,3.6364
2000-02-07,-2.4561
2000-02-08,3.5971
2000-02-09,-0.3472
2000-02-10,2.439
2000-02-11,-1.3605
2000-02-14,-1.0345
2000-02-15,1.7422
2000-02-16,-3.0822
2000-02-17,-1.7668
2000-02-18,0.0
2000-02-22,0.0
2000-02-23,-1.0791
2000-02-24,-0.3636
2000-02-25,0.7299
2000-02-28,-11.9565
2000-02-29,0.0
2000-03-01,2.4691
2000-03-02,-1.6064
2000-03-03,-1.6327
2000-03-06,-0.4149
2000-03-07,0.8333
2000-03-08,0.4132
2000-03-09,-1.2346
2000-03-10,0.8333
2000-03-13,1.6529
2000-03-14,-1.2195
2000-03-15,-1.2346
2000-03-16,0.8333
2000-03-17,0.0
2000-03-20,4.1322
2000-03-21,7.5397
2000-03-22,3.69
2000-03-23,-2.847
2000-03-24,4.0293
2000-03-27,-2.8169
2000-03-28,0.7246
2000-03-29,5.036
2000-03-30,0.3425
2000-03-31,-1.7065000000000001
2000-04-03,1.3889
2000-04-04,-0.3425
2000-04-05,-1.0309
2000-04-06,0.3472
2000-04-07,-0.346
2000-04-10,-1.3889
2000-04-11,-0.3521
2000-04-12,1.7668
2000-04-13,-1.3889
2000-04-14,4.2254
2000-04-17,-3.7161999999999997
2000-04-18,0.7018
2000-04-19,-2.0906
2000-04-20,2.1352
2000-04-24,0.0
2000-04-25,-0.3484
2000-04-26,0.0
2000-04-27,0.3497
2000-04-28,0.6969
2000-05-01,0.692
2000-05-02,-1.0309
2000-05-03,0.3472
2000-05-04,0.692
2000-05-05,2.0619
2000-05-08,8.7542
2000-05-09,0.9288
2000-05-10,-1.227
2000-05-11,4.0373
2000-05-12,5.3731
2000-05-15,-0.2833
2000-05-16,0.2841
2000-05-17,3.3994
2000-05-18,0.5479
2000-05-19,-1.9074
2000-05-22,-2.2222
2000-05-23,1.7045
2000-05-24,1.1173
