ticker,BOY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.2857
2000-01-04,0.0
2000-01-05,-0.5587
2000-01-06,1.1236
2000-01-07,2.2222
2000-01-10,2.1739
2000-01-11,5.8511
2000-01-12,-0.5025
2000-01-13,-0.5051
2000-01-14,-2.0305
2000-01-18,2.5907
2000-01-19,1.0101
2000-01-20,-1.0
2000-01-21,-1.0101
2000-01-24,-2.0408
2000-01-25,1.0417
2000-01-26,-0.5155
2000-01-27,0.0
2000-01-28,0.5181
2000-01-31,-1.0309
2000-02-01,0.5208
2000-02-02,2.0725
2000-02-03,-2.5381
2000-02-04,-0.5208
2000-02-07,1.5707
2000-02-08,-1.5464
2000-02-09,0.5236
2000-02-10,1.5625
2000-02-11,-1.0256
2000-02-14,-0.5181
2000-02-15,1.0417
2000-02-16,-0.5155
2000-02-17,-0.5181
2000-02-18,0.0
2000-02-22,-0.5208
2000-02-23,1.0471
2000-02-24,-0.5181
2000-02-25,-1.0417
2000-02-28,0.5263
2000-02-29,-0.5236
2000-03-01,3.1579
2000-03-02,-1.0204
2000-03-03,-1.0309
2000-03-06,-0.5208
2000-03-07,0.0
2000-03-08,-0.5236
2000-03-09,-3.1579
2000-03-10,0.0
2000-03-13,-1.087
2000-03-14,0.5495
2000-03-15,2.1858
2000-03-16,1.6042999999999998
2000-03-17,3.1579
2000-03-20,0.5102
2000-03-21,0.5076
2000-03-22,3.5354
2000-03-23,0.4878
2000-03-24,1.4563
2000-03-27,0.0
2000-03-28,0.9569
2000-03-29,-3.545
2000-03-30,-5.6122
2000-03-31,1.6216
2000-04-03,-1.5957
2000-04-04,-2.1622
2000-04-05,0.0
2000-04-06,1.6575
2000-04-07,0.5435
2000-04-10,0.5405
2000-04-11,0.5376
2000-04-12,0.0
2000-04-13,-2.1390000000000002
2000-04-14,-1.0929
2000-04-17,-0.5525
2000-04-18,1.1111
2000-04-19,4.9451
2000-04-20,0.5236
2000-04-24,0.5208
2000-04-25,2.5907
2000-04-26,-0.5051
2000-04-27,-1.5228000000000002
2000-04-28,3.6082
2000-05-01,0.995
2000-05-02,0.4926
2000-05-03,0.4902
2000-05-04,-0.4878
2000-05-05,-1.4706000000000001
2000-05-08,0.995
2000-05-09,2.4631
2000-05-10,-2.4038
2000-05-11,4.9261
2000-05-12,-1.4085
2000-05-15,-1.4285999999999999
2000-05-16,3.8647
2000-05-17,1.8605
2000-05-18,1.3699
2000-05-19,0.0
2000-05-22,-1.3514
2000-05-23,0.4566
