ticker,USG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.5915
2000-01-04,-3.0997
2000-01-05,2.5035
2000-01-06,-1.4925
2000-01-07,1.6529
2000-01-10,0.0
2000-01-11,-4.065
2000-01-12,-3.9548
2000-01-13,0.1471
2000-01-14,-2.2026
2000-01-18,-1.6517
2000-01-19,-2.5954
2000-01-20,-2.6646
2000-01-21,-0.161
2000-01-24,-4.5161
2000-01-25,-3.7161999999999997
2000-01-26,0.8772
2000-01-27,7.4783
2000-01-28,1.2945
2000-01-31,-3.8339
2000-02-01,0.1661
2000-02-02,1.1609
2000-02-03,-0.3279
2000-02-04,0.1645
2000-02-07,-2.1346
2000-02-08,1.3423
2000-02-09,-1.6556
2000-02-10,-2.6936
2000-02-11,0.8651
2000-02-14,0.1715
2000-02-15,0.3425
2000-02-16,-0.6826
2000-02-17,-2.2337
2000-02-18,-4.2179
2000-02-22,-1.6514
2000-02-23,1.194
2000-02-24,-1.4815
2000-02-25,-7.5188
2000-02-28,4.4715
2000-02-29,1.1673
2000-03-01,1.5385
2000-03-02,-0.1894
2000-03-03,-0.1898
2000-03-06,0.0
2000-03-07,-2.8517
2000-03-08,0.0
2000-03-09,-0.3914
2000-03-10,0.9823
2000-03-13,-0.1946
2000-03-14,-1.7544
2000-03-15,2.5794
2000-03-16,15.667300000000001
2000-03-17,0.5017
2000-03-20,0.3328
2000-03-21,-1.6583999999999999
2000-03-22,-0.5059
2000-03-23,3.5593
2000-03-24,3.2733
2000-03-27,0.4754
2000-03-28,-1.8927
2000-03-29,3.2154
2000-03-30,-0.3115
2000-03-31,4.8437
2000-04-03,-1.6393
2000-04-04,-3.0303
2000-04-05,3.75
2000-04-06,-5.2711
2000-04-07,-4.7695
2000-04-10,6.01
2000-04-11,0.1575
2000-04-12,6.9182
2000-04-13,2.6471
2000-04-14,-8.3095
2000-04-17,-2.1875
2000-04-18,1.1182
2000-04-19,2.2117
2000-04-20,4.1731
2000-04-24,4.0059
2000-04-25,1.1412
2000-04-26,-0.5642
2000-04-27,-3.6879
2000-04-28,-1.62
2000-05-01,5.2395
2000-05-02,0.569
2000-05-03,-0.2829
2000-05-04,-2.1277
2000-05-05,-1.3043
2000-05-08,-1.4684
2000-05-09,2.5335
2000-05-10,-2.7616
2000-05-11,-0.4484
2000-05-12,1.2012
2000-05-15,1.9287999999999998
2000-05-16,1.4556
2000-05-17,-1.1478
2000-05-18,-7.9826
2000-05-19,4.2587
2000-05-22,-2.4206
