ticker,PSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.3191
2000-01-04,-2.5281000000000002
2000-01-05,0.8646
2000-01-06,1.4285999999999999
2000-01-07,-1.831
2000-01-10,3.7302999999999997
2000-01-11,-3.5961
2000-01-12,1.5782
2000-01-13,0.8475
2000-01-14,-1.5406
2000-01-18,-6.1166
2000-01-19,0.9091
2000-01-20,-0.3003
2000-01-21,1.506
2000-01-24,0.4451
2000-01-25,-2.6588000000000003
2000-01-26,1.5175
2000-01-27,-0.4484
2000-01-28,-1.0511
2000-01-31,-1.0622
2000-02-01,0.1534
2000-02-02,0.4594
2000-02-03,4.2683
2000-02-04,-0.731
2000-02-07,1.3255
2000-02-08,0.5814
2000-02-09,-2.1676
2000-02-10,-4.2836
2000-02-11,0.0
2000-02-14,4.4753
2000-02-15,-2.8064999999999998
2000-02-16,-4.1033
2000-02-17,1.4263
2000-02-18,-1.4062999999999999
2000-02-22,3.4865
2000-02-23,-3.3691
2000-02-24,-0.1585
2000-02-25,-0.4762
2000-02-28,0.4785
2000-02-29,0.3175
2000-03-01,3.0063
2000-03-02,2.1505
2000-03-03,3.609
2000-03-06,-0.5806
2000-03-07,-2.4818
2000-03-08,15.8683
2000-03-09,-0.2584
2000-03-10,-0.2591
2000-03-13,-0.4708
2000-03-14,-1.0928
2000-03-15,0.7916
2000-03-16,1.7016
2000-03-17,0.1287
2000-03-20,0.7712
2000-03-21,0.1276
2000-03-22,-0.2548
2000-03-23,0.6386
2000-03-24,-0.2538
2000-03-27,0.5089
2000-03-28,1.0127
2000-03-29,1.8797000000000001
2000-03-30,0.0
2000-03-31,2.214
2000-04-03,-2.0457
2000-04-04,-1.3514
2000-04-05,-0.2491
2000-04-06,0.8739
2000-04-07,1.9802
2000-04-10,0.9709
2000-04-11,2.4038
2000-04-12,3.7559
2000-04-13,-1.0181
2000-04-14,-5.1429
2000-04-17,5.6627
2000-04-18,4.675
2000-04-19,1.4161000000000001
2000-04-20,-1.6112
2000-04-24,1.0917
2000-04-25,0.7559
2000-04-26,-0.3215
2000-04-27,-1.0753
2000-04-28,-4.1304
2000-05-01,0.7937
2000-05-02,-4.2745
2000-05-03,-1.2926
2000-05-04,4.4048
2000-05-05,0.5701
2000-05-08,-0.907
2000-05-09,1.373
2000-05-10,-2.2573
2000-05-11,-1.2702
2000-05-12,-0.3509
2000-05-15,1.0563
2000-05-16,-0.3484
2000-05-17,-1.7483
2000-05-18,0.5931
2000-05-19,0.0
