date,Outsourcing
2004-01-04,42.0
2004-01-11,52.0
2004-01-18,53.0
2004-01-25,67.0
2004-02-01,60.0
2004-02-08,69.0
2004-02-15,95.0
2004-02-22,68.0
2004-02-29,58.0
2004-03-07,75.0
2004-03-14,78.0
2004-03-21,100.0
2004-03-28,91.0
2004-04-04,84.0
2004-04-11,70.0
2004-04-18,87.0
2004-04-25,87.0
2004-05-02,74.0
2004-05-09,69.0
2004-05-16,64.0
2004-05-23,53.0
2004-05-30,71.0
2004-06-06,56.0
2004-06-13,55.0
2004-06-20,56.0
2004-06-27,40.0
2004-07-04,47.0
2004-07-11,46.0
2004-07-18,52.0
2004-07-25,55.0
2004-08-01,53.0
2004-08-08,60.0
2004-08-15,50.0
2004-08-22,46.0
2004-08-29,42.0
2004-09-05,55.0
2004-09-12,68.0
2004-09-19,57.0
2004-09-26,64.0
2004-10-03,72.0
2004-10-10,71.0
2004-10-17,66.0
2004-10-24,71.0
2004-10-31,77.0
2004-11-07,55.0
2004-11-14,65.0
2004-11-21,64.0
2004-11-28,68.0
2004-12-05,66.0
2004-12-12,44.0
2004-12-19,28.0
2004-12-26,36.5
2005-01-02,74.0
2005-01-09,56.0
2005-01-16,67.0
2005-01-23,76.0
2005-01-30,77.0
2005-02-06,88.0
2005-02-13,94.0
2005-02-20,88.0
2005-02-27,89.0
2005-03-06,92.0
2005-03-13,93.0
2005-03-20,86.0
2005-03-27,96.0
2005-04-03,63.0
2005-04-10,96.0
2005-04-17,100.0
2005-04-24,96.0
2005-05-01,83.0
2005-05-08,82.0
2005-05-15,92.0
2005-05-22,73.0
2005-05-29,84.0
2005-06-05,75.0
2005-06-12,76.0
2005-06-19,65.0
2005-06-26,61.0
2005-07-03,76.0
2005-07-10,53.0
2005-07-17,60.0
2005-07-24,60.0
2005-07-31,74.0
2005-08-07,59.0
2005-08-14,58.0
2005-08-21,57.0
2005-08-28,51.0
2005-09-04,61.0
2005-09-11,57.0
2005-09-18,68.0
2005-09-25,64.0
2005-10-02,73.0
2005-10-09,65.0
2005-10-16,72.0
2005-10-23,73.0
2005-10-30,66.0
2005-11-06,70.0
2005-11-13,83.0
2005-11-20,55.0
2005-11-27,76.0
2005-12-04,91.0
2005-12-11,64.0
2005-12-18,36.0
2005-12-25,40.0
2006-01-01,56.0
2006-01-08,69.0
2006-01-15,92.0
2006-01-22,77.0
2006-01-29,92.0
2006-02-05,75.0
2006-02-12,83.0
2006-02-19,97.0
2006-02-26,97.0
2006-03-05,88.0
2006-03-12,80.0
2006-03-19,91.0
2006-03-26,84.0
2006-04-02,78.0
2006-04-09,95.0
2006-04-16,83.0
2006-04-23,100.0
2006-04-30,78.0
2006-05-07,90.0
2006-05-14,60.0
2006-05-21,70.0
2006-05-28,74.0
2006-06-04,72.0
2006-06-11,57.0
2006-06-18,60.0
2006-06-25,57.0
2006-07-02,50.0
2006-07-09,47.0
2006-07-16,56.0
2006-07-23,57.0
2006-07-30,73.0
2006-08-06,55.0
2006-08-13,68.0
2006-08-20,48.0
2006-08-27,61.0
2006-09-03,57.0
2006-09-10,76.0
2006-09-17,59.0
2006-09-24,75.0
2006-10-01,68.0
2006-10-08,73.0
2006-10-15,69.0
2006-10-22,78.0
2006-10-29,77.0
2006-11-05,73.0
2006-11-12,75.0
2006-11-19,62.0
2006-11-26,77.0
2006-12-03,76.0
2006-12-10,57.0
2006-12-17,53.0
