date,UAL UW Equity
2006-02-06,-2.0231
2006-02-07,-2.6844
2006-02-08,-3.0009
2006-02-09,7.8125
2006-02-10,-0.7536
2006-02-11,
2006-02-12,
2006-02-13,2.3364
2006-02-14,2.1119
2006-02-15,2.0961
2006-02-16,-2.2721
2006-02-17,3.4454000000000002
2006-02-18,
2006-02-19,
2006-02-20,
2006-02-21,-4.0617
2006-02-22,1.8346
2006-02-23,0.1663
2006-02-24,-0.9408
2006-02-25,
2006-02-26,
2006-02-27,-0.838
2006-02-28,-0.0845
2006-03-01,1.6634
2006-03-02,0.0277
2006-03-03,1.5248
2006-03-04,
2006-03-05,
2006-03-06,0.8192
2006-03-07,0.8126
2006-03-08,0.5105
2006-03-09,-0.2406
2006-03-10,2.1972
2006-03-11,
2006-03-12,
2006-03-13,0.2098
2006-03-14,2.0147
2006-03-15,1.4876
2006-03-16,-0.7582
2006-03-17,-0.1783
2006-03-18,
2006-03-19,
2006-03-20,2.4234999999999998
2006-03-21,1.9676
2006-03-22,4.1524
2006-03-23,-2.2045
2006-03-24,0.024
2006-03-25,
2006-03-26,
2006-03-27,1.4385
2006-03-28,-3.5689
2006-03-29,-0.6863
2006-03-30,-3.7266
2006-03-31,2.3584
2006-04-01,
2006-04-02,
2006-04-03,-2.0035
2006-04-04,-0.1278
2006-04-05,0.6653
2006-04-06,-1.0422
2006-04-07,-0.2826
2006-04-08,
2006-04-09,
2006-04-10,-2.7306
2006-04-11,1.4301
2006-04-12,1.5144
2006-04-13,1.4146
2006-04-14,
2006-04-15,
2006-04-16,
2006-04-17,-2.0796
2006-04-18,-1.9165999999999999
2006-04-19,0.4489
2006-04-20,-3.286
2006-04-21,-6.3876
2006-04-22,
2006-04-23,
2006-04-24,4.7329
2006-04-25,-0.4713
2006-04-26,-0.39
2006-04-27,2.9922
2006-04-28,-2.2264
2006-04-29,
2006-04-30,
2006-05-01,-2.1383
2006-05-02,2.185
2006-05-03,4.471
2006-05-04,2.6847
2006-05-05,0.8801
2006-05-06,
2006-05-07,
2006-05-08,-8.9043
2006-05-09,-0.8451
2006-05-10,-1.6761
2006-05-11,-2.6871
2006-05-12,-0.5344
2006-05-13,
2006-05-14,
2006-05-15,0.9851
2006-05-16,-3.3698
2006-05-17,0.3671
2006-05-18,-1.1277
2006-05-19,1.4797
2006-05-20,
2006-05-21,
2006-05-22,-2.339
2006-05-23,-1.804
2006-05-24,-3.7377000000000002
2006-05-25,0.691
2006-05-26,1.4706000000000001
2006-05-27,
2006-05-28,
2006-05-29,
2006-05-30,-6.6345
2006-05-31,1.5178
2006-06-01,1.4271
2006-06-02,-3.1156
2006-06-03,
2006-06-04,
2006-06-05,-5.0138
2006-06-06,0.7718
2006-06-07,1.3294000000000001
2006-06-08,-1.6042999999999998
2006-06-09,-0.0362
2006-06-10,
2006-06-11,
2006-06-12,-2.9721
2006-06-13,0.9712
2006-06-14,2.8857
2006-06-15,9.3851
2006-06-16,3.4845
2006-06-17,
2006-06-18,
2006-06-19,0.3812
2006-06-20,0.6329
2006-06-21,1.4151
2006-06-22,0.7752
2006-06-23,0.1231
2006-06-24,
2006-06-25,
2006-06-26,-2.0283
2006-06-27,-5.5207
2006-06-28,-1.0624
2006-06-29,0.7718
2006-06-30,3.2967
2006-07-01,
2006-07-02,
2006-07-03,-0.1612
2006-07-04,
2006-07-05,0.2583
2006-07-06,1.1272
2006-07-07,-0.7962
2006-07-08,
2006-07-09,
2006-07-10,1.0594
2006-07-11,-2.0966
2006-07-12,-0.1622
2006-07-13,-6.9873
2006-07-14,-6.499
2006-07-15,
2006-07-16,
2006-07-17,-0.299
2006-07-18,0.4498
2006-07-19,6.5672
2006-07-20,-3.1162
2006-07-21,-2.6021
2006-07-22,
2006-07-23,
2006-07-24,4.6382
2006-07-25,-2.4468
2006-07-26,-0.5089
2006-07-27,-1.3884
2006-07-28,1.9637
2006-07-29,
2006-07-30,
2006-07-31,-5.0145
2006-08-01,-3.7873
2006-08-02,-3.4195
2006-08-03,4.4463
2006-08-04,-2.9957000000000003
2006-08-05,
2006-08-06,
2006-08-07,1.3816
2006-08-08,-0.6814
2006-08-09,-3.8337
2006-08-10,-1.3009
2006-08-11,-5.0595
2006-08-12,
2006-08-13,
2006-08-14,1.8809
2006-08-15,2.4615
2006-08-16,5.6199
2006-08-17,0.3656
2006-08-18,0.688
2006-08-19,
2006-08-20,
2006-08-21,-3.4968
2006-08-22,0.8746
2006-08-23,2.3121
2006-08-24,-2.0178
2006-08-25,-2.3064
2006-08-26,
2006-08-27,
2006-08-28,3.204
2006-08-29,1.0621
2006-08-30,1.8593
2006-08-31,-0.7937
2006-09-01,-0.68
2006-09-02,
2006-09-03,
2006-09-04,
2006-09-05,1.5304
2006-09-06,-1.2692999999999999
2006-09-07,0.2009
2006-09-08,0.6014
2006-09-09,
2006-09-10,
2006-09-11,0.0797
2006-09-12,5.3365
2006-09-13,0.9452
2006-09-14,3.4457
2006-09-15,-0.0724
2006-09-16,
2006-09-17,
2006-09-18,-3.6957
2006-09-19,4.5899
2006-09-20,3.4173
2006-09-21,-2.9217
2006-09-22,-0.3225
2006-09-23,
2006-09-24,
2006-09-25,2.2646
2006-09-26,-0.5272
2006-09-27,-3.1449
2006-09-28,-2.1525
2006-09-29,-0.9321
2006-09-30,
2006-10-01,
2006-10-02,5.0056
2006-10-03,5.3763
2006-10-04,1.1905000000000001
2006-10-05,1.1764999999999999
2006-10-06,-0.1993
2006-10-07,
2006-10-08,
2006-10-09,-0.8988
2006-10-10,2.4185
2006-10-11,1.7055
2006-10-12,1.3222
2006-10-13,-1.4959
2006-10-14,
2006-10-15,
2006-10-16,-2.3263
2006-10-17,0.2646
2006-10-18,7.1594
2006-10-19,4.3719
2006-10-20,4.4248
2006-10-21,
2006-10-22,
2006-10-23,0.0282
2006-10-24,-1.1861
2006-10-25,-1.429
2006-10-26,3.5373
2006-10-27,-1.1481
2006-10-28,
2006-10-29,
2006-10-30,4.1643
2006-10-31,-2.2573
2006-11-01,-1.9477
2006-11-02,-0.5959
2006-11-03,-0.7422
2006-11-04,
2006-11-05,
2006-11-06,2.5884
2006-11-07,-0.4766
2006-11-08,-1.5775000000000001
2006-11-09,-0.5438
2006-11-10,2.5324
2006-11-11,
2006-11-12,
2006-11-13,3.8451
2006-11-14,-0.7838
2006-11-15,9.0711
2006-11-16,3.6464
2006-11-17,-2.5301
2006-11-18,
2006-11-19,
2006-11-20,-0.6428
2006-11-21,5.2003
2006-11-22,4.0681
2006-11-23,
2006-11-24,1.0
2006-11-25,
2006-11-26,
2006-11-27,-6.3231
2006-11-28,-2.6904
2006-11-29,1.2589000000000001
2006-11-30,-1.0726
2006-12-01,-0.2711
2006-12-02,
2006-12-03,
2006-12-04,3.4099
2006-12-05,0.1673
2006-12-06,0.7872
2006-12-07,0.8284
2006-12-08,0.7981
2006-12-09,
2006-12-10,
2006-12-11,3.7028
2006-12-12,-2.9194
2006-12-13,4.6495
2006-12-14,-1.5252
2006-12-15,-0.3143
2006-12-16,
2006-12-17,
2006-12-18,0.6755
2006-12-19,1.0512
2006-12-20,-2.9438
2006-12-21,-1.0718
2006-12-22,-1.2909
2006-12-23,
2006-12-24,
2006-12-25,
2006-12-26,2.7557
2006-12-27,-0.0227
2006-12-28,-0.7956
2006-12-29,0.8249
2006-12-30,
2006-12-31,
2007-01-01,
2007-01-02,
2007-01-03,5.3636
2007-01-04,2.1355
2007-01-05,-1.6895
2007-01-06,
2007-01-07,
2007-01-08,0.5371
2007-01-09,0.0855
2007-01-10,4.2912
2007-01-11,2.5179
2007-01-12,0.1597
2007-01-13,
2007-01-14,
2007-01-15,
2007-01-16,2.0933
2007-01-17,-4.1203
2007-01-18,1.0387
2007-01-19,-0.9272
2007-01-20,
2007-01-21,
2007-01-22,-0.8138
2007-01-23,-8.0821
2007-01-24,1.9415
2007-01-25,-1.0727
2007-01-26,-3.6291
2007-01-27,
2007-01-28,
2007-01-29,3.3984
2007-01-30,-4.3971
2007-01-31,0.3484
2007-02-01,2.2685
2007-02-02,0.2943
2007-02-03,
2007-02-04,
2007-02-05,0.158
2007-02-06,1.6674
2007-02-07,0.5319
2007-02-08,-1.0141
2007-02-09,-0.8686
2007-02-10,
2007-02-11,
2007-02-12,0.5617
2007-02-13,-0.1117
2007-02-14,0.3579
2007-02-15,-0.8246
2007-02-16,0.3371
2007-02-17,
2007-02-18,
2007-02-19,
2007-02-20,1.1646
2007-02-21,-1.284
2007-02-22,-2.6912000000000003
2007-02-23,-1.498
2007-02-24,
2007-02-25,
2007-02-26,-1.2635
2007-02-27,-5.1659
2007-02-28,-0.075
2007-03-01,-0.025
2007-03-02,-2.2761
2007-03-03,
2007-03-04,
2007-03-05,-1.5869
2007-03-06,1.9506000000000001
2007-03-07,-0.9439
2007-03-08,-1.5967
2007-03-09,0.6281
2007-03-10,
2007-03-11,
2007-03-12,3.9792
2007-03-13,-2.7763999999999998
2007-03-14,-2.7013
2007-03-15,2.8556
2007-03-16,-1.1311
2007-03-17,
2007-03-18,
2007-03-19,3.5101
2007-03-20,1.0048
2007-03-21,3.1335
2007-03-22,-4.2681000000000004
2007-03-23,-0.7305
2007-03-24,
2007-03-25,
2007-03-26,-2.7658
2007-03-27,0.0261
2007-03-28,-0.574
2007-03-29,-0.1837
2007-03-30,0.3417
2007-03-31,
2007-04-01,
2007-04-02,0.4716
2007-04-03,4.7458
2007-04-04,-0.2987
2007-04-05,2.2222
2007-04-06,
2007-04-07,
2007-04-08,
2007-04-09,3.3464
2007-04-10,-0.969
2007-04-11,1.599
2007-04-12,-0.7517
2007-04-13,-0.1893
2007-04-14,
2007-04-15,
2007-04-16,1.4228
2007-04-17,1.3093
2007-04-18,2.0771
2007-04-19,-3.2782999999999998
2007-04-20,-4.5115
2007-04-21,
2007-04-22,
2007-04-23,-3.5496
2007-04-24,-0.6091
2007-04-25,-2.2217000000000002
2007-04-26,-3.4996
2007-04-27,-7.8755
2007-04-28,
2007-04-29,
2007-04-30,-1.8801
2007-05-01,-0.5988
2007-05-02,1.6867
2007-05-03,-0.622
2007-05-04,6.0209
2007-05-05,
2007-05-06,
2007-05-07,-0.2811
2007-05-08,0.874
2007-05-09,-1.4813
2007-05-10,-1.8155999999999999
2007-05-11,0.3178
2007-05-12,
2007-05-13,
2007-05-14,-2.7362
2007-05-15,-1.3918
2007-05-16,3.964
2007-05-17,2.9173999999999998
2007-05-18,0.421
2007-05-19,
2007-05-20,
2007-05-21,-0.4751
2007-05-22,3.3418
2007-05-23,0.7609
2007-05-24,1.8608
2007-05-25,0.9267
2007-05-26,
2007-05-27,
2007-05-28,
2007-05-29,2.2560000000000002
2007-05-30,0.8722
2007-05-31,-0.1526
2007-06-01,-1.2226
2007-06-02,
2007-06-03,
2007-06-04,-6.6271
2007-06-05,1.5465
2007-06-06,-1.115
2007-06-07,-3.4378
2007-06-08,2.7343
2007-06-09,
2007-06-10,
2007-06-11,-1.8575
2007-06-12,-2.2599
2007-06-13,1.2428
2007-06-14,2.1696
2007-06-15,-0.0838
2007-06-16,
2007-06-17,
2007-06-18,-1.2025000000000001
2007-06-19,7.3592
2007-06-20,1.951
2007-06-21,1.7585
2007-06-22,-0.1779
2007-06-23,
2007-06-24,
2007-06-25,-0.7383
2007-06-26,-0.9746
2007-06-27,0.8806
2007-06-28,4.3132
2007-06-29,-0.0984
2007-06-30,
2007-07-01,
2007-07-02,1.3304
2007-07-03,2.3584
