date,FTV UN Equity
2016-06-15,4.4444
2016-06-16,
2016-06-17,4.2553
2016-06-18,
2016-06-19,
2016-06-20,
2016-06-21,
2016-06-22,2.0408
2016-06-23,-2.8
2016-06-24,-5.3292
2016-06-25,
2016-06-26,
2016-06-27,0.3478
2016-06-28,5.588
2016-06-29,-0.6974
2016-06-30,1.7558
2016-07-01,0.5684
2016-07-02,
2016-07-03,
2016-07-04,
2016-07-05,-1.8975
2016-07-06,-1.749
2016-07-07,-0.0209
2016-07-08,5.1529
2016-07-09,
2016-07-10,
2016-07-11,1.8327
2016-07-12,-1.0759
2016-07-13,0.0989
2016-07-14,1.8767
2016-07-15,-0.6593
2016-07-16,
2016-07-17,
2016-07-18,0.1171
2016-07-19,0.5069
2016-07-20,-2.3472
2016-07-21,-0.1986
2016-07-22,-1.6720000000000002
2016-07-23,
2016-07-24,
2016-07-25,-0.8502
2016-07-26,0.6125
2016-07-27,-0.7305
2016-07-28,-0.5519
2016-07-29,-0.9044
2016-07-30,
2016-07-31,
2016-08-01,-0.8504
2016-08-02,-0.6276
2016-08-03,3.7474
2016-08-04,1.5219
2016-08-05,1.0993
2016-08-06,
2016-08-07,
2016-08-08,-1.0478
2016-08-09,0.8192
2016-08-10,-0.0198
2016-08-11,4.1625
2016-08-12,0.3045
2016-08-13,
2016-08-14,
2016-08-15,1.8023
2016-08-16,-0.205
2016-08-17,-0.2614
2016-08-18,-0.4681
2016-08-19,-2.3326000000000002
2016-08-20,
2016-08-21,
2016-08-22,-1.2711999999999999
2016-08-23,1.2485
2016-08-24,-0.8863
2016-08-25,0.4867
2016-08-26,0.4843
2016-08-27,
2016-08-28,
2016-08-29,1.0411
2016-08-30,0.3816
2016-08-31,0.114
2016-09-01,-0.0759
2016-09-02,1.425
2016-09-03,
2016-09-04,
2016-09-05,
2016-09-06,-1.2177
2016-09-07,0.3983
2016-09-08,-1.1522000000000001
2016-09-09,-3.4015
2016-09-10,
2016-09-11,
2016-09-12,1.3056
2016-09-13,-2.2847
2016-09-14,-0.04
2016-09-15,0.9396
2016-09-16,-0.4555
2016-09-17,
2016-09-18,
2016-09-19,1.0346
2016-09-20,-1.0437
2016-09-21,1.4527
2016-09-22,1.2946
2016-09-23,-1.4717
2016-09-24,
2016-09-25,
2016-09-26,0.6682
2016-09-27,0.7614
2016-09-28,0.2131
2016-09-29,-1.9722
2016-09-30,0.3945
2016-10-01,
2016-10-02,
2016-10-03,0.9627
2016-10-04,-1.1286
2016-10-05,0.2559
2016-10-06,-0.4711
2016-10-07,-1.5187
2016-10-08,
2016-10-09,
2016-10-10,0.0401
2016-10-11,-1.4615
2016-10-12,-0.4673
2016-10-13,-0.347
2016-10-14,1.3109
2016-10-15,
2016-10-16,
2016-10-17,-0.8087
2016-10-18,0.0611
2016-10-19,0.6111
2016-10-20,-1.397
2016-10-21,-0.0616
2016-10-22,
2016-10-23,
2016-10-24,-0.2466
2016-10-25,-1.2976
2016-10-26,-0.313
2016-10-27,-0.5861
2016-10-28,5.7275
2016-10-29,
2016-10-30,
2016-10-31,1.673
2016-11-01,-1.097
2016-11-02,-0.3367
2016-11-03,1.3115999999999999
2016-11-04,0.255
2016-11-05,
2016-11-06,
2016-11-07,1.3305
2016-11-08,1.6606
2016-11-09,1.5385
2016-11-10,1.3841999999999999
2016-11-11,-1.476
2016-11-12,
2016-11-13,
2016-11-14,0.7865
2016-11-15,0.5574
2016-11-16,0.5913
2016-11-17,0.1102
2016-11-18,0.2385
2016-11-19,
2016-11-20,
2016-11-21,0.3661
2016-11-22,1.1125
2016-11-23,0.7766
2016-11-24,
2016-11-25,0.3047
2016-11-26,
2016-11-27,
2016-11-28,-0.6789
2016-11-29,-0.5577
2016-11-30,-0.5246
2016-12-01,-1.4548
2016-12-02,0.5352
2016-12-03,
2016-12-04,
2016-12-05,-1.0463
2016-12-06,0.1669
2016-12-07,0.4444
2016-12-08,-1.0324
2016-12-09,0.5961
2016-12-10,
2016-12-11,
2016-12-12,-0.0185
2016-12-13,-0.2593
2016-12-14,0.7428
2016-12-15,1.0323
2016-12-16,0.0365
2016-12-17,
2016-12-18,
2016-12-19,0.2371
2016-12-20,0.1638
2016-12-21,-1.6894
2016-12-22,-0.0554
2016-12-23,0.7765
2016-12-24,
2016-12-25,
2016-12-26,
2016-12-27,-0.0917
2016-12-28,-1.3037
2016-12-29,0.4837
2016-12-30,-0.7036
2016-12-31,
2017-01-01,
2017-01-02,
2017-01-03,0.1865
2017-01-04,0.9678
2017-01-05,-0.5714
2017-01-06,-0.1298
2017-01-07,
2017-01-08,
2017-01-09,-0.2599
2017-01-10,0.1303
2017-01-11,-0.2602
2017-01-12,0.0186
2017-01-13,2.0309
2017-01-14,
2017-01-15,
2017-01-16,
2017-01-17,-1.1505
2017-01-18,0.0185
2017-01-19,0.2401
2017-01-20,0.4607
2017-01-21,
2017-01-22,
2017-01-23,-0.752
2017-01-24,1.0904
2017-01-25,0.8592
2017-01-26,0.9425
2017-01-27,0.431
2017-01-28,
2017-01-29,
2017-01-30,-0.8761
2017-01-31,-0.2345
2017-02-01,-0.3254
2017-02-02,0.1451
2017-02-03,1.4671
2017-02-04,
2017-02-05,
2017-02-06,-0.3749
2017-02-07,-0.3046
2017-02-08,0.9705
