date,BHF UW Equity
2017-07-19,-3.032
2017-07-20,1.9764
2017-07-21,-0.8389
2017-07-22,
2017-07-23,
2017-07-24,0.7585
2017-07-25,
2017-07-26,
2017-07-27,-1.5634000000000001
2017-07-28,-1.0882
2017-07-29,
2017-07-30,
2017-07-31,-2.3045
2017-08-01,0.8218
2017-08-02,-2.0528
2017-08-03,-1.3716
2017-08-04,0.8906
2017-08-05,
2017-08-06,
2017-08-07,-4.4138
2017-08-08,-7.8095
2017-08-09,-0.3163
2017-08-10,3.1382
2017-08-11,-0.906
2017-08-12,
2017-08-13,
2017-08-14,-1.0523
2017-08-15,1.1332
2017-08-16,-0.8792
2017-08-17,-2.6609
2017-08-18,2.6443
2017-08-19,
2017-08-20,
2017-08-21,-1.027
2017-08-22,0.6155
2017-08-23,-0.9788
2017-08-24,-2.3477
2017-08-25,0.3977
2017-08-26,
2017-08-27,
2017-08-28,-0.3601
2017-08-29,0.7589
2017-08-30,2.4032
2017-08-31,-0.0525
2017-09-01,0.7359
2017-09-02,
2017-09-03,
2017-09-04,
2017-09-05,-5.9315
2017-09-06,-1.6642000000000001
2017-09-07,-0.3385
2017-09-08,2.9057
2017-09-09,
2017-09-10,
2017-09-11,1.0451
2017-09-12,0.1452
2017-09-13,0.2899
2017-09-14,0.4878
2017-09-15,1.69
2017-09-16,
2017-09-17,
2017-09-18,1.1492
2017-09-19,-0.4894
2017-09-20,0.9837
2017-09-21,0.3305
2017-09-22,1.1616
2017-09-23,
2017-09-24,
2017-09-25,0.5656
2017-09-26,3.3401
2017-09-27,1.0719
2017-09-28,-1.4032
2017-09-29,0.6123
2017-09-30,
2017-10-01,
2017-10-02,0.3125
2017-10-03,-1.2625
2017-10-04,-1.2288000000000001
2017-10-05,1.8325
2017-10-06,0.7429
2017-10-07,
2017-10-08,
2017-10-09,-1.4748999999999999
2017-10-10,-0.0333
2017-10-11,0.9484
2017-10-12,-0.3956
2017-10-13,-0.0496
2017-10-14,
2017-10-15,
2017-10-16,-0.2649
2017-10-17,0.6474
2017-10-18,0.1319
2017-10-19,0.8071
2017-10-20,1.5032999999999999
2017-10-21,
2017-10-22,
2017-10-23,-0.6278
2017-10-24,1.3122
2017-10-25,-0.7675
2017-10-26,1.8208
2017-10-27,0.6963
2017-10-28,
2017-10-29,
2017-10-30,-1.8388
2017-10-31,-0.4483
2017-11-01,-0.2091
2017-11-02,-4.5447
2017-11-03,-2.3806
2017-11-04,
2017-11-05,
2017-11-06,-2.0062
2017-11-07,0.5118
2017-11-08,-1.1589
2017-11-09,0.3731
2017-11-10,0.1416
2017-11-11,
2017-11-12,
2017-11-13,-1.0428
2017-11-14,-1.0895
2017-11-15,-0.7403
2017-11-16,0.8186
2017-11-17,0.4511
2017-11-18,
2017-11-19,
2017-11-20,-0.3772
2017-11-21,2.6145
2017-11-22,0.9489
2017-11-23,
2017-11-24,-0.2785
2017-11-25,
2017-11-26,
2017-11-27,0.5586
2017-11-28,0.6943
2017-11-29,2.4651
2017-11-30,-1.0935
2017-12-01,-0.5953
2017-12-02,
2017-12-03,
2017-12-04,0.0856
2017-12-05,-0.4103
2017-12-06,-0.1373
2017-12-07,0.7908
2017-12-08,2.6778
2017-12-09,
2017-12-10,
2017-12-11,-0.3821
2017-12-12,0.0167
2017-12-13,-1.017
2017-12-14,-1.078
2017-12-15,-0.4768
2017-12-16,
2017-12-17,
2017-12-18,0.3935
2017-12-19,-0.5794
2017-12-20,-0.3428
2017-12-21,3.87
2017-12-22,-1.4075
2017-12-23,
2017-12-24,
2017-12-25,
2017-12-26,0.2519
2017-12-27,-1.0387
2017-12-28,0.1524
2017-12-29,-0.879
2017-12-30,
2017-12-31,
2018-01-01,
2018-01-02,-1.6542
2018-01-03,1.4566
2018-01-04,1.6749
2018-01-05,1.9163000000000001
2018-01-06,
2018-01-07,
2018-01-08,-0.2309
2018-01-09,2.0169
2018-01-10,3.7109
2018-01-11,1.9531
2018-01-12,0.1686
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,-3.2742
2018-01-17,1.8032
2018-01-18,-1.3518
2018-01-19,1.1025
2018-01-20,
2018-01-21,
2018-01-22,0.3427
2018-01-23,0.8384
2018-01-24,-0.5081
2018-01-25,0.4178
2018-01-26,1.2945
2018-01-27,
2018-01-28,
2018-01-29,2.632
2018-01-30,-3.5577
2018-01-31,-1.2296
2018-02-01,-0.2646
2018-02-02,-3.027
2018-02-03,
2018-02-04,
2018-02-05,-4.8591999999999995
2018-02-06,-0.5919
2018-02-07,0.3743
2018-02-08,-6.0339
2018-02-09,2.7778
2018-02-10,
2018-02-11,
2018-02-12,2.1938
2018-02-13,-8.0199
2018-02-14,4.0142
2018-02-15,0.6642
