date,WDC UW Equity
2012-06-05,0.1003
2012-06-06,3.3745
2012-06-07,-0.3878
2012-06-08,1.3303
2012-06-09,
2012-06-10,
2012-06-11,-1.8252000000000002
2012-06-12,-0.3914
2012-06-13,-0.6549
2012-06-14,-0.4614
2012-06-15,1.6225
2012-06-16,
2012-06-17,
2012-06-18,-0.4562
2012-06-19,1.0147
2012-06-20,0.0972
2012-06-21,-4.9207
2012-06-22,1.1236
2012-06-23,
2012-06-24,
2012-06-25,-2.5926
2012-06-26,0.6568
2012-06-27,2.3352
2012-06-28,-3.3557
2012-06-29,5.8333
2012-06-30,
2012-07-01,
2012-07-02,-2.0997
2012-07-03,3.8204000000000002
2012-07-04,
2012-07-05,-0.9684
2012-07-06,1.0756000000000001
2012-07-07,
2012-07-08,
2012-07-09,1.6768999999999998
2012-07-10,1.5224
2012-07-11,-1.5933000000000002
2012-07-12,-0.4762
2012-07-13,0.7337
2012-07-14,
2012-07-15,
2012-07-16,0.1267
2012-07-17,1.1069
2012-07-18,4.4729
2012-07-19,-2.0659
2012-07-20,-1.9566
2012-07-21,
2012-07-22,
2012-07-23,0.6548
2012-07-24,-1.5798999999999999
2012-07-25,2.2033
2012-07-26,20.9424
2012-07-27,1.6552
2012-07-28,
2012-07-29,
2012-07-30,0.6263
2012-07-31,-0.9958
2012-08-01,-0.8801
2012-08-02,1.2177
2012-08-03,2.7569
2012-08-04,
2012-08-05,
2012-08-06,0.6098
2012-08-07,1.2121
2012-08-08,0.2635
2012-08-09,2.795
2012-08-10,2.231
2012-08-11,
2012-08-12,
2012-08-13,0.7502
2012-08-14,-0.722
2012-08-15,0.3864
2012-08-16,2.8073
2012-08-17,0.1542
2012-08-18,
2012-08-19,
2012-08-20,-0.3518
2012-08-21,-1.4784
2012-08-22,-0.3359
2012-08-23,-2.2921
2012-08-24,0.345
2012-08-25,
2012-08-26,
2012-08-27,0.3667
2012-08-28,-0.6623
2012-08-29,0.0
2012-08-30,-3.2184
2012-08-31,-0.6651
2012-09-01,
2012-09-02,
2012-09-03,
2012-09-04,1.1956
2012-09-05,-1.1342
2012-09-06,2.9876
2012-09-07,-2.8545
2012-09-08,
2012-09-09,
2012-09-10,-1.6245
2012-09-11,2.5983
2012-09-12,-1.8225
2012-09-13,2.676
2012-09-14,-3.6394
2012-09-15,
