date,EXPE UW Equity
2005-07-22,3.2821
2005-07-23,
2005-07-24,
2005-07-25,-2.5342000000000002
2005-07-26,-0.9492
2005-07-27,0.4167
2005-07-28,-0.2075
2005-07-29,1.1642000000000001
2005-07-30,
2005-07-31,
2005-08-01,0.2877
2005-08-02,-1.4344000000000001
2005-08-03,-0.8316
2005-08-04,-1.2579
2005-08-05,-0.7643
2005-08-06,
2005-08-07,
2005-08-08,-3.7227
2005-08-09,6.0
2005-08-10,-0.6289
2005-08-11,-3.5021
2005-08-12,-2.4923
2005-08-13,
2005-08-14,
2005-08-15,-3.8565
2005-08-16,0.0466
2005-08-17,1.1189
2005-08-18,0.2766
2005-08-19,-0.4598
2005-08-20,
2005-08-21,
2005-08-22,-0.2309
2005-08-23,-0.6944
2005-08-24,0.6993
2005-08-25,2.5926
2005-08-26,-0.2256
2005-08-27,
2005-08-28,
2005-08-29,1.0403
2005-08-30,0.2686
2005-08-31,-0.625
2005-09-01,-0.1797
2005-09-02,0.6751
2005-09-03,
2005-09-04,
2005-09-05,
2005-09-06,-1.2517
2005-09-07,0.8601
2005-09-08,0.763
2005-09-09,-1.7372
2005-09-10,
2005-09-11,
2005-09-12,0.1813
2005-09-13,-0.1357
2005-09-14,-1.1328
2005-09-15,-1.879
2005-09-16,-1.915
2005-09-17,
2005-09-18,
2005-09-19,0.2381
2005-09-20,-0.4751
2005-09-21,-1.432
2005-09-22,-1.937
2005-09-23,-0.8395
2005-09-24,
2005-09-25,
2005-09-26,-0.1992
2005-09-27,-0.5988
2005-09-28,-0.9538
2005-09-29,1.4698
2005-09-30,-1.049
2005-10-01,
2005-10-02,
2005-10-03,3.0288
2005-10-04,0.8819
2005-10-05,-2.4284
2005-10-06,-0.2489
2005-10-07,0.2994
2005-10-08,
2005-10-09,
2005-10-10,0.995
2005-10-11,-1.2315
2005-10-12,-1.995
2005-10-13,0.5598
2005-10-14,1.9231
2005-10-15,
2005-10-16,
2005-10-17,1.3902999999999999
2005-10-18,-2.6934
2005-10-19,-1.4092
2005-10-20,-0.4594
2005-10-21,0.4103
2005-10-22,
2005-10-23,
