date,GOOG UW Equity
2014-03-31,-0.5536
2014-04-01,1.916
2014-04-02,-0.1004
2014-04-03,0.4832
2014-04-04,-4.6688
2014-04-05,
2014-04-06,
2014-04-07,-0.9187
2014-04-08,3.1125
2014-04-09,1.6652
2014-04-10,-4.1107
2014-04-11,-1.9133
2014-04-12,
2014-04-13,
2014-04-14,0.3619
2014-04-15,0.7361
2014-04-16,3.7469
2014-04-17,-3.6727
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,-1.3953
2014-04-22,1.171
2014-04-23,-1.4716
2014-04-24,-0.3378
2014-04-25,-1.71
2014-04-26,
2014-04-27,
2014-04-28,0.1879
2014-04-29,2.04
2014-04-30,-0.1971
2014-05-01,0.8905
2014-05-02,-0.6436
2014-05-03,
2014-05-04,
2014-05-05,-0.0227
2014-05-06,-2.4005
2014-05-07,-1.0056
2014-05-08,0.2039
2014-05-09,1.5714000000000001
2014-05-10,
2014-05-11,
2014-05-12,2.0981
2014-05-13,0.5982
2014-05-14,-1.2081
2014-05-15,-1.2665
2014-05-16,0.125
2014-05-17,
2014-05-18,
2014-05-19,1.5808
2014-05-20,0.1721
2014-05-21,1.7309
2014-05-22,1.1356
2014-05-23,1.4017
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,2.3973
2014-05-28,-0.7545
2014-05-29,-0.2849
2014-05-30,0.1607
2014-05-31,
2014-06-01,
2014-06-02,-1.2567
2014-06-03,-1.6229
2014-06-04,-0.0514
2014-06-05,1.6965
2014-06-06,0.4387
2014-06-07,
2014-06-08,
2014-06-09,1.0407
2014-06-10,-0.2793
2014-06-11,-0.3514
2014-06-12,-1.2944
2014-06-13,0.0744
2014-06-14,
2014-06-15,
2014-06-16,-1.3557000000000001
2014-06-17,-0.2333
2014-06-18,1.9079000000000002
2014-06-19,0.2765
2014-06-20,0.4812
2014-06-21,
2014-06-22,
2014-06-23,1.3235999999999999
2014-06-24,-0.0584
2014-06-25,2.4849
2014-06-26,-0.458
2014-06-27,0.1042
2014-06-28,
2014-06-29,
2014-06-30,-0.2289
2014-07-01,1.2846
2014-07-02,-0.0532
2014-07-03,0.407
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,-0.4241
2014-07-08,-1.982
2014-07-09,0.9409
2014-07-10,-0.8645
2014-07-11,1.4148
2014-07-12,
2014-07-13,
2014-07-14,0.9824
2014-07-15,-0.0154
2014-07-16,-0.3625
2014-07-17,-1.6305
2014-07-18,3.8244
2014-07-19,
2014-07-20,
2014-07-21,-0.9427
2014-07-22,0.894
2014-07-23,0.2085
2014-07-24,-0.4413
2014-07-25,-0.7298
2014-07-26,
2014-07-27,
2014-07-28,0.2682
2014-07-29,-0.8449
2014-07-30,0.3091
2014-07-31,-2.6931000000000003
2014-08-01,-0.9675
2014-08-02,
2014-08-03,
2014-08-04,1.2507
