date,TEL UN Equity
2007-06-18,-4.2526
2007-06-19,-1.2113
2007-06-20,-2.0436
2007-06-21,2.0862
2007-06-22,6.1308
2007-06-23,
2007-06-24,
2007-06-25,0.7702
2007-06-26,0.6369
2007-06-27,0.6329
2007-06-28,-0.3774
2007-06-29,-1.3636
2007-06-30,
2007-07-01,
2007-07-02,2.3297
2007-07-03,-0.7756
2007-07-04,
2007-07-05,-0.5295
2007-07-06,0.9379
2007-07-07,
2007-07-08,
2007-07-09,0.9543
2007-07-10,-2.9851
2007-07-11,0.1538
2007-07-12,-0.128
2007-07-13,1.1792
2007-07-14,
2007-07-15,
2007-07-16,-0.4307
2007-07-17,-1.1196
2007-07-18,-2.3675
2007-07-19,0.4217
2007-07-20,-0.1837
2007-07-21,
2007-07-22,
2007-07-23,2.314
2007-07-24,-1.3107
2007-07-25,0.1823
2007-07-26,-2.3655
2007-07-27,-1.6240999999999999
2007-07-28,
2007-07-29,
2007-07-30,-2.4356999999999998
2007-07-31,-0.638
2007-08-01,-1.675
2007-08-02,0.142
2007-08-03,-0.5103
2007-08-04,
2007-08-05,
2007-08-06,0.171
2007-08-07,-0.8535
2007-08-08,-0.3156
2007-08-09,-2.9073
2007-08-10,-2.7275
2007-08-11,
2007-08-12,
2007-08-13,0.5486
2007-08-14,-1.6369
2007-08-15,1.5716
2007-08-16,0.2427
2007-08-17,6.2349
2007-08-18,
2007-08-19,
2007-08-20,-0.4274
2007-08-21,-0.8011
2007-08-22,0.548
2007-08-23,1.4343
2007-08-24,2.5735
2007-08-25,
2007-08-26,
2007-08-27,-2.2057
2007-08-28,-0.9867
2007-08-29,0.6834
2007-08-30,-1.1312
2007-08-31,-0.2574
2007-09-01,
2007-09-02,
2007-09-03,
2007-09-04,0.1147
2007-09-05,-0.6302
2007-09-06,1.5566
2007-09-07,-4.9106
2007-09-08,
2007-09-09,
2007-09-10,-0.8955
2007-09-11,-0.4819
2007-09-12,-1.4527999999999999
2007-09-13,1.0135
2007-09-14,0.5169
2007-09-15,
2007-09-16,
2007-09-17,0.242
2007-09-18,1.3578999999999999
2007-09-19,-1.5481
