date,PAYC UN Equity
2014-04-17,4.0333
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,-0.9231
2014-04-22,-0.7453
2014-04-23,0.5632
2014-04-24,-1.9912999999999998
2014-04-25,-2.8571
2014-04-26,
2014-04-27,
2014-04-28,-2.1569
2014-04-29,2.0708
2014-04-30,0.8508
2014-05-01,1.6872
2014-05-02,0.8296
2014-05-03,
2014-05-04,
2014-05-05,-0.7595
2014-05-06,-2.3597
2014-05-07,-1.6982
2014-05-08,0.8638
2014-05-09,-4.4137
2014-05-10,
2014-05-11,
2014-05-12,-2.8946
2014-05-13,-1.5614
2014-05-14,1.442
2014-05-15,1.5636
2014-05-16,-3.359
2014-05-17,
2014-05-18,
2014-05-19,-4.1274
2014-05-20,5.7402
2014-05-21,0.0
2014-05-22,9.857099999999999
2014-05-23,-5.5267
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,-3.4412
2014-05-28,-5.5595
2014-05-29,1.7358
2014-05-30,-0.9644
2014-05-31,
2014-06-01,
2014-06-02,1.4232
2014-06-03,3.6189
2014-06-04,1.9243999999999999
2014-06-05,-0.9091
2014-06-06,1.976
2014-06-07,
2014-06-08,
2014-06-09,1.3149
2014-06-10,-1.4344000000000001
2014-06-11,0.2079
2014-06-12,-3.3887
2014-06-13,0.2147
2014-06-14,
2014-06-15,
2014-06-16,3.1429
2014-06-17,-3.0471
2014-06-18,1.2143
2014-06-19,0.8469
2014-06-20,-1.1896
2014-06-21,
2014-06-22,
2014-06-23,3.6827
2014-06-24,0.4098
2014-06-25,0.1361
2014-06-26,0.0
2014-06-27,-5.0272
2014-06-28,
2014-06-29,
2014-06-30,4.3634
2014-07-01,0.0685
2014-07-02,-2.3973
2014-07-03,3.0175
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,-4.4959
2014-07-08,-4.2083
2014-07-09,-0.0745
2014-07-10,-0.8942
2014-07-11,-2.0301
2014-07-12,
2014-07-13,
2014-07-14,1.9954
2014-07-15,-2.4078
2014-07-16,-0.9252
2014-07-17,-3.4241
2014-07-18,0.5641
2014-07-19,
2014-07-20,
2014-07-21,2.4038
2014-07-22,-1.252
2014-07-23,1.7433
2014-07-24,1.2461
2014-07-25,0.0
2014-07-26,
2014-07-27,
2014-07-28,-0.3077
2014-07-29,-0.6173
2014-07-30,0.9317
2014-07-31,-1.6923
2014-08-01,-1.0172
2014-08-02,
2014-08-03,
2014-08-04,0.3162
2014-08-05,-1.576
2014-08-06,10.7286
2014-08-07,-0.0723
2014-08-08,-1.7366000000000001
2014-08-09,
2014-08-10,
2014-08-11,2.43
2014-08-12,-0.1438
2014-08-13,6.1915
2014-08-14,3.4576000000000002
2014-08-15,10.3539
2014-08-16,
2014-08-17,
2014-08-18,-2.3159
2014-08-19,-1.5805
2014-08-20,-2.5942
2014-08-21,4.8827
2014-08-22,5.5018
2014-08-23,
2014-08-24,
2014-08-25,-1.1461000000000001
2014-08-26,4.6377
2014-08-27,-0.3878
2014-08-28,-0.5562
2014-08-29,0.2237
2014-08-30,
2014-08-31,
2014-09-01,
2014-09-02,0.8929
2014-09-03,-4.0376
2014-09-04,-4.0346
2014-09-05,-1.3213
2014-09-06,
2014-09-07,
2014-09-08,-0.2435
2014-09-09,-1.7084000000000001
2014-09-10,1.5518
2014-09-11,2.0782
2014-09-12,6.2275
2014-09-13,
2014-09-14,
2014-09-15,-3.2694
2014-09-16,4.2541
2014-09-17,-0.8944
2014-09-18,1.8049
2014-09-19,5.2078
2014-09-20,
2014-09-21,
2014-09-22,-3.7388
2014-09-23,0.1094
2014-09-24,0.6557
2014-09-25,-7.7633
2014-09-26,1.3537
2014-09-27,
2014-09-28,
2014-09-29,-1.8002
2014-09-30,-2.0698
2014-10-01,-2.7778
2014-10-02,1.2422
2014-10-03,1.6564
2014-10-04,
2014-10-05,
2014-10-06,-2.5347
2014-10-07,-2.4149
2014-10-08,-0.5076
2014-10-09,-5.102
2014-10-10,0.0
2014-10-11,
2014-10-12,
2014-10-13,0.672
2014-10-14,0.4005
2014-10-15,8.1117
2014-10-16,3.075
2014-10-17,-1.9689999999999999
2014-10-18,
2014-10-19,
2014-10-20,-0.5478
2014-10-21,2.0196
2014-10-22,-1.1398
2014-10-23,0.3034
2014-10-24,-0.121
2014-10-25,
2014-10-26,
2014-10-27,0.3634
2014-10-28,2.0519
2014-10-29,-0.8279
2014-10-30,3.9356
2014-10-31,1.8359
2014-11-01,
2014-11-02,
2014-11-03,-0.3944
2014-11-04,0.2828
2014-11-05,19.2893
2014-11-06,2.0804
2014-11-07,-0.7874
2014-11-08,
2014-11-09,
2014-11-10,3.0345
2014-11-11,1.9483000000000001
2014-11-12,-0.6667
2014-11-13,1.1186
2014-11-14,4.823
2014-11-15,
2014-11-16,
2014-11-17,4.8966
2014-11-18,-0.0402
2014-11-19,3.4219
2014-11-20,1.596
2014-11-21,3.1801
2014-11-22,
2014-11-23,
2014-11-24,2.0052
2014-11-25,0.7645
2014-11-26,2.2038
2014-11-27,
2014-11-28,1.626
2014-11-29,
2014-11-30,
2014-12-01,-1.287
2014-12-02,-2.7484
2014-12-03,-2.4638
2014-12-04,1.3001
2014-12-05,0.22
2014-12-06,
2014-12-07,
2014-12-08,-3.3297
2014-12-09,3.6715
2014-12-10,-2.9208
2014-12-11,-3.5728
2014-12-12,-4.6022
2014-12-13,
2014-12-14,
2014-12-15,-0.8994
2014-12-16,9.6947
2014-12-17,2.7077999999999998
2014-12-18,0.9886
2014-12-19,-1.3416000000000001
2014-12-20,
2014-12-21,
2014-12-22,4.4836
2014-12-23,-3.7285
2014-12-24,-3.2152
2014-12-25,
2014-12-26,0.7173
2014-12-27,
2014-12-28,
2014-12-29,-1.6492
2014-12-30,-0.6479
2014-12-31,0.9973
2015-01-01,
2015-01-02,-1.0254
2015-01-03,
2015-01-04,
2015-01-05,-3.3768000000000002
2015-01-06,-2.4623
2015-01-07,3.1759
2015-01-08,4.2620000000000005
2015-01-09,-3.7472
2015-01-10,
2015-01-11,
2015-01-12,-2.9493
2015-01-13,-4.3355
2015-01-14,-1.8213
2015-01-15,1.855
2015-01-16,-0.5083
2015-01-17,
2015-01-18,
2015-01-19,
2015-01-20,-1.0643
2015-01-21,8.6919
2015-01-22,4.038
2015-01-23,2.8919
2015-01-24,
2015-01-25,
2015-01-26,1.3683
2015-01-27,2.5903
2015-01-28,2.276
2015-01-29,-4.7288
2015-01-30,-4.4891
2015-01-31,
2015-02-01,
2015-02-02,-0.3057
2015-02-03,5.711
2015-02-04,-1.8129
2015-02-05,3.3973
2015-02-06,0.1786
2015-02-07,
2015-02-08,
2015-02-09,6.0963
2015-02-10,6.5188
2015-02-11,-0.7886
2015-02-12,5.1828
2015-02-13,-2.1463
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,3.6762
2015-02-18,-2.7712
2015-02-19,2.3291
2015-02-20,1.1381000000000001
2015-02-21,
2015-02-22,
2015-02-23,-2.5465999999999998
2015-02-24,0.8508
2015-02-25,-0.7532
2015-02-26,-0.3036
2015-02-27,-2.9233000000000002
2015-02-28,
2015-03-01,
2015-03-02,-0.0314
2015-03-03,0.1569
2015-03-04,-0.8772
2015-03-05,2.2439999999999998
2015-03-06,-0.5873
2015-03-07,
2015-03-08,
2015-03-09,-4.6953
2015-03-10,0.7504
2015-03-11,1.9754
2015-03-12,1.2067
2015-03-13,-1.4747
2015-03-14,
2015-03-15,
2015-03-16,1.7516
2015-03-17,2.2535
2015-03-18,4.7444
2015-03-19,2.6008
2015-03-20,-3.8166
2015-03-21,
2015-03-22,
2015-03-23,-1.7175
2015-03-24,-4.7303
2015-03-25,-3.6369
2015-03-26,4.4634
2015-03-27,0.0314
2015-03-28,
2015-03-29,
2015-03-30,0.7852
2015-03-31,-0.0935
2015-04-01,-1.2477
2015-04-02,-0.5054
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,1.4921
2015-04-07,1.2199
2015-04-08,-0.2472
2015-04-09,-0.9603
2015-04-10,-0.6256
2015-04-11,
2015-04-12,
2015-04-13,-0.9443
2015-04-14,-3.1141
2015-04-15,2.0007
2015-04-16,-0.9003
2015-04-17,-2.3037
2015-04-18,
2015-04-19,
2015-04-20,6.9412
2015-04-21,2.8261
2015-04-22,-0.4832
2015-04-23,0.3035
2015-04-24,-0.4236
2015-04-25,
2015-04-26,
2015-04-27,-2.127
2015-04-28,2.1732
2015-04-29,-1.6105
2015-04-30,-2.378
2015-05-01,1.0123
2015-05-02,
2015-05-03,
2015-05-04,3.2258
2015-05-05,-4.9454
2015-05-06,5.4899000000000004
2015-05-07,6.8986
2015-05-08,1.0473
2015-05-09,
2015-05-10,
2015-05-11,7.2549
2015-05-12,1.7237
2015-05-13,-2.0539
2015-05-14,2.8571
2015-05-15,-10.0663
2015-05-16,
2015-05-17,
2015-05-18,0.17
2015-05-19,0.9052
2015-05-20,0.3645
2015-05-21,1.1453
2015-05-22,-1.4913
2015-05-23,
2015-05-24,
2015-05-25,
2015-05-26,-1.4017
2015-05-27,0.0569
2015-05-28,-1.3639999999999999
2015-05-29,0.1441
2015-05-30,
2015-05-31,
2015-06-01,-0.0288
2015-06-02,1.8129
2015-06-03,-0.1413
2015-06-04,-0.283
2015-06-05,0.4825
2015-06-06,
2015-06-07,
2015-06-08,2.5423999999999998
2015-06-09,-0.6612
2015-06-10,-0.0832
2015-06-11,-0.7494
2015-06-12,0.4474
2015-06-13,
2015-06-14,
2015-06-15,1.5869
2015-06-16,4.7958
2015-06-17,-0.2354
2015-06-18,0.5505
2015-06-19,-1.6945000000000001
2015-06-20,
2015-06-21,
2015-06-22,1.6972
2015-06-23,-0.678
2015-06-24,-3.518
2015-06-25,1.6871
2015-06-26,-4.335
2015-06-27,
2015-06-28,
2015-06-29,-3.8322000000000003
2015-06-30,-0.669
2015-07-01,0.9663
2015-07-02,-1.3051
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,1.293
2015-07-07,-2.7560000000000002
2015-07-08,-0.5668
2015-07-09,2.6103
2015-07-10,0.7602
2015-07-11,
2015-07-12,
2015-07-13,0.2902
