date,WRK UN Equity
2015-06-26,0.0
2015-06-27,
2015-06-28,
2015-06-29,
2015-06-30,-1.6155
2015-07-01,2.4631
2015-07-02,4.1506
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,-1.908
2015-07-07,-2.0078
2015-07-08,-4.4181
2015-07-09,-0.335
2015-07-10,3.1759
2015-07-11,
2015-07-12,
2015-07-13,1.1726
2015-07-14,0.1127
2015-07-15,-0.9165
2015-07-16,1.1360000000000001
2015-07-17,-0.9146
2015-07-18,
2015-07-19,
2015-07-20,-0.3239
2015-07-21,-2.762
2015-07-22,0.4845
2015-07-23,-0.4822
2015-07-24,-1.5706
2015-07-25,
2015-07-26,
2015-07-27,-1.2222
2015-07-28,1.9763
2015-07-29,0.0843
2015-07-30,5.7922
2015-07-31,0.3661
2015-08-01,
2015-08-02,
2015-08-03,0.1744
2015-08-04,-0.9498
2015-08-05,0.2877
2015-08-06,-1.6096
2015-08-07,1.3282
2015-08-08,
2015-08-09,
2015-08-10,1.2708
2015-08-11,0.6669
2015-08-12,-0.142
2015-08-13,-0.2843
2015-08-14,0.1584
2015-08-15,
2015-08-16,
2015-08-17,0.174
2015-08-18,-0.2842
2015-08-19,-1.7258
2015-08-20,-2.2394
2015-08-21,-2.7521
2015-08-22,
2015-08-23,
2015-08-24,-4.3213
2015-08-25,-1.7003
2015-08-26,1.7117
2015-08-27,4.907
2015-08-28,1.7562
2015-08-29,
2015-08-30,
2015-08-31,-1.5101
2015-09-01,-1.5501
2015-09-02,-0.445
2015-09-03,0.9455
2015-09-04,-2.3331
2015-09-05,
2015-09-06,
2015-09-07,
2015-09-08,2.1796
2015-09-09,-0.5973
2015-09-10,0.8412
2015-09-11,0.017
2015-09-12,
2015-09-13,
2015-09-14,1.4128
2015-09-15,0.1678
2015-09-16,-1.4913
2015-09-17,-1.803
2015-09-18,-3.5164
2015-09-19,
2015-09-20,
2015-09-21,0.2873
2015-09-22,-3.4372
2015-09-23,-2.132
2015-09-24,-0.9093
2015-09-25,-0.6882
2015-09-26,
2015-09-27,
2015-09-28,-3.8114
2015-09-29,1.2006999999999999
2015-09-30,1.7204000000000002
2015-10-01,1.0886
2015-10-02,1.9423
2015-10-03,
2015-10-04,
2015-10-05,2.0562
2015-10-06,0.3882
2015-10-07,-0.4603
2015-10-08,0.2405
2015-10-09,6.2373
2015-10-10,
2015-10-11,
2015-10-12,-2.1539
2015-10-13,-1.4024
2015-10-14,0.3961
2015-10-15,0.4484
2015-10-16,-0.3928
2015-10-17,
2015-10-18,
2015-10-19,-2.7245
2015-10-20,-0.9397
2015-10-21,-2.2135
2015-10-22,-0.1332
2015-10-23,1.6571
2015-10-24,
2015-10-25,
2015-10-26,-0.2061
2015-10-27,-0.3567
2015-10-28,2.525
2015-10-29,-0.6433
2015-10-30,-0.5549
2015-10-31,
2015-11-01,
2015-11-02,0.6324
2015-11-03,-1.6266
2015-11-04,0.0564
2015-11-05,-3.5117000000000003
2015-11-06,4.4375
2015-11-07,
2015-11-08,
2015-11-09,-3.2799
2015-11-10,-1.0983
2015-11-11,0.4481
2015-11-12,-4.4414
2015-11-13,-1.4613
2015-11-14,
2015-11-15,
2015-11-16,-1.2770000000000001
2015-11-17,0.4068
2015-11-18,3.8115
2015-11-19,1.2306
2015-11-20,-0.1395
2015-11-21,
2015-11-22,
2015-11-23,0.5787
2015-11-24,0.1984
2015-11-25,-0.4356
2015-11-26,
2015-11-27,0.2586
