date,NBL UW Equity
2020-01-02,-2.8583
2020-01-03,-1.7406000000000001
2020-01-04,
2020-01-05,
2020-01-06,0.9701
2020-01-07,-2.8404
2020-01-08,-2.3216
2020-01-09,-1.2324
2020-01-10,-0.8021
2020-01-11,
2020-01-12,
2020-01-13,0.0
2020-01-14,1.752
2020-01-15,0.4857
2020-01-16,3.4271
2020-01-17,-0.4673
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,-2.3474
2020-01-22,-2.535
2020-01-23,0.2242
2020-01-24,-3.0425
2020-01-25,
2020-01-26,
2020-01-27,-3.3226
2020-01-28,0.0477
2020-01-29,-1.7176
2020-01-30,-1.4563
2020-01-31,-2.6108000000000002
2020-02-01,
2020-02-02,
2020-02-03,-0.2023
2020-02-04,0.8109
2020-02-05,7.1393
2020-02-06,-2.7217000000000002
2020-02-07,-2.7014
2020-02-08,
2020-02-09,
2020-02-10,-1.7456
2020-02-11,1.0152
2020-02-12,-2.0603
2020-02-13,0.5644
2020-02-14,-2.2449
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,-0.9916
2020-02-19,-0.2636
2020-02-20,-1.9556
2020-02-21,-3.2345
2020-02-22,
2020-02-23,
2020-02-24,-8.2451
2020-02-25,-5.2823
2020-02-26,-1.9231
2020-02-27,-1.1764999999999999
2020-02-28,4.6958
2020-02-29,
2020-03-01,
2020-03-02,-0.1895
2020-03-03,-3.8924
2020-03-04,0.889
2020-03-05,-3.4595000000000002
2020-03-06,-9.9391
2020-03-07,
2020-03-08,
2020-03-09,-29.8799
2020-03-10,-0.8565
2020-03-11,-20.0864
2020-03-12,-15.2703
2020-03-13,14.673
2020-03-14,
2020-03-15,
2020-03-16,-27.2601
2020-03-17,-19.8853
2020-03-18,-27.9236
2020-03-19,30.4636
2020-03-20,2.2843
2020-03-21,
2020-03-22,
2020-03-23,10.9181
2020-03-24,30.4251
2020-03-25,4.9743
2020-03-26,1.4706000000000001
2020-03-27,-13.6876
2020-03-28,
2020-03-29,
2020-03-30,-0.9328
2020-03-31,13.7476
2020-04-01,-2.4834
2020-04-02,7.1307
2020-04-03,-2.0602
2020-04-04,
2020-04-05,
2020-04-06,7.9288
2020-04-07,1.6492
2020-04-08,6.4897
2020-04-09,4.0166
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,-3.8615
2020-04-14,0.554
2020-04-15,-5.3719
2020-04-16,-9.0975
2020-04-17,11.289
2020-04-18,
2020-04-19,
2020-04-20,-1.295
2020-04-21,-1.9679
2020-04-22,7.8067
2020-04-23,7.5862
2020-04-24,4.8718
2020-04-25,
2020-04-26,
2020-04-27,-2.0782
2020-04-28,1.7478
2020-04-29,23.3129
