date,FANG UW Equity
2012-10-16,0.2254
2012-10-17,-0.5059
2012-10-18,0.0
2012-10-19,-1.6383999999999999
2012-10-20,
2012-10-21,
2012-10-22,-2.1827
2012-10-23,0.5872
2012-10-24,1.5178
2012-10-25,-2.0702
2012-10-26,0.6459
2012-10-27,
2012-10-28,
2012-10-29,
2012-10-30,
2012-10-31,-0.6418
2012-11-01,1.1743999999999999
2012-11-02,-1.2768
2012-11-03,
2012-11-04,
2012-11-05,-1.7637
2012-11-06,1.7953000000000001
2012-11-07,0.2939
2012-11-08,-1.8171
2012-11-09,-1.194
2012-11-10,
2012-11-11,
2012-11-12,-0.3021
2012-11-13,-2.7879
2012-11-14,0.0623
2012-11-15,4.0498
2012-11-16,0.7186
2012-11-17,
2012-11-18,
2012-11-19,1.7835999999999999
2012-11-20,0.0584
2012-11-21,0.7005
2012-11-22,
2012-11-23,0.4058
2012-11-24,
2012-11-25,
2012-11-26,-0.3464
2012-11-27,-0.1738
2012-11-28,0.1161
2012-11-29,5.2754
2012-11-30,-0.8811
2012-12-01,
2012-12-02,
2012-12-03,0.5556
2012-12-04,-1.4917
2012-12-05,0.8413
2012-12-06,-2.0022
2012-12-07,0.7378
2012-12-08,
2012-12-09,
2012-12-10,-0.7324
2012-12-11,-0.454
2012-12-12,0.5701
2012-12-13,1.3605
2012-12-14,-1.7338
2012-12-15,
2012-12-16,
2012-12-17,2.3335
2012-12-18,4.5606
2012-12-19,2.0213
2012-12-20,-0.8342
2012-12-21,-0.2103
2012-12-22,
2012-12-23,
2012-12-24,-1.7913999999999999
2012-12-25,
2012-12-26,0.0536
2012-12-27,-0.5898
2012-12-28,1.2945
2012-12-29,
2012-12-30,
2012-12-31,1.8104
2013-01-01,
2013-01-02,0.6276
2013-01-03,-0.5198
2013-01-04,4.7544
2013-01-05,
2013-01-06,
2013-01-07,3.591
2013-01-08,-0.8185
2013-01-09,-0.6311
2013-01-10,5.6668
2013-01-11,0.1849
2013-01-12,
2013-01-13,
2013-01-14,0.5999
2013-01-15,-0.367
2013-01-16,-2.0258
2013-01-17,-0.7519
2013-01-18,-2.7462
2013-01-19,
2013-01-20,
2013-01-21,
2013-01-22,6.0857
2013-01-23,-1.6521
2013-01-24,0.0
2013-01-25,2.6598
2013-01-26,
2013-01-27,
2013-01-28,-1.6364
2013-01-29,2.2643
2013-01-30,2.4401
2013-01-31,-1.1028
2013-02-01,1.2489
2013-02-02,
2013-02-03,
2013-02-04,-0.7048
2013-02-05,0.3993
2013-02-06,0.0
2013-02-07,-0.928
2013-02-08,-1.6503
2013-02-09,
2013-02-10,
2013-02-11,-2.2222
2013-02-12,0.0464
2013-02-13,-0.0464
2013-02-14,2.0408
2013-02-15,1.3636
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,2.3318
2013-02-20,-6.7485
2013-02-21,-2.5846
2013-02-22,1.206
2013-02-23,
2013-02-24,
2013-02-25,-5.9104
2013-02-26,1.5704
2013-02-27,4.5387
2013-02-28,8.3492
2013-03-01,-1.6292
2013-03-02,
2013-03-03,
2013-03-04,0.2238
2013-03-05,5.8508
2013-03-06,-0.6329
2013-03-07,4.0764
2013-03-08,1.5912
2013-03-09,
2013-03-10,
2013-03-11,-1.6465999999999998
2013-03-12,1.7967
2013-03-13,3.2892
2013-03-14,-3.4563
2013-03-15,-2.856
2013-03-16,
2013-03-17,
2013-03-18,-0.6625
2013-03-19,-0.9587
2013-03-20,1.0101
2013-03-21,1.2917
2013-03-22,0.9872
2013-03-23,
2013-03-24,
2013-03-25,2.6477
2013-03-26,1.7856999999999998
2013-03-27,1.7934
2013-03-28,2.7959
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,2.0864
2013-04-02,-1.3139
2013-04-03,-7.8402
2013-04-04,0.5217
2013-04-05,0.519
2013-04-06,
2013-04-07,
2013-04-08,3.4551
2013-04-09,2.7255000000000003
2013-04-10,-2.5411
2013-04-11,1.6104
