date,DOW UN Equity
2019-03-22,-0.7758
2019-03-23,
2019-03-24,
2019-03-25,1.1317
2019-03-26,-0.6104
2019-03-27,2.5589
2019-03-28,1.4969999999999999
2019-03-29,1.5339
2019-03-30,
2019-03-31,
2019-04-01,3.6219
2019-04-02,5.1402
2019-04-03,1.12
2019-04-04,4.9754000000000005
2019-04-05,-4.1367
2019-04-06,
2019-04-07,
2019-04-08,-0.1572
2019-04-09,-1.5398
2019-04-10,-0.9952
2019-04-11,-1.4719
2019-04-12,6.2124
2019-04-13,
2019-04-14,
2019-04-15,-0.8919
2019-04-16,1.2461
2019-04-17,-0.3077
2019-04-18,-0.9431
2019-04-19,
2019-04-20,
2019-04-21,
2019-04-22,0.2077
2019-04-23,-0.4319
2019-04-24,-2.8799
2019-04-25,-1.1611
2019-04-26,-0.1446
2019-04-27,
2019-04-28,
2019-04-29,0.4525
2019-04-30,2.2162
2019-05-01,-1.0576
2019-05-02,-6.1108
2019-05-03,1.1385
2019-05-04,
2019-05-05,
2019-05-06,0.3002
2019-05-07,-0.954
2019-05-08,-0.8876
2019-05-09,0.8575
2019-05-10,0.2645
2019-05-11,
2019-05-12,
2019-05-13,-3.9947
2019-05-14,3.0029
2019-05-15,0.8956
2019-05-16,0.0567
2019-05-17,-4.1148
2019-05-18,
2019-05-19,
2019-05-20,-1.4173
2019-05-21,1.0982
2019-05-22,-0.8295
2019-05-23,-2.9875
2019-05-24,1.006
2019-05-25,
2019-05-26,
2019-05-27,
2019-05-28,-1.3008
2019-05-29,0.3089
2019-05-30,0.9444
2019-05-31,-3.528
2019-06-01,
2019-06-02,
2019-06-03,2.5663
2019-06-04,4.1076
2019-06-05,0.8211
2019-06-06,1.4303
2019-06-07,0.47
2019-06-08,
2019-06-09,
2019-06-10,0.6238
2019-06-11,0.8136
2019-06-12,0.8647
2019-06-13,0.743
2019-06-14,-3.2716
2019-06-15,
2019-06-16,
2019-06-17,-3.5191
2019-06-18,0.5268
2019-06-19,-2.2375
2019-06-20,0.8866
2019-06-21,-1.1649
2019-06-22,
2019-06-23,
2019-06-24,2.5227
2019-06-25,0.2219
2019-06-26,1.5295
2019-06-27,0.9118
2019-06-28,-3.1428
2019-06-29,
2019-06-30,
2019-07-01,1.7238
2019-07-02,-1.5152
2019-07-03,-0.1417
2019-07-04,
2019-07-05,-0.0405
2019-07-06,
2019-07-07,
2019-07-08,-1.6021
2019-07-09,-1.3397000000000001
2019-07-10,-0.6685
2019-07-11,0.4837
2019-07-12,4.0393
2019-07-13,
2019-07-14,
2019-07-15,2.4542
2019-07-16,2.7292
2019-07-17,-1.3761
2019-07-18,0.2907
2019-07-19,-0.4444
2019-07-20,
2019-07-21,
2019-07-22,-1.2422
2019-07-23,3.4198
2019-07-24,0.3231
2019-07-25,-3.8265000000000002
2019-07-26,-3.2696
2019-07-27,
2019-07-28,
2019-07-29,-2.1584
2019-07-30,0.7284
2019-07-31,0.0826
2019-08-01,-3.2824
2019-08-02,-2.6681
2019-08-03,
2019-08-04,
2019-08-05,-1.8202
2019-08-06,-0.7594
2019-08-07,1.0352999999999999
2019-08-08,4.2326
2019-08-09,-0.3206
2019-08-10,
2019-08-11,
2019-08-12,-2.0369
2019-08-13,2.5388
2019-08-14,-5.9125
2019-08-15,-1.588
2019-08-16,2.6048999999999998
2019-08-17,
2019-08-18,
2019-08-19,2.4489
2019-08-20,-5.3509
2019-08-21,0.278
2019-08-22,-2.842
2019-08-23,-3.1867
2019-08-24,
2019-08-25,
2019-08-26,0.2702
2019-08-27,0.8574
2019-08-28,3.2791
2019-08-29,1.2934999999999999
2019-08-30,0.6136
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,-1.947
2019-09-04,1.7703
2019-09-05,1.9276
2019-09-06,-0.2768
2019-09-07,
2019-09-08,
2019-09-09,2.7983000000000002
2019-09-10,4.207
2019-09-11,1.209
2019-09-12,0.192
2019-09-13,2.6187
2019-09-14,
2019-09-15,
2019-09-16,1.6804999999999999
2019-09-17,-2.0608
2019-09-18,-1.0208
2019-09-19,0.2736
2019-09-20,1.1965
2019-09-21,
2019-09-22,
2019-09-23,-0.6223
2019-09-24,-2.7343
2019-09-25,2.3176
2019-09-26,-0.9438
2019-09-27,-0.3388
2019-09-28,
2019-09-29,
2019-09-30,1.2322
2019-10-01,-3.5257
2019-10-02,-2.2622999999999998
2019-10-03,0.8458
2019-10-04,0.0662
2019-10-05,
2019-10-06,
2019-10-07,-0.3749
2019-10-08,-2.9223
2019-10-09,0.3649
2019-10-10,2.0677
2019-10-11,4.9199
2019-10-12,
2019-10-13,
2019-10-14,-0.6578
2019-10-15,0.8116
2019-10-16,-0.1695
2019-10-17,1.4643
2019-10-18,0.3137
2019-10-19,
2019-10-20,
2019-10-21,-1.7515
2019-10-22,-0.6367
2019-10-23,0.8757
2019-10-24,4.7427
2019-10-25,2.0416
2019-10-26,
2019-10-27,
2019-10-28,1.4461
2019-10-29,0.5468
2019-10-30,-0.8934
2019-10-31,-1.0582
2019-11-01,3.6047000000000002
2019-11-02,
2019-11-03,
2019-11-04,3.5557
2019-11-05,0.0554
2019-11-06,0.1476
2019-11-07,2.8003
2019-11-08,0.3405
2019-11-09,
2019-11-10,
2019-11-11,-0.3215
2019-11-12,-1.1647
2019-11-13,-2.7194000000000003
2019-11-14,0.5404
2019-11-15,1.6867
2019-11-16,
2019-11-17,
2019-11-18,-0.9843
2019-11-19,-1.7121
2019-11-20,-1.3486
2019-11-21,2.2973
2019-11-22,0.5939
2019-11-23,
2019-11-24,
2019-11-25,1.845
2019-11-26,0.308
2019-11-27,-0.7044
2019-11-28,
2019-11-29,-1.6764999999999999
2019-11-30,
2019-12-01,
2019-12-02,-0.3935
2019-12-03,-2.5207
2019-12-04,0.8877
2019-12-05,-0.5356
2019-12-06,2.3462
2019-12-07,
2019-12-08,
2019-12-09,0.0939
2019-12-10,-0.2628
2019-12-11,-0.0565
2019-12-12,2.5423999999999998
2019-12-13,-2.1488
2019-12-14,
2019-12-15,
2019-12-16,1.6703999999999999
2019-12-17,0.9046
2019-12-18,-0.7501
2019-12-19,0.4977
2019-12-20,0.1651
2019-12-21,
2019-12-22,
2019-12-23,0.586
2019-12-24,-0.0546
2019-12-25,
2019-12-26,0.5829
2019-12-27,-0.7063
2019-12-28,
2019-12-29,
2019-12-30,-0.8937
2019-12-31,0.7177
2020-01-01,
2020-01-02,-1.7906
2020-01-03,-2.4744
2020-01-04,
2020-01-05,
2020-01-06,-0.4006
2020-01-07,-0.0383
2020-01-08,1.0347
2020-01-09,-1.0241
2020-01-10,-1.3221
2020-01-11,
2020-01-12,
2020-01-13,1.6505
2020-01-14,-0.2101
2020-01-15,0.0574
2020-01-16,0.4018
2020-01-17,1.6387
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,-1.3873
2020-01-22,-3.289
2020-01-23,-1.2187999999999999
2020-01-24,-3.5025
2020-01-25,
2020-01-26,
2020-01-27,-2.7016
2020-01-28,-0.0424
2020-01-29,5.3223
2020-01-30,-2.4159
2020-01-31,-4.9515
2020-02-01,
2020-02-02,
2020-02-03,1.4543
2020-02-04,2.8026999999999997
2020-02-05,3.2466
2020-02-06,-0.8264
2020-02-07,-2.378
2020-02-08,
2020-02-09,
2020-02-10,0.3331
2020-02-11,1.2451
2020-02-12,1.2093
2020-02-13,-2.1871
2020-02-14,0.6832
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,-1.8300999999999998
2020-02-19,-0.377
2020-02-20,2.5231
2020-02-21,-0.9434
2020-02-22,
2020-02-23,
2020-02-24,-4.265
2020-02-25,-4.9524
2020-02-26,-2.0478
2020-02-27,-6.5041
2020-02-28,2.1745
2020-02-29,
2020-03-01,
2020-03-02,2.4994
2020-03-03,-2.0763
2020-03-04,3.3284000000000002
2020-03-05,-4.3187999999999995
2020-03-06,-2.818
2020-03-07,
2020-03-08,
