date,COV UN Equity
2007-06-18,-0.5376
2007-06-19,-0.9297
2007-06-20,-4.7359
2007-06-21,-0.8018
2007-06-22,-1.224
2007-06-23,
2007-06-24,
2007-06-25,-1.2859
2007-06-26,0.0711
2007-06-27,1.7751000000000001
2007-06-28,1.1628
2007-06-29,-0.9195
2007-06-30,
2007-07-01,
2007-07-02,0.7193
2007-07-03,-0.8984
2007-07-04,
2007-07-05,-1.9061
2007-07-06,0.2607
2007-07-07,
2007-07-08,
2007-07-09,1.9853
2007-07-10,0.2781
2007-07-11,2.6115
2007-07-12,0.0901
2007-07-13,-0.9901
2007-07-14,
2007-07-15,
2007-07-16,0.6818
2007-07-17,-0.6772
2007-07-18,-1.2273
2007-07-19,-0.4832
2007-07-20,-2.0347
2007-07-21,
2007-07-22,
2007-07-23,-0.2124
2007-07-24,-0.3548
2007-07-25,-1.4003999999999999
2007-07-26,-2.0462
2007-07-27,-3.4161
2007-07-28,
2007-07-29,
2007-07-30,5.8524
2007-07-31,-1.5625
2007-08-01,0.6105
2007-08-02,1.335
2007-08-03,-1.6048
2007-08-04,
2007-08-05,
2007-08-06,1.0954
2007-08-07,0.5779
2007-08-08,-1.5083
2007-08-09,-3.3544
2007-08-10,0.7545
2007-08-11,
2007-08-12,
2007-08-13,-0.0749
2007-08-14,-2.4981
2007-08-15,-2.6134
2007-08-16,-0.0789
2007-08-17,1.3691
2007-08-18,
2007-08-19,
2007-08-20,-1.2468
2007-08-21,1.2362
2007-08-22,3.6113
2007-08-23,-0.9027
2007-08-24,1.7966
2007-08-25,
2007-08-26,
2007-08-27,1.4666000000000001
2007-08-28,-2.1313
2007-08-29,0.2503
2007-08-30,-0.2747
2007-08-31,-0.2754
2007-09-01,
2007-09-02,
2007-09-03,
2007-09-04,1.0796000000000001
2007-09-05,-0.0248
2007-09-06,-0.5963
2007-09-07,-0.2749
2007-09-08,
2007-09-09,
2007-09-10,2.005
2007-09-11,2.2359
2007-09-12,1.0574
2007-09-13,-0.1902
2007-09-14,0.2144
2007-09-15,
2007-09-16,
2007-09-17,-0.6419
2007-09-18,2.1058
2007-09-19,-1.1482999999999999
2007-09-20,0.3319
2007-09-21,0.4253
2007-09-22,
2007-09-23,
2007-09-24,-1.3176
2007-09-25,-1.1445
2007-09-26,-0.1447
2007-09-27,-0.4106
2007-09-28,0.6549
2007-09-29,
2007-09-30,
2007-10-01,1.5663
2007-10-02,-2.2064
2007-10-03,-0.4124
2007-10-04,0.268
2007-10-05,0.4634
2007-10-06,
2007-10-07,
2007-10-08,0.9468
2007-10-09,0.5532
2007-10-10,-0.7414
2007-10-11,0.0
