date,TER UW Equity
2018-11-29,-2.8297
2018-11-30,0.9047
2018-12-01,
2018-12-02,
2018-12-03,0.7565
2018-12-04,-4.0879
2018-12-05,
2018-12-06,-1.9716
2018-12-07,-3.5492
2018-12-08,
2018-12-09,
2018-12-10,0.7973
2018-12-11,0.2738
2018-12-12,1.2136
2018-12-13,-1.0791
2018-12-14,-1.4848
2018-12-15,
2018-12-16,
2018-12-17,-2.1839
2018-12-18,0.5031
2018-12-19,-4.2553
2018-12-20,0.2941
2018-12-21,-3.682
2018-12-22,
2018-12-23,
2018-12-24,-2.0974
2018-12-25,
2018-12-26,5.3559
2018-12-27,1.4102999999999999
2018-12-28,0.8732
2018-12-29,
2018-12-30,
2018-12-31,0.6092
2019-01-01,
2019-01-02,1.1472
2019-01-03,-6.7423
2019-01-04,5.0676
2019-01-05,
2019-01-06,
2019-01-07,0.1608
2019-01-08,-1.1878
2019-01-09,3.6387
2019-01-10,0.8464
2019-01-11,0.4974
2019-01-12,
2019-01-13,
2019-01-14,-2.5982
2019-01-15,0.9527
2019-01-16,-0.2517
2019-01-17,1.2614
2019-01-18,2.4603
2019-01-19,
2019-01-20,
2019-01-21,
2019-01-22,-3.3435
2019-01-23,0.4088
2019-01-24,12.8719
2019-01-25,1.97
2019-01-26,
2019-01-27,
2019-01-28,0.0544
2019-01-29,-1.1694
2019-01-30,1.541
2019-01-31,-2.4661
2019-02-01,2.1395
2019-02-02,
2019-02-03,
2019-02-04,0.4625
2019-02-05,1.1373
2019-02-06,3.079
2019-02-07,-2.2338
2019-02-08,-0.2657
2019-02-09,
2019-02-10,
2019-02-11,0.8791
2019-02-12,2.7462
2019-02-13,0.6168
2019-02-14,0.9706
2019-02-15,0.6071
2019-02-16,
2019-02-17,
2019-02-18,
2019-02-19,1.5338
2019-02-20,2.2536
2019-02-21,-0.2422
2019-02-22,0.3406
2019-02-23,
2019-02-24,
2019-02-25,2.0126
2019-02-26,-1.4262000000000001
2019-02-27,-0.6028
2019-02-28,-0.9461
2019-03-01,0.4164
2019-03-02,
2019-03-03,
2019-03-04,-0.878
2019-03-05,-0.5906
2019-03-06,-1.1386
2019-03-07,-2.6790000000000003
2019-03-08,-0.3087
2019-03-09,
2019-03-10,
2019-03-11,2.0129
2019-03-12,0.1518
2019-03-13,0.0505
2019-03-14,-0.8584
