date,519239Q UQ Equity
2000-01-04,-7.8704
2000-01-05,5.0251
2000-01-06,-1.4354
2000-01-07,0.7282
2000-01-08,
2000-01-09,
2000-01-10,2.6506
2000-01-11,-5.8685
2000-01-12,-1.2469000000000001
2000-01-13,-1.5152
2000-01-14,-2.8205
2000-01-15,
2000-01-16,
2000-01-17,
2000-01-18,0.2639
2000-01-19,1.3158
2000-01-20,-7.013
2000-01-21,-6.1453
2000-01-22,
2000-01-23,
2000-01-24,-7.7381
2000-01-25,12.9032
2000-01-26,-7.7143
2000-01-27,8.6687
2000-01-28,-3.4188
2000-01-29,
2000-01-30,
2000-01-31,-4.1298
2000-02-01,-2.7692
2000-02-02,2.8481
2000-02-03,0.6154
2000-02-04,3.3639
2000-02-05,
2000-02-06,
2000-02-07,-0.5917
2000-02-08,12.7976
2000-02-09,-6.8602
2000-02-10,15.2975
2000-02-11,-14.9877
2000-02-12,
2000-02-13,
2000-02-14,-2.6012
2000-02-15,-0.8902
2000-02-16,-11.6766
2000-02-17,2.7119
2000-02-18,-7.9208
2000-02-19,
2000-02-20,
2000-02-21,
2000-02-22,-2.1505
2000-02-23,2.1978
2000-02-24,6.8100000000000005
2000-02-25,-1.6779
2000-02-26,
2000-02-27,
2000-02-28,5.802
2000-02-29,0.9677
2000-03-01,-2.2364
2000-03-02,-3.9215999999999998
2000-03-03,-4.0816
2000-03-04,
2000-03-05,
2000-03-06,-3.1915
2000-03-07,-4.7619
2000-03-08,0.3846
2000-03-09,1.1494
2000-03-10,0.7576
2000-03-11,
2000-03-12,
2000-03-13,-0.3759
2000-03-14,6.4151
2000-03-15,12.766
2000-03-16,3.7736
2000-03-17,2.7273
2000-03-18,
2000-03-19,
2000-03-20,-9.4395
2000-03-21,17.2638
2000-03-22,2.2222
2000-03-23,2.1739
2000-03-24,-1.3298
2000-03-25,
2000-03-26,
2000-03-27,-3.2345
2000-03-28,-5.0139
2000-03-29,-10.5572
2000-03-30,3.6066000000000003
2000-03-31,16.1392
2000-04-01,
2000-04-02,
2000-04-03,-6.812
2000-04-04,-9.3567
2000-04-05,0.6452
2000-04-06,9.6154
2000-04-07,-0.5848
2000-04-08,
2000-04-09,
