date,TRIP UW Equity
2011-12-09,5.4614
2011-12-10,
2011-12-11,
2011-12-12,-1.9643000000000002
2011-12-13,0.1821
2011-12-14,-1.0909
2011-12-15,4.1544
2011-12-16,0.4589
2011-12-17,
2011-12-18,
2011-12-19,1.792
2011-12-20,4.4184
2011-12-21,-8.5289
2011-12-22,-11.348
2011-12-23,6.0742
2011-12-24,
2011-12-25,
2011-12-26,
2011-12-27,-0.3075
2011-12-28,-0.6554
2011-12-29,-3.6865
2011-12-30,1.5713
2011-12-31,
2012-01-01,
2012-01-02,
2012-01-03,5.6327
2012-01-04,-3.5674
2012-01-05,-0.6231
2012-01-06,0.1959
2012-01-07,
2012-01-08,
2012-01-09,2.6985
2012-01-10,5.674
2012-01-11,0.1441
2012-01-12,2.4109
2012-01-13,3.6894
2012-01-14,
2012-01-15,
2012-01-16,
2012-01-17,-1.7621
2012-01-18,0.138
2012-01-19,4.4781
2012-01-20,0.2308
2012-01-21,
2012-01-22,
2012-01-23,-0.0658
2012-01-24,1.0204
2012-01-25,2.6067
2012-01-26,-1.3973
2012-01-27,0.6119
2012-01-28,
2012-01-29,
2012-01-30,1.2804
2012-01-31,4.0139
2012-02-01,6.533
2012-02-02,-0.5134
2012-02-03,1.4335
2012-02-04,
2012-02-05,
2012-02-06,-0.6501
2012-02-07,-0.8819
2012-02-08,-1.4351
2012-02-09,-14.5603
2012-02-10,2.3858
2012-02-11,
2012-02-12,
2012-02-13,-4.8269
2012-02-14,-3.3578
2012-02-15,5.9718
2012-02-16,3.8251
2012-02-17,0.9868
2012-02-18,
2012-02-19,
2012-02-20,
2012-02-21,-0.0977
2012-02-22,-2.1845
2012-02-23,1.9667
2012-02-24,3.9555
2012-02-25,
2012-02-26,
2012-02-27,0.3459
2012-02-28,1.2535
2012-02-29,-0.2476
2012-03-01,1.2101
2012-03-02,-0.6744
2012-03-03,
2012-03-04,
2012-03-05,-1.3272
2012-03-06,-1.7204000000000002
2012-03-07,-1.1139000000000001
2012-03-08,0.6115
2012-03-09,-1.7913999999999999
2012-03-10,
2012-03-11,
2012-03-12,0.0
2012-03-13,-0.7166
2012-03-14,1.6732
2012-03-15,4.7757
2012-03-16,4.712
2012-03-17,
2012-03-18,
2012-03-19,0.0
2012-03-20,0.2647
2012-03-21,-0.9387
2012-03-22,-1.5398
2012-03-23,0.1504
2012-03-24,
2012-03-25,
2012-03-26,3.003
2012-03-27,2.8863
2012-03-28,-2.0402
2012-03-29,1.7067
2012-03-30,1.4505
2012-03-31,
2012-04-01,
2012-04-02,4.7659
2012-04-03,-2.0872
2012-04-04,-0.9292
2012-04-05,-0.0552
2012-04-06,
2012-04-07,
2012-04-08,
2012-04-09,-2.0425
2012-04-10,-2.5641
2012-04-11,0.5784
2012-04-12,0.9201
2012-04-13,-1.7094
2012-04-14,
2012-04-15,
2012-04-16,-1.942
2012-04-17,3.4585
2012-04-18,1.2570999999999999
2012-04-19,-0.6208
2012-04-20,-0.5679
2012-04-21,
2012-04-22,
2012-04-23,-3.084
2012-04-24,-1.65
2012-04-25,0.9287
2012-04-26,2.0481
2012-04-27,7.2426
2012-04-28,
2012-04-29,
2012-04-30,1.7358
2012-05-01,-2.6126
2012-05-02,16.6986
2012-05-03,-4.0582
2012-05-04,-1.7115
2012-05-05,
