date,HII UN Equity
2011-03-24,0.0
2011-03-25,5.3690999999999995
2011-03-26,
2011-03-27,
2011-03-28,-3.8217
2011-03-29,-0.6623
2011-03-30,1.8667
2011-03-31,8.6387
2011-04-01,-3.5181
2011-04-02,
2011-04-03,
2011-04-04,0.2747
2011-04-05,0.2491
2011-04-06,-1.4161000000000001
2011-04-07,-2.2177
2011-04-08,-0.7732
2011-04-09,
2011-04-10,
2011-04-11,-0.4675
2011-04-12,-0.7046
2011-04-13,-0.1314
2011-04-14,2.0263
2011-04-15,3.5337
2011-04-16,
2011-04-17,
2011-04-18,-0.2242
2011-04-19,-0.6742
2011-04-20,0.7039
2011-04-21,-1.8721999999999999
2011-04-22,
2011-04-23,
2011-04-24,
2011-04-25,-0.6105
2011-04-26,0.6911
2011-04-27,1.7031
2011-04-28,-0.05
2011-04-29,0.025
2011-04-30,
2011-05-01,
2011-05-02,2.45
2011-05-03,-1.1713
2011-05-04,-1.358
2011-05-05,-0.2753
2011-05-06,-0.8534
2011-05-07,
2011-05-08,
2011-05-09,0.2532
2011-05-10,1.4394
2011-05-11,-3.4603
2011-05-12,-1.0057
2011-05-13,0.1823
2011-05-14,
2011-05-15,
2011-05-16,0.598
2011-05-17,0.2326
2011-05-18,-0.722
2011-05-19,-0.3117
2011-05-20,-0.8338
2011-05-21,
2011-05-22,
2011-05-23,-0.6831
2011-05-24,-1.6667
2011-05-25,-1.3452
2011-05-26,-0.6818
2011-05-27,0.4393
2011-05-28,
2011-05-29,
2011-05-30,
2011-05-31,-0.0273
2011-06-01,-1.2852000000000001
2011-06-02,-0.1385
2011-06-03,-0.6935
2011-06-04,
2011-06-05,
2011-06-06,0.5028
2011-06-07,1.2785
2011-06-08,1.4544000000000001
2011-06-09,0.0541
2011-06-10,-1.7843
2011-06-11,
2011-06-12,
2011-06-13,0.4955
2011-06-14,0.1917
2011-06-15,-1.1482
2011-06-16,-0.4425
2011-06-17,-0.1389
2011-06-18,
2011-06-19,
2011-06-20,0.1113
2011-06-21,1.0003
2011-06-22,-0.5502
2011-06-23,-0.6916
2011-06-24,-0.8635
2011-06-25,
2011-06-26,
2011-06-27,-1.0958
2011-06-28,0.1705
2011-06-29,-1.2479
2011-06-30,-0.919
2011-07-01,0.3188
2011-07-02,
2011-07-03,
2011-07-04,
2011-07-05,0.0867
2011-07-06,1.7610000000000001
2011-07-07,-2.156
2011-07-08,1.4787
2011-07-09,
2011-07-10,
2011-07-11,-0.4571
2011-07-12,-1.2629000000000001
2011-07-13,-1.0465
2011-07-14,-1.4395
2011-07-15,-0.0894
2011-07-16,
2011-07-17,
2011-07-18,-0.9547
2011-07-19,0.3313
2011-07-20,-0.2402
2011-07-21,0.5718
2011-07-22,1.4662
2011-07-23,
2011-07-24,
2011-07-25,1.0911
2011-07-26,2.5671
2011-07-27,-2.7304
2011-07-28,-0.5848
2011-07-29,-1.5293999999999999
2011-07-30,
2011-07-31,
2011-08-01,-1.9116
