date,XYL UN Equity
2011-10-17,-0.7495
2011-10-18,0.159
2011-10-19,-1.7856999999999998
2011-10-20,0.0
2011-10-21,3.1919
2011-10-22,
2011-10-23,
2011-10-24,0.9005
2011-10-25,-0.0776
2011-10-26,-2.835
2011-10-27,2.3981
2011-10-28,0.7806
2011-10-29,
2011-10-30,
2011-10-31,3.5631
2011-11-01,2.1316
2011-11-02,-2.5265
2011-11-03,-0.864
2011-11-04,-4.5472
2011-11-05,
2011-11-06,
2011-11-07,-2.3422
2011-11-08,1.3820999999999999
2011-11-09,-4.2101
2011-11-10,-1.0046
2011-11-11,0.592
2011-11-12,
2011-11-13,
2011-11-14,1.0139
2011-11-15,0.2507
2011-11-16,0.5419
2011-11-17,-1.1194
2011-11-18,0.3354
2011-11-19,
2011-11-20,
2011-11-21,-1.2953999999999999
2011-11-22,0.0423
2011-11-23,0.2116
2011-11-24,
2011-11-25,-2.8716
2011-11-26,
2011-11-27,
2011-11-28,2.1304
2011-11-29,-0.9366
2011-11-30,2.7073
2011-12-01,1.5481
2011-12-02,-0.0824
2011-12-03,
2011-12-04,
2011-12-05,3.4638999999999998
2011-12-06,-1.0363
2011-12-07,-1.0471
2011-12-08,-2.8083
2011-12-09,1.9682
2011-12-10,
2011-12-11,
2011-12-12,-1.7659
2011-12-13,-0.2926
2011-12-14,-1.8449
2011-12-15,2.1786
2011-12-16,3.1355
2011-12-17,
2011-12-18,
2011-12-19,-1.7025000000000001
2011-12-20,0.2474
2011-12-21,2.5093
2011-12-22,-0.3612
2011-12-23,0.3222
2011-12-24,
2011-12-25,
2011-12-26,
2011-12-27,0.562
2011-12-28,2.0359
2011-12-29,1.5258
2011-12-30,-1.0019
2011-12-31,
2012-01-01,
2012-01-02,
2012-01-03,-2.1409
2012-01-04,3.3015
2012-01-05,-1.4247
2012-01-06,-1.6797
2012-01-07,
2012-01-08,
2012-01-09,0.3973
2012-01-10,1.2268
2012-01-11,1.8765
2012-01-12,-1.3814
2012-01-13,-0.2724
2012-01-14,
2012-01-15,
2012-01-16,
2012-01-17,0.0
2012-01-18,5.3063
2012-01-19,-1.3709
2012-01-20,-0.9767
2012-01-21,
2012-01-22,
2012-01-23,-2.3141
2012-01-24,1.5146
2012-01-25,1.7598
2012-01-26,-2.4812
2012-01-27,-0.5012
2012-01-28,
2012-01-29,
2012-01-30,0.4262
2012-01-31,-0.0386
2012-02-01,3.5122
2012-02-02,-0.6339
2012-02-03,1.4259
2012-02-04,
2012-02-05,
2012-02-06,-0.9249
2012-02-07,1.643
2012-02-08,0.6245
2012-02-09,-0.9493
2012-02-10,-0.2212
2012-02-11,
2012-02-12,
2012-02-13,-0.1478
2012-02-14,-0.407
2012-02-15,0.2972
2012-02-16,0.5556
2012-02-17,1.6206
2012-02-18,
2012-02-19,
2012-02-20,
2012-02-21,0.8336
2012-02-22,-1.0424
2012-02-23,0.9081
2012-02-24,-1.8719000000000001
2012-02-25,
2012-02-26,
2012-02-27,0.3668
2012-02-28,-1.9005999999999998
2012-02-29,-3.2042
2012-03-01,3.1224
2012-03-02,-0.3372
2012-03-03,
2012-03-04,
2012-03-05,-1.4285999999999999
2012-03-06,-1.4111
2012-03-07,1.3926
2012-03-08,1.5643
2012-03-09,2.3666
2012-03-10,
2012-03-11,
2012-03-12,1.0275
2012-03-13,3.2328
2012-03-14,-0.2111
2012-03-15,1.3047
2012-03-16,-1.8796
2012-03-17,
2012-03-18,
2012-03-19,-0.8868
2012-03-20,-2.2548
2012-03-21,0.0732
2012-03-22,-0.4025
2012-03-23,-0.0735
2012-03-24,
2012-03-25,
2012-03-26,2.3897
2012-03-27,0.5027
2012-03-28,-0.1072
2012-03-29,-1.073
2012-03-30,0.3254
2012-03-31,
2012-04-01,
2012-04-02,2.0541
2012-04-03,-0.2472
2012-04-04,-1.5929
2012-04-05,0.6115
2012-04-06,
2012-04-07,
2012-04-08,
2012-04-09,-2.1809
2012-04-10,-1.5351
2012-04-11,0.2227
2012-04-12,1.1852
2012-04-13,-1.7936
2012-04-14,
2012-04-15,
2012-04-16,0.2609
2012-04-17,1.1152
2012-04-18,1.6543999999999999
2012-04-19,-1.9891999999999999
2012-04-20,0.9594
2012-04-21,
2012-04-22,
2012-04-23,-1.7178
2012-04-24,0.781
2012-04-25,2.214
2012-04-26,1.444
2012-04-27,0.9964
2012-04-28,
2012-04-29,
2012-04-30,-1.7618
2012-05-01,-0.7891
2012-05-02,0.3615
2012-05-03,-1.6571
2012-05-04,-3.1136
2012-05-05,
2012-05-06,
2012-05-07,-0.9074
2012-05-08,0.5723
2012-05-09,-0.8725
2012-05-10,0.0383
2012-05-11,-0.4208
2012-05-12,
2012-05-13,
2012-05-14,-2.305
2012-05-15,-0.8651
2012-05-16,0.6347
2012-05-17,-3.3457
2012-05-18,1.0238
2012-05-19,
2012-05-20,
2012-05-21,2.7157999999999998
2012-05-22,0.9866
2012-05-23,0.7816
2012-05-24,1.3571
2012-05-25,-1.8745
2012-05-26,
2012-05-27,
2012-05-28,
2012-05-29,0.9357
2012-05-30,-1.6995
2012-05-31,-0.4715
2012-06-01,-3.3557
2012-06-02,
2012-06-03,
2012-06-04,0.1225
2012-06-05,0.2856
2012-06-06,3.7022
2012-06-07,0.9808
2012-06-08,0.6993
2012-06-09,
2012-06-10,
2012-06-11,-1.5817999999999999
2012-06-12,0.2744
2012-06-13,-1.6028
2012-06-14,-0.6754
2012-06-15,1.28
2012-06-16,
2012-06-17,
2012-06-18,-0.7504
2012-06-19,-0.199
2012-06-20,-1.4354
2012-06-21,-1.7799
2012-06-22,-1.0708
2012-06-23,
2012-06-24,
2012-06-25,-1.7069
2012-06-26,1.313
2012-06-27,1.5468
2012-06-28,1.2351
2012-06-29,2.3587
2012-06-30,
2012-07-01,
2012-07-02,-0.5165
2012-07-03,2.5559
2012-07-04,
2012-07-05,-0.5841
2012-07-06,-1.2926
2012-07-07,
2012-07-08,
2012-07-09,-0.7937
2012-07-10,-2.56
2012-07-11,-1.7652
2012-07-12,-3.1341
2012-07-13,0.5608
2012-07-14,
2012-07-15,
2012-07-16,-0.6435
2012-07-17,2.1157
2012-07-18,1.1839
2012-07-19,0.794
2012-07-20,-1.3682
2012-07-21,
2012-07-22,
2012-07-23,0.3783
2012-07-24,-1.2144
2012-07-25,1.3565
2012-07-26,-0.7528
2012-07-27,1.9806
2012-07-28,
2012-07-29,
2012-07-30,0.0
2012-07-31,-0.9091
2012-08-01,-0.3336
2012-08-02,-1.3808
2012-08-03,1.9516
2012-08-04,
2012-08-05,
2012-08-06,0.4161
2012-08-07,0.4559
2012-08-08,-0.3713
2012-08-09,1.3251
2012-08-10,-0.0409
2012-08-11,
2012-08-12,
2012-08-13,0.2044
2012-08-14,-1.8359999999999999
2012-08-15,0.9559
2012-08-16,2.676
2012-08-17,0.8019
2012-08-18,
2012-08-19,
2012-08-20,0.5967
2012-08-21,-0.3559
2012-08-22,-0.7143
2012-08-23,-1.1543
2012-08-24,-0.5278
2012-08-25,
2012-08-26,
2012-08-27,-1.4694
2012-08-28,-0.3728
2012-08-29,-0.1663
2012-08-30,0.3332
2012-08-31,0.8302
2012-09-01,
2012-09-02,
2012-09-03,
2012-09-04,-1.1939
2012-09-05,0.2917
2012-09-06,3.7391
2012-09-07,0.5206
2012-09-08,
2012-09-09,
2012-09-10,-2.0717
2012-09-11,3.2547
2012-09-12,-1.4971999999999999
2012-09-13,1.44
2012-09-14,0.8281
2012-09-15,
2012-09-16,
2012-09-17,-0.8995
2012-09-18,1.4601
2012-09-19,1.0502
2012-09-20,-1.4627
2012-09-21,-0.625
2012-09-22,
2012-09-23,
2012-09-24,0.2358
2012-09-25,-0.3529
2012-09-26,-1.6922000000000001
2012-09-27,1.2810000000000001
2012-09-28,-0.5929
2012-09-29,
2012-09-30,
2012-10-01,0.3579
2012-10-02,0.0396
2012-10-03,-0.9109
2012-10-04,0.5196
2012-10-05,-0.0398
2012-10-06,
2012-10-07,
2012-10-08,-0.1193
2012-10-09,-1.2744
2012-10-10,-0.9278
2012-10-11,-0.9772
2012-10-12,1.1924
2012-10-13,
2012-10-14,
2012-10-15,0.4876
2012-10-16,2.5879
2012-10-17,-1.1431
2012-10-18,-1.3509
2012-10-19,-1.7045
2012-10-20,
2012-10-21,
2012-10-22,0.289
2012-10-23,-0.3705
2012-10-24,-3.1405
2012-10-25,1.1519
2012-10-26,-0.5061
2012-10-27,
2012-10-28,
2012-10-29,
2012-10-30,
2012-10-31,2.8402
2012-11-01,4.6991
2012-11-02,0.9055
2012-11-03,
2012-11-04,
2012-11-05,1.4436
2012-11-06,0.1923
2012-11-07,-2.8407
2012-11-08,-1.5409000000000002
2012-11-09,-0.8427
2012-11-10,
2012-11-11,
2012-11-12,0.2023
2012-11-13,-0.9289
2012-11-14,-1.9567999999999999
2012-11-15,-0.0832
2012-11-16,0.6658
2012-11-17,
2012-11-18,
2012-11-19,2.6871
2012-11-20,1.1272
2012-11-21,0.8758
2012-11-22,
2012-11-23,0.7103
2012-11-24,
2012-11-25,
2012-11-26,1.3323
2012-11-27,-0.8894
2012-11-28,1.2095
2012-11-29,0.7325
2012-11-30,-0.1531
2012-12-01,
2012-12-02,
2012-12-03,-1.2265
2012-12-04,-0.2716
2012-12-05,1.1673
2012-12-06,0.3462
2012-12-07,1.1115
2012-12-08,
2012-12-09,
2012-12-10,0.3791
2012-12-11,0.5665
2012-12-12,0.6008
2012-12-13,-0.3733
2012-12-14,0.2623
2012-12-15,
2012-12-16,
2012-12-17,-0.7848
2012-12-18,2.4482
2012-12-19,1.3603
2012-12-20,-2.6478
2012-12-21,-0.2981
2012-12-22,
2012-12-23,
2012-12-24,0.4111
2012-12-25,
2012-12-26,-0.3349
2012-12-27,0.2614
2012-12-28,-1.5642
2012-12-29,
2012-12-30,
2012-12-31,2.535
2013-01-01,
2013-01-02,1.476
2013-01-03,-0.3273
2013-01-04,-0.1459
2013-01-05,
2013-01-06,
2013-01-07,-1.3153000000000001
2013-01-08,-1.2218
2013-01-09,1.5742
2013-01-10,1.4022000000000001
2013-01-11,-1.0917
2013-01-12,
2013-01-13,
2013-01-14,0.1104
2013-01-15,-0.294
2013-01-16,-0.6635
2013-01-17,1.744
2013-01-18,0.3282
2013-01-19,
2013-01-20,
2013-01-21,
2013-01-22,0.618
2013-01-23,0.7948
2013-01-24,0.2867
2013-01-25,-1.0007
2013-01-26,
2013-01-27,
2013-01-28,0.7942
2013-01-29,0.1791
2013-01-30,-0.1073
2013-01-31,-0.0358
2013-02-01,0.2864
2013-02-02,
2013-02-03,
2013-02-04,-1.6423
2013-02-05,0.7985
2013-02-06,0.2881
2013-02-07,-3.3752
2013-02-08,0.6689
2013-02-09,
2013-02-10,
2013-02-11,1.3658000000000001
2013-02-12,1.7844
2013-02-13,1.1091
2013-02-14,0.7431
2013-02-15,-0.2585
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,1.6973
2013-02-20,-2.7816
2013-02-21,-1.0014
2013-02-22,0.3974
2013-02-23,
2013-02-24,
2013-02-25,-2.7708
2013-02-26,-0.074
2013-02-27,1.7407
2013-02-28,0.1092
2013-03-01,-0.0364
2013-03-02,
2013-03-03,
2013-03-04,0.0
2013-03-05,3.4922
2013-03-06,3.1283
2013-03-07,-3.2038
2013-03-08,0.1056
2013-03-09,
2013-03-10,
2013-03-11,1.1607
2013-03-12,-0.7997
2013-03-13,-0.2103
2013-03-14,0.843
2013-03-15,0.8708
2013-03-16,
2013-03-17,
2013-03-18,-0.6215
2013-03-19,-1.1814
2013-03-20,0.2461
2013-03-21,0.1754
2013-03-22,-0.4202
2013-03-23,
2013-03-24,
2013-03-25,-2.4965
2013-03-26,-0.1442
2013-03-27,-1.4445999999999999
2013-03-28,0.9894
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,-1.1248
2013-04-02,-0.1101
2013-04-03,-0.3674
2013-04-04,2.2124
2013-04-05,-0.4329
2013-04-06,
2013-04-07,
2013-04-08,0.9058
2013-04-09,0.395
2013-04-10,2.6109
2013-04-11,0.5925
2013-04-12,-0.9009
2013-04-13,
2013-04-14,
2013-04-15,-4.1259
2013-04-16,0.8753
2013-04-17,-1.3738000000000001
2013-04-18,-0.8798
2013-04-19,-0.1849
