date,DFS UN Equity
2007-06-18,2.923
2007-06-19,-0.7685
2007-06-20,0.3704
2007-06-21,4.6964
2007-06-22,1.5699999999999998
2007-06-23,
2007-06-24,
2007-06-25,-1.2618
2007-06-26,-2.8435
2007-06-27,-2.7294
2007-06-28,-0.2705
2007-06-29,-3.3898
2007-06-30,
2007-07-01,
2007-07-02,-3.5088
2007-07-03,-3.0182
2007-07-04,
2007-07-05,-2.7747
2007-07-06,-1.1184
2007-07-07,
2007-07-08,
2007-07-09,-0.39
2007-07-10,-2.5059
2007-07-11,1.245
2007-07-12,4.4823
2007-07-13,3.1131
2007-07-14,
2007-07-15,
2007-07-16,-1.1782
2007-07-17,-1.2668
2007-07-18,-0.5283
2007-07-19,1.3277999999999999
2007-07-20,-1.5350000000000001
2007-07-21,
2007-07-22,
2007-07-23,-0.6844
2007-07-24,-4.2879
2007-07-25,-3.6
2007-07-26,2.1577
2007-07-27,-5.2396
2007-07-28,
2007-07-29,
2007-07-30,1.0287
2007-07-31,-2.2062
2007-08-01,-0.7375
2007-08-02,2.1416
2007-08-03,-5.905
2007-08-04,
2007-08-05,
2007-08-06,0.7276
2007-08-07,3.2957
2007-08-08,6.1626
2007-08-09,-8.769
2007-08-10,-5.8664
2007-08-11,
2007-08-12,
2007-08-13,5.9444
2007-08-14,-0.6335
2007-08-15,-1.3660999999999999
2007-08-16,5.494
2007-08-17,1.4442
2007-08-18,
2007-08-19,
2007-08-20,1.1648
2007-08-21,0.9382
2007-08-22,0.2535
2007-08-23,-0.1264
2007-08-24,1.2236
2007-08-25,
2007-08-26,
2007-08-27,-0.6669
2007-08-28,-4.7
2007-08-29,2.7301
2007-08-30,-2.4432
2007-08-31,1.6696
2007-09-01,
2007-09-02,
2007-09-03,
2007-09-04,1.2532
2007-09-05,-3.7559
2007-09-06,-1.1973
2007-09-07,-5.2513
2007-09-08,
2007-09-09,
2007-09-10,-2.6054
2007-09-11,0.2432
2007-09-12,1.8923
2007-09-13,1.619
2007-09-14,-0.328
2007-09-15,
2007-09-16,
2007-09-17,0.2351
2007-09-18,8.3021
2007-09-19,1.3859
2007-09-20,-3.2038
2007-09-21,-1.1474
2007-09-22,
2007-09-23,
2007-09-24,-0.625
2007-09-25,-2.4259
2007-09-26,-2.1639
2007-09-27,-2.7294
2007-09-28,0.6289
2007-09-29,
2007-09-30,
2007-10-01,3.7019
2007-10-02,-0.9272
2007-10-03,0.1872
2007-10-04,3.1382
2007-10-05,3.2243
2007-10-06,
2007-10-07,
2007-10-08,-0.352
2007-10-09,1.6777
2007-10-10,-1.65
2007-10-11,-2.7373
2007-10-12,0.4539
2007-10-13,
2007-10-14,
2007-10-15,-3.3891
2007-10-16,-2.1048
2007-10-17,-0.7167
2007-10-18,-1.2031
2007-10-19,-3.5558
2007-10-20,
2007-10-21,
2007-10-22,-0.6061
2007-10-23,-1.3719999999999999
2007-10-24,-5.255
2007-10-25,-4.5133
2007-10-26,7.8018
2007-10-27,
2007-10-28,
2007-10-29,2.9583
2007-10-30,3.335
2007-10-31,-4.1708
2007-11-01,-4.0415
2007-11-02,-1.8359
2007-11-03,
2007-11-04,
2007-11-05,-0.165
2007-11-06,0.4959
2007-11-07,-5.3728
2007-11-08,2.5492
2007-11-09,0.678
2007-11-10,
2007-11-11,
2007-11-12,1.0662
2007-11-13,5.4969
2007-11-14,-3.7368
2007-11-15,-3.3352
2007-11-16,0.4525
2007-11-17,
2007-11-18,
2007-11-19,-5.7432
2007-11-20,-1.7921
2007-11-21,-1.1557
2007-11-22,
2007-11-23,2.6462
2007-11-24,
2007-11-25,
2007-11-26,-2.2782
2007-11-27,2.7607
2007-11-28,5.3731
2007-11-29,-2.0963
2007-11-30,0.5208
2007-12-01,
2007-12-02,
2007-12-03,-5.6419
2007-12-04,-1.0982
2007-12-05,1.4806
2007-12-06,5.2888
2007-12-07,-3.2333
2007-12-08,
2007-12-09,
2007-12-10,3.043
2007-12-11,-5.5009
2007-12-12,1.1642000000000001
2007-12-13,-0.5451
2007-12-14,-4.7503
2007-12-15,
2007-12-16,
2007-12-17,-0.1918
2007-12-18,1.7936999999999999
2007-12-19,0.0
2007-12-20,-2.7061
2007-12-21,0.2587
2007-12-22,
2007-12-23,
2007-12-24,0.8387
2007-12-25,
2007-12-26,0.5118
2007-12-27,-3.2463
2007-12-28,-1.7105000000000001
2007-12-29,
2007-12-30,
2007-12-31,1.3387
2008-01-01,
2008-01-02,-1.1936
2008-01-03,-0.4698
2008-01-04,-6.0013
2008-01-05,
2008-01-06,
2008-01-07,3.1564
2008-01-08,-5.4937000000000005
2008-01-09,4.3414
2008-01-10,0.5642
2008-01-11,-3.7167
2008-01-12,
2008-01-13,
2008-01-14,-1.2382
2008-01-15,-2.6549
2008-01-16,-0.9848
2008-01-17,-3.9786
2008-01-18,0.6375
2008-01-19,
2008-01-20,
2008-01-21,
2008-01-22,0.6334
2008-01-23,14.7915
2008-01-24,7.608
2008-01-25,-0.8917
