date,COTY UN Equity
2013-06-17,-0.742
2013-06-18,-0.5175
2013-06-19,-0.6358
2013-06-20,-2.5596
2013-06-21,1.4328
2013-06-22,
2013-06-23,
2013-06-24,-2.2366
2013-06-25,0.8429
2013-06-26,1.6118999999999999
2013-06-27,1.2926
2013-06-28,-0.348
2013-06-29,
2013-06-30,
2013-07-01,0.0
2013-07-02,0.4657
2013-07-03,-0.0579
2013-07-04,
2013-07-05,0.058
2013-07-06,
2013-07-07,
2013-07-08,0.0579
2013-07-09,0.6369
2013-07-10,0.0575
2013-07-11,0.345
2013-07-12,0.2865
2013-07-13,
2013-07-14,
2013-07-15,-1.8286
2013-07-16,0.8149
2013-07-17,-0.1155
2013-07-18,-0.8671
2013-07-19,-0.4082
2013-07-20,
2013-07-21,
2013-07-22,-0.7611
2013-07-23,0.649
2013-07-24,0.4103
2013-07-25,1.2843
2013-07-26,-1.3833
2013-07-27,
2013-07-28,
2013-07-29,0.6429
2013-07-30,-0.5226
2013-07-31,0.3503
2013-08-01,0.4654
2013-08-02,-0.0579
2013-08-03,
2013-08-04,
2013-08-05,1.2746
2013-08-06,0.1716
2013-08-07,-1.3135
2013-08-08,-2.7199
2013-08-09,0.7733
2013-08-10,
2013-08-11,
2013-08-12,0.1181
2013-08-13,-2.1816
2013-08-14,1.0247
2013-08-15,1.3723
2013-08-16,-0.5886
2013-08-17,
2013-08-18,
2013-08-19,0.5921
2013-08-20,0.0
2013-08-21,-0.8829
2013-08-22,-0.3563
2013-08-23,-1.1919
2013-08-24,
2013-08-25,
2013-08-26,-0.3016
2013-08-27,-3.7508
2013-08-28,-1.7599
2013-08-29,2.4312
2013-08-30,1.8114
2013-08-31,
2013-09-01,
2013-09-02,
2013-09-03,-0.9816
2013-09-04,0.4337
2013-09-05,-1.2338
2013-09-06,-1.3117
2013-09-07,
2013-09-08,
2013-09-09,-1.5190000000000001
2013-09-10,-0.7712
2013-09-11,-0.0648
2013-09-12,-0.1296
2013-09-13,2.9851
2013-09-14,
2013-09-15,
2013-09-16,2.3945
2013-09-17,-3.7538
2013-09-18,-0.5115
2013-09-19,1.1568
2013-09-20,0.6989
2013-09-21,
2013-09-22,
2013-09-23,-0.7571
2013-09-24,-0.5722
2013-09-25,-0.8312
2013-09-26,0.7092
2013-09-27,2.3047
2013-09-28,
2013-09-29,
2013-09-30,1.4393
2013-10-01,-1.1104
2013-10-02,0.1871
2013-10-03,-0.2491
2013-10-04,-0.1248
2013-10-05,
2013-10-06,
2013-10-07,0.0
2013-10-08,-0.5
2013-10-09,0.5025
2013-10-10,1.2025000000000001
2013-10-11,2.3139
2013-10-12,
2013-10-13,
2013-10-14,-0.3667
2013-10-15,-1.8405
2013-10-16,1.0
2013-10-17,-0.0619
