date,1566019D UN Equity
2012-09-19,1.4543
2012-09-20,-0.1858
2012-09-21,0.7979
2012-09-22,
2012-09-23,
2012-09-24,-0.8443
2012-09-25,-3.0069
2012-09-26,-2.6337
2012-09-27,1.1553
2012-09-28,0.2786
2012-09-29,
2012-09-30,
2012-10-01,3.5278
2012-10-02,2.8441
2012-10-03,1.9828000000000001
2012-10-04,-1.3303
2012-10-05,-0.8556
2012-10-06,
2012-10-07,
2012-10-08,-0.0262
2012-10-09,-1.9095
2012-10-10,-1.1733
2012-10-11,-1.646
2012-10-12,0.0823
2012-10-13,
2012-10-14,
2012-10-15,0.1919
2012-10-16,3.5294
2012-10-17,2.5899
2012-10-18,-0.6698
2012-10-19,0.6224
2012-10-20,
2012-10-21,
2012-10-22,0.2577
2012-10-23,-2.0823
2012-10-24,0.6038
2012-10-25,7.4113
2012-10-26,1.7006999999999999
2012-10-27,
2012-10-28,
2012-10-29,
2012-10-30,
2012-10-31,-0.8361
2012-11-01,-0.5541
2012-11-02,0.5329
2012-11-03,
2012-11-04,
2012-11-05,0.9157
2012-11-06,-0.382
2012-11-07,-1.7737
2012-11-08,1.9034
2012-11-09,3.113
2012-11-10,
2012-11-11,
2012-11-12,-0.4877
2012-11-13,-0.0467
2012-11-14,-3.082
2012-11-15,-0.265
2012-11-16,-0.8937
2012-11-17,
2012-11-18,
2012-11-19,1.7304
2012-11-20,1.2218
2012-11-21,0.9704
2012-11-22,
2012-11-23,0.4688
2012-11-24,
2012-11-25,
2012-11-26,0.56
2012-11-27,1.0905
2012-11-28,1.3312
2012-11-29,1.4496
2012-11-30,2.4782
2012-12-01,
2012-12-02,
2012-12-03,-2.5708
2012-12-04,-1.6099999999999999
2012-12-05,0.1591
2012-12-06,-0.1475
2012-12-07,3.8058
2012-12-08,
2012-12-09,
2012-12-10,-0.6586
2012-12-11,-0.4862
2012-12-12,0.4219
2012-12-13,-0.4865
2012-12-14,2.0
2012-12-15,
2012-12-16,
2012-12-17,0.9368
2012-12-18,-1.2951
2012-12-19,-1.6838
2012-12-20,0.9119
2012-12-21,-1.4106
2012-12-22,
2012-12-23,
2012-12-24,0.8719
2012-12-25,
2012-12-26,-0.133
2012-12-27,2.5965
2012-12-28,-1.9035
2012-12-29,
2012-12-30,
2012-12-31,2.5138
2013-01-01,
2013-01-02,-1.011
2013-01-03,0.1956
2013-01-04,1.388
2013-01-05,
2013-01-06,
2013-01-07,-0.1925
2013-01-08,-0.4072
2013-01-09,-1.0114
2013-01-10,1.087
2013-01-11,0.7312
2013-01-12,
2013-01-13,
2013-01-14,1.1529
2013-01-15,-0.2744
2013-01-16,1.1429
2013-01-17,0.4185
2013-01-18,-0.0208
2013-01-19,
2013-01-20,
2013-01-21,
2013-01-22,0.0
2013-01-23,-1.2922
2013-01-24,-1.1613
2013-01-25,0.7904
2013-01-26,
2013-01-27,
2013-01-28,-0.1802
2013-01-29,-0.9793
2013-01-30,3.2036
2013-01-31,-1.0417
2013-02-01,0.1895
2013-02-02,
2013-02-03,
2013-02-04,-0.9246
2013-02-05,1.8239999999999998
2013-02-06,-0.1875
2013-02-07,0.48
2013-02-08,-0.9969
2013-02-09,
2013-02-10,
2013-02-11,-0.0839
2013-02-12,-0.7138
2013-02-13,0.2326
2013-02-14,-1.4135
2013-02-15,-0.7062
2013-02-16,
2013-02-17,
2013-02-18,
2013-02-19,1.875
2013-02-20,0.1904
2013-02-21,-2.0481
2013-02-22,1.2718
2013-02-23,
2013-02-24,
2013-02-25,-1.5751
2013-02-26,0.7137
2013-02-27,3.0492
2013-02-28,-0.2084
2013-03-01,0.0835
2013-03-02,
2013-03-03,
2013-03-04,1.6274
2013-03-05,0.5543
2013-03-06,-1.2862
2013-03-07,-0.6412
2013-03-08,-0.3331
2013-03-09,
2013-03-10,
2013-03-11,1.1905000000000001
2013-03-12,0.5986
2013-03-13,2.0312
2013-03-14,-1.0054
2013-03-15,0.3656
2013-03-16,
2013-03-17,
2013-03-18,-0.506
2013-03-19,-0.1221
2013-03-20,-0.1629
2013-03-21,-0.2856
2013-03-22,-0.1023
2013-03-23,
2013-03-24,
2013-03-25,-0.7373
2013-03-26,-0.2476
2013-03-27,0.4964
2013-03-28,0.7203
2013-03-29,
2013-03-30,
2013-03-31,
2013-04-01,-1.9207
2013-04-02,-3.1875
2013-04-03,-1.119
2013-04-04,-2.4374000000000002
2013-04-05,3.3237
2013-04-06,
2013-04-07,
2013-04-08,0.5613
2013-04-09,-3.3705
2013-04-10,1.333
2013-04-11,-1.184
2013-04-12,2.0191
2013-04-13,
2013-04-14,
2013-04-15,-4.2627
2013-04-16,-1.4312
2013-04-17,1.2445
2013-04-18,-0.6146
2013-04-19,0.4123
2013-04-20,
2013-04-21,
2013-04-22,0.2851
2013-04-23,-0.1825
2013-04-24,-0.7541
2013-04-25,1.4046
2013-04-26,-0.2952
2013-04-27,
2013-04-28,
2013-04-29,-0.6149
2013-04-30,0.0
2013-05-01,-6.8744
2013-05-02,4.4536999999999995
2013-05-03,2.4735
2013-05-04,
2013-05-05,
2013-05-06,1.9769999999999999
2013-05-07,0.0902
2013-05-08,0.1577
2013-05-09,0.5172
2013-05-10,-1.2752
2013-05-11,
2013-05-12,
2013-05-13,-2.9912
2013-05-14,0.1635
2013-05-15,-1.1194
2013-05-16,-1.3443
2013-05-17,3.5141999999999998
2013-05-18,
2013-05-19,
2013-05-20,-3.2794
2013-05-21,1.1223
2013-05-22,-2.7862999999999998
2013-05-23,2.2589
2013-05-24,0.5463
2013-05-25,
2013-05-26,
2013-05-27,
2013-05-28,-0.0236
2013-05-29,-0.7561
2013-05-30,-1.881
2013-05-31,-1.5045
2013-06-01,
2013-06-02,
2013-06-03,1.1333
2013-06-04,-1.5834000000000001
2013-06-05,-1.6337000000000002
2013-06-06,0.6543
2013-06-07,0.525
2013-06-08,
2013-06-09,
2013-06-10,-0.4974
2013-06-11,-0.2249
2013-06-12,-1.9289
2013-06-13,-0.9706
2013-06-14,1.6508
2013-06-15,
2013-06-16,
2013-06-17,0.5329
2013-06-18,2.9026
2013-06-19,-0.5396
2013-06-20,-2.7866999999999997
2013-06-21,-0.1268
2013-06-22,
2013-06-23,
2013-06-24,-0.5842
2013-06-25,2.2739
2013-06-26,2.2983000000000002
2013-06-27,-1.4652
2013-06-28,-1.2392
2013-06-29,
2013-06-30,
2013-07-01,1.4555
2013-07-02,-2.0777
2013-07-03,-0.8841
2013-07-04,
2013-07-05,0.9429
2013-07-06,
2013-07-07,
2013-07-08,0.8584
2013-07-09,5.1815
2013-07-10,-0.3332
2013-07-11,1.9341
2013-07-12,0.773
2013-07-13,
2013-07-14,
2013-07-15,1.9526
2013-07-16,-2.052
2013-07-17,-0.6052
2013-07-18,-0.4918
2013-07-19,-0.7531
2013-07-20,
2013-07-21,
2013-07-22,-0.4031
2013-07-23,0.7619
2013-07-24,-0.5435
2013-07-25,-1.1642000000000001
2013-07-26,-1.0577
2013-07-27,
2013-07-28,
2013-07-29,0.3037
2013-07-30,2.2595
2013-07-31,-4.7755
2013-08-01,-0.8234
2013-08-02,2.1384
2013-08-03,
2013-08-04,
2013-08-05,1.601
2013-08-06,-2.5212
2013-08-07,0.3233
2013-08-08,1.76
2013-08-09,0.3654
2013-08-10,
2013-08-11,
