date,NLSN UN Equity
2011-01-28,-1.5748
2011-01-29,
2011-01-30,
2011-01-31,4.28
2011-02-01,-1.2275
2011-02-02,0.7767
2011-02-03,0.0
2011-02-04,0.501
2011-02-05,
2011-02-06,
2011-02-07,-1.112
2011-02-08,0.9306
2011-02-09,-1.7288000000000001
2011-02-10,-0.7037
2011-02-11,-0.7087
2011-02-12,
2011-02-13,
2011-02-14,0.5948
2011-02-15,0.0394
2011-02-16,2.4429
2011-02-17,3.8846
2011-02-18,2.5176
2011-02-19,
2011-02-20,
2011-02-21,
2011-02-22,-4.5865
2011-02-23,0.9084
2011-02-24,-2.6632
2011-02-25,0.1541
2011-02-26,
2011-02-27,
2011-02-28,2.3086
2011-03-01,2.0308
2011-03-02,-0.7741
2011-03-03,-0.6686
2011-03-04,-0.7105
2011-03-05,
2011-03-06,
2011-03-07,1.6949
2011-03-08,0.3704
2011-03-09,-0.4797
2011-03-10,-3.5224
2011-03-11,-0.0769
2011-03-12,
2011-03-13,
2011-03-14,1.7692
2011-03-15,-0.4535
2011-03-16,-1.1769
2011-03-17,0.2305
2011-03-18,2.1081
2011-03-19,
2011-03-20,
2011-03-21,1.3514
2011-03-22,0.5556
2011-03-23,-1.3628
2011-03-24,1.0456
2011-03-25,2.0695
2011-03-26,
2011-03-27,
2011-03-28,-0.4707
2011-03-29,1.637
2011-03-30,-0.4295
2011-03-31,-1.8332000000000002
2011-04-01,-0.0732
2011-04-02,
2011-04-03,
2011-04-04,1.6856
2011-04-05,-1.2252
2011-04-06,0.3283
2011-04-07,-0.0727
2011-04-08,-1.6376
2011-04-09,
2011-04-10,
2011-04-11,2.2937
2011-04-12,1.5552000000000001
2011-04-13,-0.0356
2011-04-14,-1.4606
2011-04-15,1.3014999999999999
2011-04-16,
2011-04-17,
2011-04-18,-2.5696
2011-04-19,1.0989
2011-04-20,-1.1594
2011-04-21,5.3886
2011-04-22,
2011-04-23,
2011-04-24,
2011-04-25,-0.5217
2011-04-26,-0.4545
2011-04-27,0.8781
2011-04-28,2.0891
2011-04-29,1.9441000000000002
2011-04-30,
2011-05-01,
2011-05-02,-0.2007
2011-05-03,-1.6091
2011-05-04,-1.7036
2011-05-05,3.1889
2011-05-06,0.2015
2011-05-07,
2011-05-08,
2011-05-09,1.5421
2011-05-10,-0.2311
2011-05-11,-0.0993
2011-05-12,0.265
2011-05-13,1.0902
2011-05-14,
2011-05-15,
2011-05-16,0.9804
2011-05-17,3.754
2011-05-18,-0.0936
2011-05-19,-1.0303
2011-05-20,0.7571
2011-05-21,
2011-05-22,
2011-05-23,-1.5341
2011-05-24,-2.6709
2011-05-25,0.4247
2011-05-26,0.9109
2011-05-27,1.0961
2011-05-28,
2011-05-29,
2011-05-30,
2011-05-31,0.4145
2011-06-01,-2.0959
2011-06-02,3.795
2011-06-03,-1.1875
2011-06-04,
2011-06-05,
2011-06-06,-1.4864
2011-06-07,1.9904
2011-06-08,-1.0387
2011-06-09,0.159
2011-06-10,-2.9533
2011-06-11,
2011-06-12,
